MID_SORTIE_START	開始戰鬥
MID_SELECTRING_TITLE_GOD	紋章士戒指\x0E\x01\x08\x00
MID_SELECTRING_REMOVE	是否要摘下「\x0E\x01\x00\x00」？
MID_SELECTRING_CHANGE	是否要摘下「\x0E\x01\x00\x00」，\n換上「\x0E\x01\x01\x00」？
MID_SELECTRING_CHANGE_REMOVE	是否要摘下「\x0E\x01\x00\x00」，\n換上「\x0E\x01\x01\x00」？\n（目前裝備中的單位：\x0E\x01\x02\x00）
MID_SELECTRING_SET	是否要裝備「\x0E\x01\x00\x00」？
MID_SELECTRING_SET_REMOVE	是否要裝備「\x0E\x01\x00\x00」？\n（目前裝備中的單位：\x0E\x01\x01\x00）
MID_SELECTRING_REMOVE_CONFIRM	摘下
MID_SELECTRING_SET_CONFIRM	裝備
MID_SELECTRING_GOD_CHANGE_YES	換上
MID_SELECTRING_GOD_EMPTY	未持有紋章士戒指\x0E\x01\x08\x00。
MID_SELECTRING_COMMON_EMPTY	未持有牽絆戒指。
MID_SELECTRING_LUEUR_NOTES	紋章士\x0E\x06\x03\x00\n可在出擊期間透過「結合+」結合。
MID_SORTIE_TITLE_UNIT_SELECT	編組出擊單位
MID_SORTIE_TITLE_UNIT_SELECT_ITEM	整備
MID_SORTIE_TITLE_RING_SELECT	紋章士戒指\x0E\x01\x08\x00
MID_SORTIE_TITLE_INVENTORY	整理持有物品
MID_SORTIE_TITLE_TRADE	交換持有物品
MID_SORTIE_TITLE_SKILL	特技裝備
MID_SORTIE_TITLE_CLASSCHANGE	轉職
MID_SORTIE_TITLEHELP_UNIT_SELECT	請選擇要出擊的我方單位。
MID_SORTIE_TITLEHELP_UNIT_SELECT_ITEM	請選擇單位。
MID_SORTIE_TITLEHELP_RING_SELECT	請選擇要更換的戒指\x0E\x01\x08\x00。
MID_SORTIE_TITLEHELP_INVENTORY	請選擇道具。
MID_SORTIE_TITLEHELP_TRADE	請選擇要交換的持有物品。
MID_SORTIE_TITLEHELP_SKILL	請選擇要裝備的特技。
MID_SORTIE_TITLEHELP_CLASSCHANGE	請選擇兵種。
