MID_SYS_Difficulty_Normal	普通
MID_H_INFO_LV_MAX	判斷實力的基準，\n累積經驗值便會提升。\n（已達等級上限）
MID_H_INFO_LV_ENEMY	判斷實力的基準，\n累積經驗值便會提升。
MID_H_INFO_BOND_LV	與紋章士的牽絆強度，\n數值越高，越能發揮紋章士的能力。
MID_SYS_Exp	EXP
MID_SYS_HP_MAX_UP	HP最大值
MID_SYS_HP	HP
MID_H_INFO_HP	單位的生命力。\n歸0時將無法戰鬥。
MID_H_COMBAT_INFO_HP	預測HP在此次戰鬥中的增減。
MID_SYS_Str	力量
MID_H_INFO_Str	力量的強度。\n數值越高，物理攻擊的傷害就越高。
MID_SYS_Mag	魔力
MID_H_INFO_Mag	魔力的強度。數值越高，\n魔法攻擊的傷害及杖的回復量就越高。
MID_SYS_Tec	技巧
MID_H_INFO_Tec	靈巧度。\n數值越高，命中及必殺也會隨之提升。
MID_SYS_Spd	速度
MID_H_INFO_Spd	速度。數值越高，回避也會隨之提升。\n（數值高於敵人5以上時，將發動追擊）
MID_SYS_Lck	幸運
MID_H_INFO_Lck	運氣。會影響各種行動。\n（數值越高，越難受到必殺攻擊）
MID_SYS_Def	防守
MID_H_INFO_Def	防守力。\n數值越高，敵人物理攻擊的傷害就越低。
MID_SYS_Res	魔防
MID_H_INFO_Res	魔法防禦力。\n數值越高，敵人魔法攻擊的傷害就越低。
MID_SYS_Mov	移動
MID_H_INFO_Mov	移動力。\n數值越高，可移動的格數越多。
MID_SYS_Phy	體格
MID_H_INFO_Phy	體格的健壯程度。數值越高，\n使用重型武器時會降低的速度越少。
MID_SYS_Vis	視野
MID_H_INFO_Vis	視野能見度。數值越高，\n在陰暗的地方越能看清楚遠方。
MID_SYS_Atk	攻擊
MID_SYS_Dmg	攻擊
MID_H_INFO_Atk	武器或魔法的攻擊力。
MID_H_COMBAT_INFO_Dmg	命中時，對敵人造成的傷害量。
MID_SYS_Weapon_Attack	物攻
MID_SYS_H_Weapon_Attack	物理攻擊力。\n為裝備劍等武器時的攻擊力。
MID_SYS_Magic_Attack	魔攻
MID_SYS_H_Magic_Attack	魔法攻擊力。\n為裝備魔道書或魔法武器時的攻擊力。
MID_SYS_Special_Attack	特殊
MID_SYS_H_Special_Attack	特殊攻擊的攻擊力，\n（攻擊時不受敵人的防守及魔防影響）
MID_SYS_Hit	命中
MID_H_INFO_Hit	使攻擊命中的能力。\n數值越高，攻擊越容易命中。
MID_H_COMBAT_INFO_Hit	「攻擊」及「回復」的命中率。
MID_SYS_Avo	回避
MID_H_INFO_Avo	回避攻擊的能力。\n數值越高，越容易回避敵人的攻擊。
MID_SYS_Crit	必殺
MID_H_INFO_Crit	較容易使出必殺攻擊的能力。\n（必殺攻擊的傷害是平常的3倍）
MID_H_COMBAT_INFO_Crit	觸發「必殺攻擊」的機率。
MID_SYS_Secure	必避
MID_H_INFO_Secure	回避必殺攻擊的能力。\n數值越高，越難受到敵人的必殺攻擊。
MID_COMBAT_INFO_Recovery	回復
MID_H_COMBAT_INFO_Recovery	對方將回復的HP量。
MID_H_INFO_WLV	顯示單位可使用\x0E\x01\x00\x00的等級
MID_H_INFO_WLV_Special	特殊攻擊
MID_H_INFO_WLV_Sword	劍
MID_H_INFO_WLV_Lance	槍
MID_H_INFO_WLV_Magic	魔道書
MID_H_INFO_WLV_Dagger	短劍
MID_H_INFO_WLV_Axe	斧
MID_H_INFO_WLV_Bow	弓
MID_H_INFO_WLV_Rod	杖
MID_H_INFO_WLV_Fist	體術
MID_SYS_BondCombi	\x0E\x01\x00\x00與\x0E\x01\x01\x00的牽絆
MID_SYS_BOND_LV	牽絆Lv.
MID_SYS_MAX	MAX
MID_SYS_Infinity	∞
MID_SYS_STYLE_BONUS	Style Bonus!
MID_SYS_QUALITY_Sword	劍術資質
MID_SYS_H_QUALITY_Sword	使用劍的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Lance	槍術資質
MID_SYS_H_QUALITY_Lance	使用槍的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Magic	魔法資質
MID_SYS_H_QUALITY_Magic	使用魔法的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Knife	短劍資質
MID_SYS_H_QUALITY_Knife	使用短劍的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Axe	斧術資質
MID_SYS_H_QUALITY_Axe	使用斧的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Bow	弓術資質
MID_SYS_H_QUALITY_Bow	使用弓的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Rod	杖術資質
MID_SYS_H_QUALITY_Rod	使用杖的資質，\n可轉職為特定兵種。
MID_SYS_QUALITY_Fist	體術資質
MID_SYS_H_QUALITY_Fist	使用體術的資質，\n可轉職為特定兵種。
MID_SYS_H_HPStock	復活之石，\n可在HP歸0時完全回復HP，\n使用後會碎裂。
MID_SYS_ValueEmpty	--
MID_SYS_Mt	威力
MID_SYS_Rec	治癒力
MID_SYS_Eff	克制
MID_SYS_Weight	重量
MID_SYS_Rng	射程
MID_SYS_WLV_Short	Lv.
MID_H_SYS_Equip	E
MID_SYS_Target	對象
MID_SYS_Me	自己
MID_H_INFO_DISABLE_ENGAGE	無法使用：結合道具
MID_H_INFO_DISABLE_WEAPONLEVEL	無法使用：兵種限制
MID_SYS_GodWeapon_LV	Lv.
MID_SYS_ExpNext	尚需
MID_SYS_GOLD_COUNT	持有金額
MID_SYS_ABRIDGEMENT	...
MID_H_INFO_Param_Base	基本值
MID_H_INFO_Param_Correction_Weight	武器重量
MID_H_INFO_Param_Correction_God	紋章士
MID_H_INFO_Param_Correction_Support	支援
MID_H_INFO_Param_Correction_Terrain	地形
MID_H_INFO_Param_Correction_Effect	效果
MID_H_INFO_Param_Correction_Hub	據點行動
MID_Material_Iron	鐵晶石
MID_Material_Steel	鋼晶石
MID_Material_Silver	銀晶石
MID_PieceOfBonds	牽絆碎片
MID_B_INFO_DAMAGE	預測傷害
MID_MSG_GET	獲得
MID_MSG_COST	消費
MID_MSG_JOIN_UNIT	\x0E\x01\x00\x00成為夥伴了。
MID_MSG_JOIN_UNIT2	\x0E\x01\x00\x00與\x0E\x01\x01\x00成為夥伴了。
MID_MSG_JOIN_UNIT3	\x0E\x01\x00\x00、\x0E\x01\x01\x00、\x0E\x01\x02\x00成為夥伴了。
MID_MSG_GET_ITEM	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00。
MID_MSG_GET_ALREADY	待讀取次數回復後才可讀取此amiibo。
MID_MSG_GET_ITEM_PLURAL	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00×\x0E\x01\x02\x00。
MID_MSG_GET_GOLD	獲得了\x0E\x01\x00\x00\x0E\x01\x01\x00G。
MID_MSG_GET_PIECE	獲得了\x0E\x01\x01\x00個\x0E\x01\x00\x00牽絆碎片。
MID_MSG_BREAK_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00已毀損。
MID_MSG_DEPRIVED_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00被搶走了。
MID_MSG_LEARN_SKILL	已習得兵種特技\x0E\x01\x00\x00\x0E\x01\x01\x00。\n
MID_MSG_SUPPORT_LEVEL_UP	\x0E\x01\x00\x00與\x0E\x01\x01\x00的\n支援等級提升至\x0E\x01\x02\x00了。
MID_MSG_POPUP_RELIANCE_EXP_UP	支援值提升！
MID_MSG_POPUP_RELIANCE_ADDITION	可觀看支援對話！
MID_MSG_TUTORIAL_NEW	新增了指南「\x0E\x01\x00\x00」。
MID_MSG_BOND_LV_CAP	有尚未觀看的牽絆對話。
MID_MSG_FRIENDLIST_NEWPAGE	夥伴手冊中新增了\x0E\x01\x00\x00的頁面。
MID_MSG_BONDRING_NEWPAGE	戒指\x0E\x01\x08\x00圖鑑中新增了資訊。
MID_MSG_BOND_LV_CAP_Talk_Attention	\x0E\x01\x00\x00與\x0E\x01\x01\x00的\n牽絆經驗值已滿。\n（至據點或世界地圖觀看「牽絆對話」後\n可提升牽絆等級）
MID_MSG_BOND_LV_CAP_RELEASE	牽絆等級突破極限！
MID_MSG_BOND_LV_MAX_amiiboItem	有許多夥伴與紋章士\x0E\x01\x00\x00的\n牽絆等級已達到上限，因此獲得了\n特別報酬\x0E\x01\x01\x00「\x0E\x01\x02\x00」。
MID_MSG_POPUP_BOND_EXP_UP	牽絆經驗值提升！
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION	若不使用「龍之時水晶」，\n將會敗北並結束遊戲，\n確定要放棄嗎？
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NETWORK	若不使用「龍之時水晶」\n將會敗北並結束試煉。\n確定不使用龍之時水晶嗎？
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES	是（結束遊戲）
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES_NETWORK	是（敗北）
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NO	否（使用龍之時水晶）
MID_MSG_GAMEOVER_CONFIRM	要重新挑戰地圖關卡嗎？\n（亦可保留戰鬥中獲得的經驗值重新開始）
MID_MSG_GAMEOVER_YES_EXP_ON	保留經驗值重新開始
MID_MSG_GAMEOVER_YES_EXP_OFF	捨棄經驗值重新開始
MID_MSG_GAMEOVER_NO	回到遊戲起始畫面
MID_MSG_BGM_CHANGE	環境設定中新增了「背景音樂設定」的項目。\n可在此分別設定劇情地圖以外的\n我軍及敵軍行動階段的背景音樂。
MID_MSG_ENGAGE_PLUS_ATTENTION	紋章士\x0E\x06\x03\x00的「結合+」\n無法用於「續戰的試煉」與「異界的試煉」。\n
MID_MSG_STORY_COMPLETE_REWARD	故事過關獎勵
MID_MSG_PLAYER_PHASE	PLAYER PHASE
MID_MSG_ENEMY_PHASE	ENEMY PHASE
MID_MSG_ALLY_PHASE	ALLY PHASE
MID_MSG_OFFENSE_PHASE	OFFENSE PHASE
MID_MSG_DEFENSE_PHASE	DEFENSE PHASE
MID_MSG_PHASE_TURN	剩餘\x0E\x01\x00\x00回合
MID_MSG_AUTO_TROPE	委任中……
MID_MSG_SKIP_TROPE	跳過中……
MID_MSG_LEVEL_UP	LEVEL UP!
MID_MSG_CLASS_CHANGE	CLASS CHANGE!
MID_MSG_STAGE_CLEAR	STAGE CLEAR!
MID_MSG_GAME_OVER	GAME OVER
MID_MSG_POPUP_CRITICAL	Critical!
MID_MSG_POPUP_BREAK	Break!
MID_MSG_POPUP_MISS	Miss!
MID_MSG_POPUP_NO_DAMAGE	No Damage!
MID_MSG_POPUP_SMASH	Smash!
MID_MSG_POPUP_CHAINATTACK	Chain Attack!
MID_MSG_POPUP_CHAINGUARD	Chain Guard!
MID_MSG_POPUP_DUALGUARD	Dual Guard!
MID_KEYHELP_MYFACE_SELECT	切換樣貌
MID_KEYHELP_BIRTHDAY_SELECT	切換月/日
MID_KEYHELP_MAP_HELP	詳細資訊
MID_KEYHELP_MINIGAME_OPERATION_HELP	操作說明
MID_KEYHELP_MAP_NOT_ACTION	切換單位
MID_KEYHELP_MAP_UNIT_VIEWER	單位詳細
MID_KEYHELP_MAP_CANCEL_ORDERS	取消委任
MID_KEYHELP_MAP_SKIP	跳過
MID_KEYHELP_GMAP_LOOK_OVER	地圖
MID_KEYHELP_GMAP_MOVE_NEWEST	進入最新章節
MID_KEYHELP_GMAP_FREE_CAMERA	自由視角
MID_KEYHELP_MAP_ACTION	切換地圖
MID_KEYHELP_DASH	奔跑
MID_KEYHELP_MENU	選單
MID_KEYHELP_MENU_ACTION	切換選單
MID_KEYHELP_CATEGORY_ACTION	切換項目
MID_KEYHELP_TALK_AUTOPLAY	自動播放
MID_KEYHELP_TALK_AUTOPLAY_CANCEL	結束自動播放
MID_KEYHELP_TALK_LOG	對話履歷
MID_KEYHELP_TALK_LOG_VOICE	播放語音
MID_KEYHELP_MENU_DECIDE	確定
MID_KEYHELP_MENU_SELECT	選擇
MID_KEYHELP_MENU_RETURN	返回
MID_KEYHELP_MENU_AUTO	統一整理
MID_KEYHELP_MENU_TROOPLIST_CHANGE	切換部隊表
MID_KEYHELP_MENU_HELP	詳細資訊
MID_KEYHELP_MENU_ASSISTINFO_CHANGE	輔助資訊
MID_KEYHELP_MENU_WEAPON_CHANGE	切換武器
MID_KEYHELP_MENU_UNIT_CHANGE	切換單位
MID_KEYHELP_MENU_CHARACTER_CHANGE	切換夥伴
MID_KEYHELP_MENU_GOD_CHANGE	切換紋章士
MID_KEYHELP_MENU_HELP_CHANGE	切換顯示資訊
MID_KEYHELP_MENU_ABILITY	能力一覽
MID_KEYHELP_MENU_BATTLE_START	開始戰鬥
MID_KEYHELP_MENU_TUTORIAL	指南
MID_KEYHELP_MENU_COUNTRY_CHANGE	切換國家
MID_KEYHELP_MENU_ZOOM_PICTURE	放大
MID_KEYHELP_MENU_UNIT_SELECT	清單
MID_KEYHELP_MENU_LOOK_UNIT	檢視
MID_KEYHELP_MENU_CAMERA_CHANGE	切換視角
MID_KEYHELP_MENU_CAMERA_IN_OUT	上下視角
MID_KEYHELP_MENU_CAMERA_OPERATION	操作視角
MID_KEYHELP_MENU_BACK_CHANGE	切換背景
MID_KEYHELP_MENU_UI_HIDE	顯示ON/OFF
MID_KEYHELP_MENU_EYES	視線ON/OFF
MID_KEYHELP_MENU_RESET	重置設定
MID_KEYHELP_MENU_SORT	排序
MID_KEYHELP_MENU_FISHING_CAST	拋竿
MID_KEYHELP_MENU_FISHING_CAST_STOP	取消
MID_KEYHELP_MENU_ACHIEVEMENT	領取達成獎勵
MID_KEYHELP_MENU_ACHIEVEMENT_ALL	統一領取
MID_KEYHELP_MOVIE_CAPTION	字幕ON/OFF
MID_KEYHELP_EDIT_TURN	旋轉
MID_KEYHELP_EDIT_PUT	配置
MID_KEYHELP_EDIT_DELETE	消除
MID_KEYHELP_EDIT_TACTICS_CHANGE	更改戰術
MID_KEYHELP_EDIT_LIST	地形清單
MID_KEYHELP_EDIT_OBJCHANGE	切換地形
MID_KEYHELP_EDIT_UNDO	復原
MID_KEYHELP_NEXT	繼續
MID_KEYHELP_ANIMAL_VIEW	環視
MID_KEYHELP_ANIMAL_ACTION	動作
MID_KEYHELP_REWIND_TURN	下一回合
MID_KEYHELP_REWIND_ACTION	選擇
MID_WEAPON_NAME_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00\x0E\x01\x02\x00
MID_RING_RANK_S	S
MID_RING_RANK_A	A
MID_RING_RANK_B	B
MID_RING_RANK_C	C
MID_LOCALIZE_COLON	
MID_LOCALIZE_HYPHEN	
MID_LOCALIZE_CN_THIRD_M	他
MID_LOCALIZE_CN_THIRD_F	她
MID_LOCALIZE_TW_THIRD_M	他
MID_LOCALIZE_TW_THIRD_F	她
MID_LANGUAGE_JP_JAPANESE	日語
MID_LANGUAGE_US_ENGLISH	英語
MID_LANGUAGE_US_FRENCH	北美法語
MID_LANGUAGE_US_SPANISH	北美西班牙語
MID_LANGUAGE_EU_ENGLISH	歐洲英語
MID_LANGUAGE_EU_FRENCH	法語
MID_LANGUAGE_EU_SPANISH	西班牙語
MID_LANGUAGE_EU_GERMAN	歐洲德語
MID_LANGUAGE_EU_ITALIAN	歐洲義大利語
MID_LANGUAGE_CN_TRADITIONAL	繁體中文
MID_LANGUAGE_CN_SIMPLIFIED	簡體中文
MID_LANGUAGE_KR_KOREAN	韓語
MID_LANGUAGE_VOICE_JAPANESE	日語
MID_LANGUAGE_VOICE_ENGLISH	英語
MID_MSG_GET_ITEM_FEH	已領取特典
