MID_WU_C_1_IN_#001	打擾了……！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	不愧是神龍大人，連起床都這麼迷人。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	嘿！艾雷歐斯大陸第一帥！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	謝謝您同意讓我繼續後援會的活動。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	那麼，接下來就讓會長我全力聲援神龍大人起床！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	呀～神龍大人，快、起、床～！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	呀～！神龍大人起床的樣子真帥！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	這真是最棒的粉絲福利了！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	沒想到一大早就能收到這麼棒的禮物，謝謝您！！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	早安……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	嗯嗯，睡得很熟呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哎呀～您怎麼醒來了呢？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	我正想對您惡作劇呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	啊，不，沒事沒事！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	那麼，我要對神龍大人惡作劇囉～\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	……先用這個搔搔他的鼻孔……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	嗯？咦！？奇怪……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	為、為什麼神龍大人不會打噴嚏？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	難道神龍的鼻子比較特別？正常來說只要這樣搔……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	哈、哈、哈啾～！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	您的芙嵐來叫您起床囉！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	您已經醒來啦？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	難道說您是在等我來嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	嘿嘿……您還真可愛。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	神龍大人，這樣不行喔～您快點起來啦！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	再不起來我就要大叫囉！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	……開玩笑的啦。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	其實我早就知道……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	該怎樣做才能讓您起床。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	不過，現在就讓我在您身邊多待一會吧……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，我的神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我很想就這樣跟您獨處下去……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	不過，還是等到之後再說吧。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我就知道您在這裡……！\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	神龍大人的任何事都瞞不過我喔。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	哎呀，您是不想讓別人看見自己的睡臉嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	沒什麼好害羞的吧？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	神龍大人的一切……我都想知道呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	神龍大人睡得真熟。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	這讓我想起以前在索拉涅爾照顧您的時候呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	……對了，您知道嗎？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	從您還在沉睡的時候……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我……我就喜歡上您囉。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	嘿嘿……早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	雖然想再多看一會您的睡臉……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	但我也很喜歡……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	像這樣和您深情對望喔。\x0E\x04\x00\x00
