MID_WU_C_1_IN_#001	四翼的瑪德琳，前來叫神龍大人起床了。
MID_WU_B_1_SOON_#004	那麼，請您放心地做出門的準備吧。
MID_WU_B_1_WAKEUP_#001	你這個索拉涅爾的入侵者。
MID_WU_B_1_WAKEUP_#002	雖然應該要馬上解決你，
MID_WU_B_1_WAKEUP_#003	但神龍大人之前說過……
MID_WU_B_1_WAKEUP_#004	不用暴力解決問題才是最好的方法。
MID_WU_B_1_WAKEUP_#005	那我就……
MID_WU_B_1_WAKEUP_#006	嘿～嘿～！
MID_WU_B_1_HELLO_#001	呼……！
MID_WU_B_1_HELLO_#002	多虧了神龍大人的教誨，
MID_WU_B_1_HELLO_#003	我才能順利地趕走那隻蟲。
MID_WU_B_1_HELLO_#004	咦？您想看看是什麼蟲？
MID_WU_B_1_HELLO_#005	抱歉，我多此一舉了……
MID_WU_B_2_IN_#001	我身為騎士，
MID_WU_B_2_IN_#002	就算在戰場之外，
MID_WU_B_2_IN_#003	也要完美地達成任務才行。
MID_WU_B_2_IN_#004	好～
MID_WU_B_2_SOON_#001	咦？任務好像已經完成了。
MID_WU_B_2_SOON_#002	我參考騎士的禮儀，
MID_WU_B_2_SOON_#003	想了幾十種叫醒人的方式，
MID_WU_B_2_SOON_#004	看來只能留到下次再嘗試了。
MID_WU_B_2_WAKEUP_#001	這次我就像個騎士一樣，
MID_WU_B_2_WAKEUP_#002	用單膝跪地的方式叫醒他吧。
MID_WU_B_2_WAKEUP_#003	這樣神龍大人醒來看到時，
MID_WU_B_2_WAKEUP_#004	一定會對我留下好印象……
MID_WU_B_2_WAKEUP_#005	哎呀！腳滑了……！
MID_WU_B_2_HELLO_#001	不、不好意思，神龍大人。
MID_WU_B_2_HELLO_#002	我本來打算像個騎士一樣叫醒您，
MID_WU_B_2_HELLO_#003	沒想到腳一滑就摔倒了……
MID_WU_B_2_HELLO_#004	我會去一邊鍛鍊一邊好好反省的！
MID_WU_A_1_IN_#001	有人請我在鍛鍊的空檔來看看您的情況。
MID_WU_A_1_IN_#002	嗯……
MID_WU_A_1_IN_#003	沒有任何異狀呢。
MID_WU_A_1_SOON_#001	起床的樣子也很正常，這樣我就放心了。
MID_WU_A_1_SOON_#002	只要神龍大人一切平安，
MID_WU_A_1_SOON_#003	我跑這一趟就值得了。
MID_WU_A_1_WAKEUP_#001	才剛說沒有異狀……
MID_WU_A_1_WAKEUP_#002	就看到有蟲飛進來了。
MID_WU_A_1_WAKEUP_#003	真是的……！
MID_WU_A_1_WAKEUP_#004	輕輕地捏住翅膀……
MID_WU_A_1_WAKEUP_#005	捉到了。
MID_WU_A_1_WAKEUP_#006	我捉到蟲了，神龍大人。
MID_WU_A_1_WAKEUP_#007	然後就這樣……
MID_WU_A_1_WAKEUP_#008	嘿～！
MID_WU_A_1_HELLO_#001	我做到了！
MID_WU_A_1_HELLO_#002	我敢碰蟲子了！
MID_WU_A_1_HELLO_#003	啊……我也把神龍大人弄醒了。
MID_WU_A_1_HELLO_#004	不好意思，打擾您了！
MID_WU_A_2_IN_#001	這個世界的索拉涅爾祭壇……
MID_WU_A_2_IN_#002	還真是充滿開放感啊……
MID_WU_A_2_SOON_#001	今天是個清爽的早晨呢，神龍大人。
MID_WU_A_2_SOON_#002	我待在這裡會打擾到您，
MID_WU_A_2_SOON_#003	請容我先行告退了。
MID_WU_A_2_WAKEUP_#001	在我之前生活的世界裡，
MID_WU_A_2_WAKEUP_#002	索拉涅爾的祭壇和神龍大人的寢室……
MID_WU_A_2_WAKEUP_#003	都給人一種戒備森嚴的感覺。
MID_WU_A_2_WAKEUP_#004	我也沒進去過幾次呢。
MID_WU_A_2_HELLO_#001	早安。
MID_WU_A_2_HELLO_#002	能夠目睹神龍大人起床的樣子，
MID_WU_A_2_HELLO_#003	是我的榮幸。
MID_WU_A_2_HELLO_#004	感覺今天會遇上好事呢。
MID_WU_S_1_IN_#001	雖然是珍貴的兩人時光……
MID_WU_S_1_IN_#002	但我身為騎士，絕不能因此鬆懈。
MID_WU_S_1_SOON_#001	唔……您說我來叫您起床很了不起？
MID_WU_S_1_SOON_#002	我很高興能聽到您這麼說，不過……
MID_WU_S_1_SOON_#003	我可是您的搭檔喔。
MID_WU_S_1_SOON_#004	請不要把我當小孩子……
MID_WU_S_1_WAKEUP_#001	神龍大人睡得很沉呢。
MID_WU_S_1_WAKEUP_#002	您送給我戒指的時候，
MID_WU_S_1_WAKEUP_#003	說願意接受喜歡莫布的我。
MID_WU_S_1_WAKEUP_#004	當時的那番話，
MID_WU_S_1_WAKEUP_#005	真的讓我非常高興。
MID_WU_S_1_WAKEUP_#006	現在，在我的心中……
MID_WU_S_1_WAKEUP_#007	您也是重要的人喔。
MID_WU_S_1_WAKEUP_#008	希望有一天……
MID_WU_S_1_WAKEUP_#009	我也能無愧於心地……
MID_WU_S_1_WAKEUP_#010	大聲說出這句話……
MID_WU_S_1_WAKEUP_#011	「我最喜歡神龍大人了。」
MID_WU_S_1_HELLO_#001	您、您聽見了剛才的話嗎？
MID_WU_S_1_HELLO_#002	沒、沒什麼……
MID_WU_S_1_HELLO_#003	就當我什麼都沒說吧。
MID_WU_S_1_HELLO_#004	等到有一天我長大了，
MID_WU_S_1_HELLO_#005	我會一直說到您的耳朵長繭喔。
MID_WU_S_2_IN_#001	我怕您會睡到最後一刻才起床，
MID_WU_S_2_IN_#002	所以特地跑來叫您囉。
MID_WU_S_2_IN_#003	我的搭檔。
MID_WU_S_2_SOON_#001	呵呵，您是在稱讚我嗎？
MID_WU_S_2_SOON_#002	雖然我不需要稱讚……
MID_WU_S_2_SOON_#003	不過……
MID_WU_S_2_SOON_#004	老實說……
MID_WU_S_2_SOON_#005	只有被您稱讚的時候，
MID_WU_S_2_SOON_#006	我會感到非常幸福喔。
MID_WU_S_2_WAKEUP_#001	其實，剛才我說謊了……
MID_WU_S_2_WAKEUP_#002	我是因為想見您，才會這麼早過來。
MID_WU_S_2_WAKEUP_#003	我做了這種別有用心的事情，
MID_WU_S_2_WAKEUP_#004	是不是就沒資格當騎士了呢？
MID_WU_S_2_WAKEUP_#005	真是如此的話，
MID_WU_S_2_WAKEUP_#006	我會立下更多戰功來將功補過。
MID_WU_S_2_WAKEUP_#007	那、那個……神龍大人。
MID_WU_S_2_WAKEUP_#008	我可以拿您的賴床當作藉口，
MID_WU_S_2_WAKEUP_#009	在這裡多待一會嗎……？
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	時間還早，您可以再睡一會喔。
MID_WU_S_2_HELLO_#003	不過……
MID_WU_S_2_HELLO_#004	偶爾就換我來稱讚您一下吧。
MID_WU_S_2_HELLO_#005	您今天有好好起床，
MID_WU_S_2_HELLO_#006	真的很了不起喔。
