MID_WU_C_1_IN_#001	神龍大人，該「起床」了。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	如此「深層的睡眠」……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	究竟是什麼感覺？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	會不會做「惡夢」呢……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	您「醒」了啊。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	啊，請別顧慮「我」。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	反正我每次「睡覺」……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	都只是「打個盹」而已。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	這房間仔細看來還真是「單調」呢……\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	怎麼不多放點「擺設」呢？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	這個房間「空蕩蕩」的……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	您待著不會感到「無聊」而「想睡」嗎？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	「偷偷跟您說」……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	自從神龍大人您來玩之後……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	「秘密小屋」裡的「東西」又「增加」了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	您覺得是為什麼呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	既然您「醒了」……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	那我要再出去「蒐集東西」了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	如果您有興致了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	歡迎再到那個「房間」玩。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人今天似乎「睡得」很熟呢……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	真「不忍心」「吵醒」他。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	嗯？您居然馬上就「起床」了……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	看來是我「判斷」失誤呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	「早」安。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	反正我也很習慣「陪」著「沉睡的人」了……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	乾脆來調配一些「新藥」……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	「打發」時間吧。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	把葉子和果實切開、搗碎……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	我剛好完成了「紫雲秘藥」。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	只要「喝下」這個……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	「睡意」就會立刻「消失」。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	雖然稍微「早到」了些，開始「工作」吧……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	您這麼「快」就醒來……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	會讓我覺得很「耐人尋味」呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	和神龍大人在一起真是絲毫不會「膩」。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神龍大人之前說了……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	對我這樣「耐人尋味」的「說話方式」感興趣……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	不過看來「房間」還不至於呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	呵……您這樣「默默」地起身，「盯著」我看。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	是開始對耐人尋味的「行為」……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	「感興趣」了嗎？\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人，我「來」囉，「方便」進去嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	就算「我」來了……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	也請您別急著「醒來」……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	叫醒搭檔的這段時間……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	是我最幸福的時光。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	嗯……在神龍大人「醒來」前，我來「做些」什麼好呢？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	讀書？或者是配藥？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	欣賞「搭檔」的睡臉似乎也很不錯呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	只要和您在一起，每分每秒都很「特別」。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	謝謝您為我無聊的人生……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	賦予了生存的意義……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	您「醒了」嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	來吧，「準備出征」了。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我想讓世界變得和平，變得「無趣」……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我想和您笑談著「好閒」過一輩子。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	這個房間果然很「單調」呢……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	但我知道您把那條「項鍊」……\x0E\x04\x00\x00
MID_WU_S_2_IN_#003	珍而重之地「擺出來」了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	您能很自如地露出「耐人尋味」的目光了呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	若這是受了我的影響……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	那您可沒有回頭路囉。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	您還是一樣「睡得很沉」呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我有時會害怕您「沒了呼吸」。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	您是我的「搭檔」……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	對我來說就是「我的家人」。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	要是失去您，這次我定會化為「灰燼」。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	您……對我很重要。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我已不想再經歷失去的痛楚……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	請務必讓我守護您。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	今後也請讓我……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	見證無數次您「醒來」的瞬間。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	……直到我永遠闔上眼的那天。\x0E\x04\x00\x00
