MID_WU_C_1_IN_#001	神龍大人，打擾了，請問我現在進去方便嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	還請您見諒。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	但我會繼續堅持晨練的。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	畢竟勤能補拙嘛。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	任何人都能擁有實力……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	但那也是需要付出努力的……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	您醒了呀。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	早上可以悠悠閒閒地過……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	或者想活動一下筋骨也不錯。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	神龍大人，您想怎麼過呢？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，我用今天早上摘的香草做了花束。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	味道很香吧？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	呵呵……聽說這種香草能讓人起床後精神一振……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	您覺得有效果嗎？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我看您很喜歡我之前送的花束……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	所以這次又換了種形式。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	做成乾燥花就能保存很久……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	這樣您就能慢慢欣賞了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	哎呀，我本來是想把花束放在您枕頭邊的……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	很高興您醒來了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	畢竟我最喜歡看到您開心的樣子了。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來叫您起床囉，我親愛的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	您一早就讓我見到如此耀眼的寶石……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	是為了報復我擾了您的清夢嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	我是指您的雙眸啊……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	您的雙眸美得令所有寶物失色呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我今天摘了野花要給您呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	雖然這禮物很不起眼……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	但您應該會喜歡的吧？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	以前我總想著……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	要盡力為我喜歡的人們做點什麼。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	但現在……我只想著要讓您……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	變得比任何人都幸福。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，呵呵呵……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	早上來叫您起床的時光……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	是我最珍貴的寶物。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	若您也能這麼想……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	那我會非常開心的。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	這是之前送的花束和小石頭……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	呵呵……這個房間到處都有我的心意呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安，我好開心喔。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我送您的禮物，您留著呢……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	我也很珍惜您送給我的戒指喔。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	這枚戒指是我人生中最珍貴的寶物。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	哎呀，神龍大人您看起來很累呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我來買片海灘，讓您去度個假吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	啊，不對不對……送禮得從心出發才行。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	不過我今天什麼都沒帶呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	有什麼能慰勞您呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	對了，這樣如何？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我輕輕地吻一下您的額頭……我開玩笑的。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	哇，您、您醒了啊。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	沒什麼，我只是……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	在想要送您什麼禮物。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	總有一天，我一定要……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	請您慢慢期待著吧。\x0E\x04\x00\x00
