MID_WU_C_1_IN_#001	呼……這種安靜的地方還真令人緊張呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	這麼巨大的魚在索拉涅爾可不常見呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	今天的晚餐還真是令人期待啊。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	等等……不要亂動！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	這傢伙實在太大了……捉不住啊！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	啊，掉到地上了！不要跑！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	糟糕……讓牠跑出去了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	抱歉，不小心讓魚跑走了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	不過樓下就是廚房……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	應該會有人捉住牠吧，哈哈哈！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	呵呵，真是可愛的睡臉。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	神龍大人的睡相還真是優雅呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	對了，您有睡到從床上滾下來的經驗嗎？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	躺得也是直挺挺的呢。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	唉……我一個晚上至少會滾個三圈……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	早上常常都是在地板上醒來的呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	有機會的話我們再一起鍛鍊吧。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	只要您一句話，我隨時奉陪喔！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	差不多該去吃晚餐囉，神龍大人。\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	神龍大人會睡午覺還真是稀奇呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	呵呵，我還以為您是太累了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	聽到晚餐就跳起來，看來是不需要擔心呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	好了，我們走吧。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	您一定是累了吧……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	畢竟每天都帶著大家東征西討。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	是我的話可能早就累垮了呢……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	我會幫您跟大家說一聲的……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	您就再休息一會吧。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	晚餐隨時都能吃……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	但休息時間可是稍縱即逝喔。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，我們來鍛鍊吧。\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	活動一下筋骨，迎接清爽的早晨！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	您醒得真快呢。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	那麼，我們就快去鍛鍊吧。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	為了神龍大人和那些逝去的朋友……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	我一定要變得更強。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	雖然我仍未放棄復仇的想法……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	但多虧了神龍大人，讓我心中的重擔減輕了不少。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我很高興能夠有您這樣的朋友喔。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	哦，您總算醒了呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	您說我看起來特別有精神嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	這是當然的囉。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	為了不讓朋友的在天之靈擔心，\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	我可得多加點油才行呢。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來叫您起床囉，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	這麼早就起來啦？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	今天我們也要大戰一場喔！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	請您放心吧……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	我對「約定戒指」起誓……絕不讓敵人碰您一根寒毛。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	神龍大人，您就別再賴床了……快點起來吧！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	雖然我有點囉嗦……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	但是選我當搭檔的人可是您喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	這對一介士兵的我來說是不符身分的殊榮……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	不過，我還是很感謝您喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	因為……這讓我有機會幫您分擔一些煩惱呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	好了，今天也要認認真真地戰鬥、平平安安地回來喔！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	希望在今後的每一天……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	就算我變成了老太婆……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	也能像這樣跟您說聲早安。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	鍛鍊的時間到囉。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	就算對手是您，我也不會手下留情喔！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	呵呵，您以為自己睡過頭了嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	別擔心，我不會生氣的。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	別看我這個樣子……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	撇開鍛鍊和戰鬥不說，我可是非常溫柔的喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	神龍大人的睡臉還是這麼可愛呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	啊，睡到嘴巴都張開了。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	呵呵呵，沒想到這張嘴會說出「我想保護你」呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	這句話可是我的無價之寶喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	每當我在戰場上感到軟弱時……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	您的話語總會為我帶來勇氣。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	您有點睡過頭囉。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	不過，今天就放您一馬吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	畢竟和您相處的時光是如此地幸福……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	下次可就不行囉。\x0E\x04\x00\x00
