MID_WU_C_1_IN_#001	我聽說你很會賴床，所以就來叫醒你囉。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	我真是幸福啊。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	好……既然我來了，你就別想睡回籠覺囉。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	哎呀，抱歉。神龍大人怎麼可能會睡回籠覺呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	哈哈，別鬧彆扭啦。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	沒想到一大早就能看見你這可愛的表情呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	謝謝你之前配合我，陪我跑步增進情誼。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	你雖然嘴上不停抱怨，卻還是跟著跑完全程……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	我真的很開心喔。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	呵呵，你其實醒著吧？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	我當然知道囉。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	畢竟我是你的第一個朋友……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	而且還是摯友喔。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，天亮了！我們一起去鍛鍊吧！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	你起床起得真快啊。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	就該這樣才對嘛。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	來，我們一起繞著索拉涅爾跑五圈吧！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	怎麼叫都叫不醒呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	那我就先在旁邊鍛鍊一下吧。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	喝！呀！哼！嘿！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	呼……接著來練練手臂的肌肉吧。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	哎呀，早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	真是受不了你……還覺得睏的話，要我抱你出去嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	別看我這樣，抱個神龍大人還是綽綽有餘的喔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人睡得很熟呢。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	不知道他今天會不會馬上起床呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安，你最近都起得很早呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	我們成為搭檔後是越來越像了……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	也可能是我自作多情吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	還真是棘手呢。對了……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我在王城時讀過一本故事書。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	書上說真愛之吻……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	能喚醒沉睡之人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	不、不行。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我不能光學別人……要用自己的方法才行。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	……該起床囉，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#008	雖然你的睡臉很可愛，但我更想快點看到你的雙眸。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	你醒來啦？我差點就要在你旁邊鍛鍊了呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	……騙你的啦。無論多少次，我都會溫柔地叫醒你……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	畢竟我可不能讓最喜歡的人受傷啊。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	能來見搭檔，我實在太高興了……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	讓我鍛鍊得特別起勁呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安，你昨晚睡得好嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我只要有你在身邊就很幸福了……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	你又是怎麼想的呢？……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	希望我的陪伴也能讓你感到幸福。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我之前送給你的王室刺繡……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	你把它裝飾起來了呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	等世界恢復和平後……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	我想在上面繡一個圖案代表我們的情誼。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	無論我再怎麼鍛鍊，也沒辦法像你一樣長壽……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	不過，我對你的思念是永恆的喔……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	它會被刻在這幅刺繡上，直到永久。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	你醒來啦？那我們趕緊去鍛鍊吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	什麼？你想跟我再獨處一會？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	……沒想到你會跟我撒嬌呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	我還真是幸福啊。\x0E\x04\x00\x00
