MID_TUT_BMAP_EVIL_RULE_TITLE	邪龍之章的出擊規則
MID_TUT_BMAP_EVIL_ENCHANT_1	「極限活用」指令可消費道具\n來賦予我方單位各種特殊效果。\n可賦予的效果會依道具有所變化。
MID_TUT_BMAP_EVIL_ENCHANT_2	「武器共鳴」指令可在該場戰鬥地圖\n強化持有物品中指定的武器及同名武器。\n（強化敵我雙方所有同名武器）
MID_TUT_BMAP_EVIL_MAGECANON_TITLE	特殊兵種「魔法加農炮兵」
MID_TUT_BMAP_EVIL_MAGECANON_0	魔法加農炮兵這種兵種\n可透過發射炮彈展開遠距離攻擊。\n轉職時需要「魔法大炮」。
MID_TUT_BMAP_EVIL_MAGECANON_1	該兵種「技巧」越高，攻擊力越強。\n自身的力量與體格越高且離敵人越近，\n攻擊時的命中率也就越高。
MID_TUT_BMAP_EVIL_MAGECANON_2	「全彈發射」指令可在1回合後\n朝指定位置展開強大的範圍攻擊，\n但會消耗裝備的炮彈。
MID_TUT_BMAP_EVIL_MAGECANON_3	敵方的魔法加農炮兵顯示全體危險範圍的方式\n與一般情況不同。
MID_TUT_GMAP_EVIL_TITLE	世界地圖（邪龍之章）
MID_TUT_GMAP_EVIL_0	要前往專用的世界地圖，\n才可推進邪龍之章的故事劇情。
MID_TUT_GMAP_EVIL_1	可透過世界地圖選單\n前往主線故事的世界地圖，\n或回到據點索拉涅爾。
MID_TUT_GMAP_EVIL_2	已過關的地圖也有可能會出現遭遇戰。
MID_TUT_HUB_EVIL_START_TITLE	邪龍之章
MID_TUT_HUB_EVIL_START_0	可從神秘水井\n開始邪龍之章的故事。
MID_TUT_HUB_EVIL_START_1	不必過關所有的戰鬥地圖，\n也可回到主線故事推進劇情。
MID_TUT_HUB_EVIL_START_2	邪龍之章與主線故事不同，\n可隨時更改難度。
MID_TUT_HUB_EVIL_START_NOTICE	「神秘水井」好像不太對勁……
MID_TUT_NAVI_E004_ADVICE_START	此地圖經常出現敵軍彼此交戰的情況，\n因此環境設定的「戰鬥動畫」與「杖・起舞動畫」\n將設為「我方單位」。\n此設定可透過環境設定隨時更改。
MID_TUT_NAVI_E004_ADVICE_END	地圖開始時所更改的\n「戰鬥動畫」與「杖・起舞動畫」設定\n將恢復成原先的設定。
MID_TIPS_JOB_02	「武器共鳴」也可強化運輸隊保管的同名武器。
MID_TIPS_JOB_03	只要與其他武器產生共鳴，即可消除「武器共鳴」的效果。
MID_TIPS_ITEM_21	魔法加農炮兵的「全彈發射」必定可賦予異常狀態。（部分強敵除外）
