MID_WU_C_1_IN_#001	今天是由可愛的奧爾坦希亞負責叫你起床喔！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	為他人著想嗎……那今天人家就溫柔地叫醒神龍大人吧。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	之前都是直接把他搖醒……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今天就溫柔一點，慢慢地……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	咦？你已經醒了？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	這樣人家的心意不就派不上用場了嗎！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	好乖好乖……你一直都很努力呢，真了不起。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	多睡一些，讓身體好好休息喔……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	咦？這樣不是反而讓他睡得更沉了嗎？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	啊，你醒啦。太好了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	今天人家可是有嘗試為他人著想喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神龍大人，謝謝你之前願意聽人家訴苦。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	世界第一可愛的奧爾坦希亞來叫你起床囉！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	咦！？為什麼馬上就醒了？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	人家今天來得比較早，你可以再多睡一會啊……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	抱歉吵醒你了，神龍大人。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	人家今天可是特地早起打扮了一番。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	多虧如此，也早了一點到……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	神龍大人看到後一定會驚豔不已！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安，神龍大人還是一樣美呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	不過，今天人家可不會輸……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	咦？人家今天好像特別可愛？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	好開心！人家最喜歡神龍大人了！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	打擾了，神龍大人。呵呵……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早安。哎呀，你那是什麼表情啊？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	呵呵～沒有想到會是人家吧！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	人家偶爾也會想當個賢淑的公主嘛。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	直接跑進別人的房間裡感覺不太好呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	人家得多為神龍大人著想一點，溫柔地……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	嗯，媽媽一定也會這麼做。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	咦？人家今天很溫柔？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	這是當然的囉。人家不是說過了嗎……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	總有一天要把神龍大人迷得神魂顛倒啊！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	世界第一可愛的搭檔來叫你起床囉！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	為～什麼馬上就醒了？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	人家本來打算溫柔地叫醒你耶！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	不過……這樣就有更多兩人時間了，真讓人開心呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	……早安，人家的神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	現在是專屬我們的晨間時光喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	嗯……感覺真好。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	美麗的你與可愛的人家……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	湊在一起就是最強組合囉。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	不過，人家可不是以貌取人喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	是因為你的心既溫柔又強大……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	人家才會喜歡上你的……！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安，人家的神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	上戰場前像這樣悠閒地待著也不錯吧？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	要是今天也能平安回來……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	你可要說一千遍「奧爾坦希亞很可愛」喔。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	是人家喔，神龍大人。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	只屬於你一人的……奧、爾、坦、希、亞！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安，你是想早點看到人家這麼快醒來的嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	看來你已經被人家迷得神魂顛倒了呢。不過……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	雖然不能當面說出口……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	但人家的愛還是比較多喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	想想還真是不可思議……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	我們相遇時是敵人……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	如今卻成為了搭檔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	當時人家還只是個幼稚的小鬼……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	多虧有你，人家才能改變。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	不論是外在還是內在，全～都煥然一新。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	……謝謝你。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	看來被迷得神魂顛倒的人是人家才對呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	剛、剛才的話你都聽見了！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	真是的，裝睡也太過分了吧！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	不過，如果你願意多陪人家一下……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	人家也可以原諒你喔。\x0E\x04\x00\x00
