MSID_Hp_5	HP+5
MSID_Def_5	防守+5
MSID_H_Def_5	防守提升5
MSID_Mag_2	魔力+2
MSID_H_Mag_2	魔力提升2
MSID_Mag_3	魔力+3
MSID_H_Mag_3	魔力提升3
MSID_Mag_4	魔力+4
MSID_H_Mag_4	魔力提升4
MSID_Mag_5	魔力+5
MSID_H_Mag_5	魔力提升5
MSID_Res_2	魔防+2
MSID_H_Res_2	魔防提升2
MSID_Res_3	魔防+3
MSID_H_Res_3	魔防提升3
MSID_Res_4	魔防+4
MSID_H_Res_4	魔防提升4
MSID_Res_5	魔防+5
MSID_H_Res_5	魔防提升5
MSID_Phy_3	體格+3
MSID_H_Phy_3	體格提升3
MSID_Phy_4	體格+4
MSID_H_Phy_4	體格提升4
MSID_Phy_5	體格+5
MSID_H_Phy_5	體格提升5
MSID_Mov_1	移動+1
MSID_H_Mov_1	移動提升1
MSID_Avo_10	回避+10
MSID_H_Avo_10	回避提升10
MSID_Avo_15	回避+15
MSID_H_Avo_15	回避提升15
MSID_Avo_20	回避+20
MSID_H_Avo_20	回避提升20
MSID_Avo_25	回避+25
MSID_H_Avo_25	回避提升25
MSID_Avo_30	回避+30
MSID_H_Avo_30	回避提升30
MSID_Hit_10	命中+10
MSID_H_Hit_10	命中提升10
MSID_Hit_15	命中+15
MSID_H_Hit_15	命中提升15
MSID_Hit_20	命中+20
MSID_H_Hit_20	命中提升20
MSID_Hit_25	命中+25
MSID_H_Hit_25	命中提升25
MSID_Hit_30	命中+30
MSID_H_Hit_30	命中提升30
MSID_CriAvo_10	必避+10
MSID_H_CriAvo_10	必避提升10
MSID_CriAvo_15	必避+15
MSID_H_CriAvo_15	必避提升15
MSID_CriAvo_20	必避+20
MSID_H_CriAvo_20	必避提升20
MSID_CriAvo_25	必避+25
MSID_H_CriAvo_25	必避提升25
MSID_CriAvo_30	必避+30
MSID_H_CriAvo_30	必避提升30
MSID_SwordArts_Soft_1	劍術・柔Lv.1
MSID_H_SwordArts_Soft_1	裝備劍時，回避+10、必殺-10
MSID_SwordArts_Soft_2	劍術・柔Lv.2
MSID_H_SwordArts_Soft_2	裝備劍時，回避+15、必殺-10
MSID_SwordArts_Soft_3	劍術・柔Lv.3
MSID_H_SwordArts_Soft_3	裝備劍時，回避+20、必殺-10
MSID_SwordArts_Soft_4	劍術・柔Lv.4
MSID_H_SwordArts_Soft_4	裝備劍時，回避+25、必殺-10
MSID_SwordArts_Soft_5	劍術・柔Lv.5
MSID_H_SwordArts_Soft_5	裝備劍時，回避+30、必殺-10
MSID_SwordArts_Hard_1	劍術・剛Lv.1
MSID_H_SwordArts_Hard_1	裝備劍時，攻擊力+2、回避-10
MSID_SwordArts_Hard_2	劍術・剛Lv.2
MSID_H_SwordArts_Hard_2	裝備劍時，攻擊力+4、回避-10
MSID_SwordArts_Hard_3	劍術・剛Lv.3
MSID_H_SwordArts_Hard_3	裝備劍時，攻擊力+6、回避-10
MSID_SwordArts_Hard_4	劍術・剛Lv.4
MSID_H_SwordArts_Hard_4	裝備劍時，攻擊力+8、回避-10
MSID_SwordArts_Hard_5	劍術・剛Lv.5
MSID_H_SwordArts_Hard_5	裝備劍時，攻擊力+10、回避-10
MSID_SwordArts_Mind_1	劍術・心Lv.1
MSID_H_SwordArts_Mind_1	裝備劍時，命中+10、必避-10
MSID_SwordArts_Mind_2	劍術・心Lv.2
MSID_H_SwordArts_Mind_2	裝備劍時，命中+15、必避-10
MSID_SwordArts_Mind_3	劍術・心Lv.3
MSID_H_SwordArts_Mind_3	裝備劍時，命中+20、必避-10
MSID_SwordArts_Mind_4	劍術・心Lv.4
MSID_H_SwordArts_Mind_4	裝備劍時，命中+25、必避-10
MSID_SwordArts_Mind_5	劍術・心Lv.5
MSID_H_SwordArts_Mind_5	裝備劍時，命中+30、必避-10
MSID_LanceArts_Soft_1	槍術・柔Lv.1
MSID_H_LanceArts_Soft_1	裝備槍時，回避+10、必殺-10
MSID_LanceArts_Soft_2	槍術・柔Lv.2
MSID_H_LanceArts_Soft_2	裝備槍時，回避+15、必殺-10
MSID_LanceArts_Soft_3	槍術・柔Lv.3
MSID_H_LanceArts_Soft_3	裝備槍時，回避+20、必殺-10
MSID_LanceArts_Soft_4	槍術・柔Lv.4
MSID_H_LanceArts_Soft_4	裝備槍時，回避+25、必殺-10
MSID_LanceArts_Soft_5	槍術・柔Lv.5
MSID_H_LanceArts_Soft_5	裝備槍時，回避+30、必殺-10
MSID_LanceArts_Hard_1	槍術・剛Lv.1
MSID_H_LanceArts_Hard_1	裝備槍時，攻擊力+2、回避-10
MSID_LanceArts_Hard_2	槍術・剛Lv.2
MSID_H_LanceArts_Hard_2	裝備槍時，攻擊力+4、回避-10
MSID_LanceArts_Hard_3	槍術・剛Lv.3
MSID_H_LanceArts_Hard_3	裝備槍時，攻擊力+6、回避-10
MSID_LanceArts_Hard_4	槍術・剛Lv.4
MSID_H_LanceArts_Hard_4	裝備槍時，攻擊力+8、回避-10
MSID_LanceArts_Hard_5	槍術・剛Lv.5
MSID_H_LanceArts_Hard_5	裝備槍時，攻擊力+10、回避-10
MSID_AxeArts_Hard_1	斧術・剛Lv.1
MSID_H_AxeArts_Hard_1	裝備斧時，攻擊力+2、回避-10
MSID_AxeArts_Hard_2	斧術・剛Lv.2
MSID_H_AxeArts_Hard_2	裝備斧時，攻擊力+4、回避-10
MSID_AxeArts_Hard_3	斧術・剛Lv.3
MSID_H_AxeArts_Hard_3	裝備斧時，攻擊力+6、回避-10
MSID_AxeArts_Hard_4	斧術・剛Lv.4
MSID_H_AxeArts_Hard_4	裝備斧時，攻擊力+8、回避-10
MSID_AxeArts_Hard_5	斧術・剛Lv.5
MSID_H_AxeArts_Hard_5	裝備斧時，攻擊力+10、回避-10
MSID_BowArts_Soft_1	弓術・柔Lv.1
MSID_H_BowArts_Soft_1	裝備弓時，回避+10、必殺-10
MSID_BowArts_Soft_2	弓術・柔Lv.2
MSID_H_BowArts_Soft_2	裝備弓時，回避+15、必殺-10
MSID_BowArts_Soft_3	弓術・柔Lv.3
MSID_H_BowArts_Soft_3	裝備弓時，回避+20、必殺-10
MSID_BowArts_Soft_4	弓術・柔Lv.4
MSID_H_BowArts_Soft_4	裝備弓時，回避+25、必殺-10
MSID_BowArts_Soft_5	弓術・柔Lv.5
MSID_H_BowArts_Soft_5	裝備弓時，回避+30、必殺-10
MSID_BowArts_Mind_1	弓術・心Lv.1
MSID_H_BowArts_Mind_1	裝備弓時，命中+10、必避-10
MSID_BowArts_Mind_2	弓術・心Lv.2
MSID_H_BowArts_Mind_2	裝備弓時，命中+15、必避-10
MSID_BowArts_Mind_3	弓術・心Lv.3
MSID_H_BowArts_Mind_3	裝備弓時，命中+20、必避-10
MSID_BowArts_Mind_4	弓術・心Lv.4
MSID_H_BowArts_Mind_4	裝備弓時，命中+25、必避-10
MSID_BowArts_Mind_5	弓術・心Lv.5
MSID_H_BowArts_Mind_5	裝備弓時，命中+30、必避-10
MSID_MartialArts_Mind_1	體術・心Lv.1
MSID_H_MartialArts_Mind_1	裝備體術時，命中+10、必避-10
MSID_MartialArts_Mind_2	體術・心Lv.2
MSID_H_MartialArts_Mind_2	裝備體術時，命中+15、必避-10
MSID_MartialArts_Mind_3	體術・心Lv.3
MSID_H_MartialArts_Mind_3	裝備體術時，命中+20、必避-10
MSID_MartialArts_Mind_4	體術・心Lv.4
MSID_H_MartialArts_Mind_4	裝備體術時，命中+25、必避-10
MSID_MartialArts_Mind_5	體術・心Lv.5
MSID_H_MartialArts_Mind_5	裝備體術時，命中+30、必避-10
MSID_KnifeArts_1	短劍術Lv.1
MSID_H_KnifeArts_1	裝備短劍時，命中+3、回避+3
MSID_KnifeArts_2	短劍術Lv.2
MSID_H_KnifeArts_2	裝備短劍時，命中+5、回避+5
MSID_KnifeArts_3	短劍術Lv.3
MSID_H_KnifeArts_3	裝備短劍時，命中+7、回避+7
MSID_KnifeArts_4	短劍術Lv.4
MSID_H_KnifeArts_4	裝備短劍時，命中+10、回避+10
MSID_KnifeArts_5	短劍術Lv.5
MSID_H_KnifeArts_5	裝備短劍時，命中+15、回避+15
MSID_MagicArts_1	魔道Lv.1
MSID_H_MagicArts_1	裝備魔道書時，命中+3、回避+3
MSID_MagicArts_2	魔道Lv.2
MSID_H_MagicArts_2	裝備魔道書時，命中+5、回避+5
MSID_MagicArts_3	魔道Lv.3
MSID_H_MagicArts_3	裝備魔道書時，命中+7、回避+7
MSID_MagicArts_4	魔道Lv.4
MSID_H_MagicArts_4	裝備魔道書時，命中+10、回避+10
MSID_MagicArts_5	魔道Lv.5
MSID_H_MagicArts_5	裝備魔道書時，命中+15、回避+15
MSID_RodArts_1	信仰Lv.1
MSID_H_RodArts_1	HP回復量+3、杖的命中+10
MSID_RodArts_2	信仰Lv.2
MSID_H_RodArts_2	HP回復量+5、杖的命中+15
MSID_RodArts_3	信仰Lv.3
MSID_H_RodArts_3	HP回復量+7、杖的命中+20
MSID_RodArts_4	信仰Lv.4
MSID_H_RodArts_4	HP回復量+10、杖的命中+25
MSID_RodArts_5	信仰Lv.5
MSID_H_RodArts_5	HP回復量+15、杖的命中+30
MSID_Outclass_1	識破
MSID_H_Outclass_1	自身發動攻擊時，回避+15\n回避會隨速度提升而提高
MSID_Outclass_2	識破+
MSID_H_Outclass_2	自身發動攻擊時，回避+30\n回避會隨速度提升而提高
MSID_Fortitude_1	不屈
MSID_H_Fortitude_1	我軍行動階段開始時\n若HP為20%以下\n回復HP最大值20%
MSID_Fortitude_2	不屈+
MSID_H_Fortitude_2	我軍行動階段開始時\n若HP為30%以下\n回復HP最大值30%
MSID_Fortitude_3	不屈++
MSID_H_Fortitude_3	我軍行動階段開始時\n若HP為40%以下\n回復HP最大值40%
MSID_MarthEngage	神速
MSID_H_MarthEngage	攻擊時會發動所造成傷害50%的追擊\n（可與其他會發動追擊的特技同時發動）
MSID_H_MarthEngage_Covert	攻擊時會發動所造成傷害50%的追擊\n（可與其他會發動追擊的特技同時發動）\n【隱密】依此特技發動的追擊命中時\n將使對方陷入中毒狀態
MSID_H_MarthEngage_Dragon	攻擊時會發動所造成傷害50%的追擊\n（可與其他會發動追擊的特技同時發動）\n【龍族】自身將回復HP\n數值等同此特技的追擊傷害
MSID_BreakPursuit	接二連三
MSID_H_BreakPursuit	使對方陷入打破狀態時，\n會發動所造成傷害50%的追擊
MSID_MarthEngageAtk	星之突擊
MSID_H_MarthEngageAtk	連續施展7次30%傷害的攻擊\n僅限持劍且相鄰時
MSID_H_MarthEngageAtk_Dragon	連續施展7次30%傷害的攻擊\n僅限持劍且相鄰時\n【龍族】攻擊次數+2
MSID_H_MarthEngageAtk_Coop	連續施展7次30%傷害的攻擊\n僅限持劍且相鄰時\n【連攜】攻擊次數+1
MSID_H_MarthEngageAtk_Magic	連續施展7次30%傷害的攻擊\n僅限持劍且相鄰時\n【魔道】計算傷害時以魔力為基準
MSID_H_MarthEngageAtk_CMD	發動強勁的連續攻擊。
MSID_Remove_1	再移動
MSID_H_Remove_1	行動後可額外移動2格
MSID_Remove_2	再移動+
MSID_H_Remove_2	行動後可額外移動3格
MSID_Approach_1	助跑
MSID_H_Approach_1	移動後發動攻擊時\n每移動1格攻擊力提升1\n（上限為+10）
MSID_Approach_2	助跑+
MSID_H_Approach_2	移動後發動攻擊時\n每移動1格攻擊力提升1
MSID_Rush	猛進
MSID_H_Rush	使冰封狀態無效
MSID_SigludEngage	快跑
MSID_H_SigludEngage	移動提升5
MSID_H_SigludEngage_Dragon	移動提升5\n【龍族】移動額外提升1
MSID_H_SigludEngage_Horse	移動提升5\n【騎馬】移動額外提升2
MSID_H_SigludEngage_Covert	移動提升5\n【隱密】視所有地形的移動消耗為1
MSID_SigludEngageAtk	破陣星馳
MSID_H_SigludEngageAtk	攻擊敵人並移動至其身後\n僅限持劍、槍且相鄰時
MSID_H_SigludEngageAtk_Dragon	攻擊敵人並移動至其身後\n僅限持劍、槍且相鄰時\n【龍族】傷害增為120%
MSID_H_SigludEngageAtk_Heavy	攻擊敵人並移動至其身後\n僅限持劍、槍且相鄰時\n【重裝】10%機率造成打破
MSID_H_SigludEngageAtk_Magic	攻擊敵人並移動至其身後\n僅限持劍、槍且相鄰時\n【魔道】將魔力的25%加計至傷害
MSID_H_SigludEngageAtk_Prana	攻擊敵人並移動至其身後\n僅限持劍、槍且相鄰時\n【氣功】20%機率造成打破
MSID_H_SigludEngageAtk_CMD	攻擊敵人並移動。
MSID_M011_SigludEngage_DarkSide	快跑（闇）
MSID_H_M011_SigludEngage_DarkSide	移動提升3
MSID_EvilCounter_1	異形復仇
MSID_H_EvilCounter_1	受到異形兵攻擊時\n將所受傷害的10%反擊給對方
MSID_EvilCounter_2	異形復仇+
MSID_H_EvilCounter_2	受到異形兵攻擊時\n將所受傷害的30%反擊給對方
MSID_EvilCounter_3	異形復仇++
MSID_H_EvilCounter_3	受到異形兵攻擊時\n將所受傷害的50%反擊給對方
MSID_BlackMagic_1	共鳴之黑魔法
MSID_H_BlackMagic_1	使用魔道書攻擊時\n若自身的HP為2以上\n則消費1HP使傷害+2
MSID_BlackMagic_2	共鳴之黑魔法+
MSID_H_BlackMagic_2	使用魔道書攻擊時\n若自身的HP為2以上\n則消費1HP使傷害+3
MSID_FavoriteFood	最喜歡的東西
MSID_H_FavoriteFood	同步狀態下食用便當\n結合計量條將會累積至上限
MSID_CelicaEngage	重唱
MSID_H_CelicaEngage	可使用「重唱」指令\n能以50%傷害的魔法發動2次攻擊
MSID_H_CelicaEngage_Dragon	可使用「重唱」指令\n能以50%傷害的魔法發動2次攻擊\n【龍族】射程+1
MSID_H_CelicaEngage_Magic	可使用「重唱」指令\n能以50%傷害的魔法發動2次攻擊\n【魔道】傷害+10%
MSID_H_CelicaEngage_CMD	能以50%傷害的魔法發動2次攻擊。
MSID_CelicaEngageAtk	傳送末世烈焰
MSID_H_CelicaEngageAtk	傳送至10格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊
MSID_H_CelicaEngageAtk_Dragon	傳送至10格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊\n【龍族】射程+1
MSID_H_CelicaEngageAtk_Horse	傳送至10格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊\n【騎馬】可傳送距離+2
MSID_H_CelicaEngageAtk_Fly	傳送至10格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊\n【飛行】可傳送距離+5
MSID_H_CelicaEngageAtk_Magic	傳送至10格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊\n【魔道】傷害增為120%
MSID_H_CelicaEngageAtk_CMD	傳送至可攻擊位置並發動魔法攻擊。
MSID_M011_CelicaEngageAtk_DarkSide	傳送末世烈焰（闇）
MSID_CelicaEngageAtk_DarkSide	末世烈焰傳送
MSID_H_CelicaEngageAtk_DarkSide	發動強勁的魔法攻擊後傳送至別處
MSID_H_CelicaEngageAtk_DarkSide_CMD	發動強勁的魔法攻擊後傳送至別處。
MSID_H_M011_CelicaEngageAtk_DarkSide	傳送至5格範圍內的可攻擊位置\n對敵人發動強勁的魔法攻擊
MSID_EvilCounter_3_DarkSide	復仇
MSID_H_EvilCounter_3_DarkSide	受到異形兵以外的敵人攻擊時\n將所受傷害的50%反擊給對方
MSID_EquipRod_1	操杖
MSID_H_EquipRod_1	可使用等級C以下的杖
MSID_EquipRod_2	操杖+
MSID_H_EquipRod_2	可使用等級B以下的杖
MSID_EquipRod_3	操杖++
MSID_H_EquipRod_3	可使用等級A以下的杖
MSID_Silenceproof	沉默防禦
MSID_H_Silenceproof	使沉默狀態無效
MSID_HealingResonance	治癒之聲
MSID_H_HealingResonance	使用杖回復我方單位的HP時，\n自身也能獲得回復量50%的HP
MSID_MicaiahEngage	增幅
MSID_H_MicaiahEngage	杖的射程及傳送等距離+5\n杖的效果範圍+1
MSID_H_MicaiahEngage_Dragon	杖的射程及傳送等距離+5\n杖的效果範圍+1\n【龍族】杖的射程（距離）額外+1
MSID_H_MicaiahEngage_Prana	杖的射程及傳送等距離+5\n杖的效果範圍+1\n【氣功】使用HP回復杖時，回復量為120%
MSID_MicaiahEngageAtk	大治癒之手
MSID_H_MicaiahEngageAtk	完全回復我軍與友軍全員的HP\n使用後，自身的HP變為1
MSID_H_MicaiahEngageAtk_Dragon	完全回復我軍與友軍全員的HP\n使用後，自身的HP變為1\n【龍族】使用後，HP變為30%
MSID_H_MicaiahEngageAtk_Heavy	完全回復我軍與友軍全員的HP\n使用後，自身的HP變為1\n【重裝】我方全員於下次戰鬥時防守+1
MSID_H_MicaiahEngageAtk_Prana	完全回復我軍與友軍全員的HP\n使用後，自身的HP變為1\n【氣功】回復異常狀態
MSID_H_MicaiahEngageAtk_CMD	消費HP使我方全員的HP完全回復。
MSID_M011_MicaiahEngage_DarkSide	增幅（闇）
MSID_H_M011_MicaiahEngage_DarkSide	杖的射程及傳送等距離+3\n杖的效果範圍+1
MSID_HoldOut_1	堅持
MSID_H_HoldOut_1	若戰鬥開始時HP為30%以上\n無論在該戰鬥中受到多大的傷害\nHP至少也會剩下1
MSID_HoldOut_2	堅持+
MSID_H_HoldOut_2	若戰鬥開始時HP為20%以上\n無論在該戰鬥中受到多大的傷害\nHP至少也會剩下1
MSID_HoldOut_3	堅持++
MSID_H_HoldOut_3	若戰鬥開始時HP為10%以上\n無論在該戰鬥中受到多大的傷害\nHP至少也會剩下1
MSID_HoldOut_4	堅持+++
MSID_H_HoldOut_4	若戰鬥開始時HP為2以上\n無論在該戰鬥中受到多大的傷害\nHP至少也會剩下1
MSID_ClosingAttack	深入
MSID_H_ClosingAttack	可使用「深入」指令\n朝2格遠的敵人前進1格並發動攻擊
MSID_H_ClosingAttack_CMD	朝距離2格遠的敵人前進並發動攻擊。
MSID_RoyEngage	超越
MSID_H_RoyEngage	單位等級+5
MSID_H_RoyEngage_Dragon	單位等級+5\n【龍族】等級額外+1
MSID_H_RoyEngage_Horse	單位等級+5\n【騎馬】移動+1
MSID_H_RoyEngage_Heavy	單位等級+5\n【重裝】HP最大值+5
MSID_RoyEngageAtk	獅子紅蓮焰舞
MSID_H_RoyEngageAtk	以炎之劍攻擊前方的橫向3格\n目標格與其後2格會陷入燃燒狀態\n僅限持劍且相鄰時
MSID_H_RoyEngageAtk_Dragon	以炎之劍攻擊前方的橫向3格\n目標格與其後2格會陷入燃燒狀態\n僅限持劍且相鄰時\n【龍族】擴大攻擊範圍
MSID_H_RoyEngageAtk_Magic	以炎之劍攻擊前方的橫向3格\n目標格與其後2格會陷入燃燒狀態\n僅限持劍且相鄰時\n【魔道】擴大燃燒範圍
MSID_H_RoyEngageAtk_CMD	攻擊前方的複數格並使四周燃燒。
MSID_M011_RoyEngage_DarkSide	超越（闇）
MSID_H_M011_RoyEngage_DarkSide	單位等級+3
MSID_AugmentDamage_1	避開要害
MSID_H_AugmentDamage_1	於武器互克上占優勢時，所受傷害-3
MSID_AugmentDamage_2	避開要害+
MSID_H_AugmentDamage_2	於武器互克上占優勢時，所受傷害-5
MSID_AugmentDamage_3	避開要害++
MSID_H_AugmentDamage_3	於武器互克上占優勢時，所受傷害-7
MSID_Ambush_1	埋伏
MSID_H_Ambush_1	受到敵人攻擊時\n若自身的HP為25%以下，可搶先攻擊對方
MSID_Ambush_2	埋伏+
MSID_H_Ambush_2	受到敵人攻擊時\n若自身的HP為50%以下，可搶先攻擊對方
MSID_Ambush_3	埋伏++
MSID_H_Ambush_3	受到敵人攻擊時\n若自身的HP為75%以下，可搶先攻擊對方
MSID_LeafEngage	瞬應
MSID_H_LeafEngage	受到敵人攻擊時\n若持有於射程、互克、克制上占優勢的武器\n將自動更換為該武器
MSID_H_LeafEngage_Dragon	受到敵人攻擊時\n若持有較占優勢的武器，將自動更換為該武器\n【龍族】該次戰鬥中，命中+30
MSID_H_LeafEngage_Coop	受到敵人攻擊時\n若持有較占優勢的武器，將自動更換為該武器\n【連攜】該次戰鬥中，必殺+10
MSID_H_LeafEngage_Covert	受到敵人攻擊時\n若持有較占優勢的武器，將自動更換為該武器\n【隱密】該次戰鬥中，回避+20
MSID_H_LeafEngage_Heavy	受到敵人攻擊時\n若持有較占優勢的武器，將自動更換為該武器\n【重裝】該次戰鬥中，防守+5
MSID_H_LeafEngage_Fly	受到敵人攻擊時\n若持有較占優勢的武器，將自動更換為該武器\n【飛行】該次戰鬥中，魔防+5
MSID_LeafEngageAtk	四重巧擊
MSID_H_LeafEngageAtk	使用劍、槍、斧、弓施展連續攻擊
MSID_H_LeafEngageAtk_Dragon	使用劍、槍、斧、弓施展連續攻擊\n【龍族】傷害增為120%
MSID_H_LeafEngageAtk_Covert	使用劍、槍、斧、弓施展連續攻擊\n【隱密】打倒敵人時，一定機率獲得1000G\n（機率為「幸運」%）
MSID_H_LeafEngageAtk_Prana	使用劍、槍、斧、弓施展連續攻擊\n【氣功】必定打破
MSID_H_LeafEngageAtk_CMD	使用劍、槍、斧、弓施展連續攻擊。
MSID_BondPower	雙重攻擊
MSID_H_BondPower	即使自身的戰鬥類型並非「連攜」\n亦可參與連鎖攻擊
MSID_DualAssist_1	雙重協助
MSID_H_DualAssist_1	當我方單位攻擊自身可攻擊範圍\n（移動距離+射程）內的敵人時，\n若自身戰鬥類型為「連攜」或\n可使用特技「雙重攻擊」，\n將有35%機率參與連鎖攻擊
MSID_DualAssist_2	雙重協助+
MSID_H_DualAssist_2	當我方單位攻擊自身可攻擊範圍\n（移動距離+射程）內的敵人時，\n若自身戰鬥類型為「連攜」或\n可使用特技「雙重攻擊」，\n將有70%機率參與連鎖攻擊
MSID_DualSupport	雙重支援
MSID_H_DualSupport	與相鄰我方單位的支援等級越高\n回避提升越多（上限為+90）
MSID_LucinaEngage	牽絆之盾
MSID_H_LucinaEngage_CMD	80%機率使相鄰我方單位所受攻擊無效。
MSID_H_LucinaEngage_CMD_Dragon	90%機率使相鄰我方單位所受攻擊無效。
MSID_H_LucinaEngage_CMD_Prana	使相鄰我方單位所受攻擊無效，僅限1次。
MSID_H_LucinaEngage	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效
MSID_H_LucinaEngage_Dragon	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效\n【龍族】發動率+10%
MSID_H_LucinaEngage_Horse	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效\n【騎馬】若我方單位的類型為騎馬則必定發動
MSID_H_LucinaEngage_Heavy	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效\n【重裝】若我方單位的類型為重裝則必定發動
MSID_H_LucinaEngage_Fly	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效\n【飛行】若我方單位的類型為飛行則必定發動
MSID_H_LucinaEngage_Prana	可使用「牽絆之盾」指令，80%機率\n使敵人對相鄰我方單位的首次攻擊無效\n【氣功】發動率為100%
MSID_LucinaEngageAtk	人人為我
MSID_H_LucinaEngageAtk	自身周圍2格內的我方單位將參與連鎖攻擊\n僅限持劍且相鄰時
MSID_H_LucinaEngageAtk_Dragon	周圍2格內的我方單位將參與連鎖攻擊\n僅限持劍且相鄰時\n【龍族】參與連鎖的我方單位命中率為100%
MSID_H_LucinaEngageAtk_Coop	周圍2格內的我方單位將參與連鎖攻擊\n僅限持劍且相鄰時\n【連攜】範圍+1
MSID_H_LucinaEngageAtk_CMD	周圍的我方單位將參與連鎖攻擊。
MSID_Pursuit_1	強攻
MSID_H_Pursuit_1	自身發動攻擊時\n若可追擊且速度高於對方9以上\n會搶先在敵人反擊前施展追擊
MSID_Pursuit_2	強攻+
MSID_H_Pursuit_2	自身發動攻擊時\n若可追擊且速度高於對方7以上\n會搶先在敵人反擊前施展追擊
MSID_Pursuit_3	強攻++
MSID_H_Pursuit_3	自身發動攻擊時\n若可追擊且速度高於對方5以上\n會搶先在敵人反擊前施展追擊
MSID_SpeedAbsorption	速度吸收
MSID_H_SpeedAbsorption	自身發動攻擊時，每打倒1個敵人，速度+2\n（上限為+10，效果持續至該戰鬥結束為止）
MSID_LinEngage	殘像
MSID_H_LinEngage	可使用「殘像」指令\n創造出4個僅能參與自身連鎖攻擊的殘像
MSID_H_LinEngage_Dragon	可使用「殘像」指令\n創造出4個僅能參與自身連鎖攻擊的殘像\n【龍族】殘像數量+1
MSID_H_LinEngage_Fly	可使用「殘像」指令\n創造出4個僅能參與自身連鎖攻擊的殘像\n【飛行】殘像的回避+10
MSID_H_LinEngage_CMD	創造出可參與連鎖攻擊的殘像。
MSID_LinEngage_Delete_CMD	解除殘像
MSID_H_LinEngage_Delete_CMD	解除創造出的殘像。
MSID_LinEngageAtk	流星群
MSID_H_LinEngageAtk	連續施展5次射程10、30%傷害的攻擊\n僅限持弓
MSID_H_LinEngageAtk_Dragon	連續施展5次射程10、30%傷害的攻擊\n僅限持弓\n【龍族】射程+5
MSID_H_LinEngageAtk_Covert	連續施展5次射程10、30%傷害的攻擊\n僅限持弓\n【隱密】射程+10
MSID_H_LinEngageAtk_Prana	連續施展5次射程10、30%傷害的攻擊\n僅限持弓\n【氣功】必定打破
MSID_H_LinEngageAtk_CMD	使用弓箭施展超遠距離的連續攻擊。
MSID_H_LinEngageAtk_Weak	連續施展5次射程10、20%傷害的攻擊\n僅限持弓
MSID_H_LinEngageAtk_DarkSide_Prana	連續施展5次射程10、20%傷害的攻擊\n僅限持弓\n【氣功】必定打破
MSID_Ravage	破壞
MSID_H_Ravage	使用「破壞」指令時\n只需一擊就能破壞目標
MSID_PullBack	帶回
MSID_H_PullBack	可使用「帶回」指令\n使相鄰我方單位移動至自身的另一側
MSID_H_PullBack_CMD	使我方單位移動至自身的另一側。
