MID_WU_C_1_IN_#001	早安！神龍大人，天亮囉！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	唉，我真是個貪心鬼。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	收到戒指就已經夠開心了……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我卻還想著要獨占你更多的時間……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	真是不應該啊。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	沒有什麼事情能比叫醒自己的搭檔更幸福了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早啊，你馬上就起來了呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	你該不會是在等我叫你起床吧？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……謝謝你。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	神龍大人總是這麼貼心……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	我最喜歡你了……！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	神龍大人……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	改天我們再一起去那家店吃飯吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	雖然我很喜歡大家……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	也常常見人就說喜歡……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	但當時是我第一次這麼認真地提出邀約。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	無論是過去還是未來……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我最愛的人只有你。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	我最喜歡你了。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	剛才的話你都聽見了嗎？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	畢竟天有不測風雲、人有旦夕禍福……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	誰知道以後還有沒有機會說呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	之後的每一天……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	我都會跟你說「我喜歡你」。\x0E\x04\x00\x00
