MID_WU_C_1_IN_#001	四翼首領──賽勒斯提雅，
MID_WU_A_1_WAKEUP_#001	原本想找您一起吃飯，好補上忘記吃的份。
MID_WU_A_1_WAKEUP_#002	不過，現在這樣也挺開心的呢。
MID_WU_A_1_WAKEUP_#003	看著神龍大人的可愛睡臉，我也……
MID_WU_A_1_WAKEUP_#004	呼啊啊～
MID_WU_A_1_HELLO_#001	呼……呼……
MID_WU_A_1_HELLO_#002	啊……連我都睡著了。
MID_WU_A_1_HELLO_#003	對了，不如我們去散步提神一下？
MID_WU_A_1_HELLO_#004	雖然我好像忘記了什麼……
MID_WU_A_1_HELLO_#005	不過，那一定是錯覺吧。
MID_WU_A_2_IN_#001	能夠像這樣叫神龍大人起床，我實在太幸福了。
MID_WU_A_2_IN_#002	一切彷彿都回到了從前的那個世界。
MID_WU_A_2_SOON_#001	早安。
MID_WU_A_2_SOON_#002	雖然您是另一個世界的神龍大人，
MID_WU_A_2_SOON_#003	但你們剛睡醒的表情簡直一模一樣呢。
MID_WU_A_2_SOON_#004	總覺得有種令人懷念的感覺。
MID_WU_A_2_WAKEUP_#001	在那個世界裡，琉彌艾爾大人還在世的時候……
MID_WU_A_2_WAKEUP_#002	都是我負責叫醒您的喔。
MID_WU_A_2_WAKEUP_#003	雖然您登基之後，就沒有我出場的機會了……
MID_WU_A_2_HELLO_#001	神龍大人，您醒了呢。
MID_WU_A_2_HELLO_#002	您可不要太早改掉賴床的習慣喔。
MID_WU_A_2_HELLO_#003	要是您能一個人起床，
MID_WU_A_2_HELLO_#004	我會很寂寞的呢。
MID_WU_S_1_IN_#001	我來叫您起床囉，
MID_WU_S_1_IN_#002	我最喜歡的神龍大人。
MID_WU_S_1_SOON_#001	呵呵，我來叫您起床……
MID_WU_S_1_SOON_#002	而您聽到我的聲音後馬上醒來。
MID_WU_S_1_SOON_#003	光是如此，我就已經感到無比幸福。
MID_WU_S_1_SOON_#004	擁有家人真是美好呢……
MID_WU_S_1_SOON_#005	我們就這樣永遠相依相伴吧。
MID_WU_S_1_WAKEUP_#001	唔。最愛的搭檔來迎接您，您卻毫無反應，
MID_WU_S_1_WAKEUP_#002	這也太讓人傷心了吧。
MID_WU_S_1_WAKEUP_#003	您要是再不起床，
MID_WU_S_1_WAKEUP_#004	賽勒斯提雅就要被其他龍搶走了喔～
MID_WU_S_1_WAKEUP_#005	才怪，騙您的啦。
MID_WU_S_1_WAKEUP_#006	我的眼裡永遠只有您……
MID_WU_S_1_WAKEUP_#007	您是我在這個世界上最愛的人喔。
MID_WU_S_1_HELLO_#001	在充滿愛意的聲音下醒來，感覺如何？
MID_WU_S_1_HELLO_#002	咦？您說好幸福？
MID_WU_S_1_HELLO_#003	真是傷腦筋啊。
MID_WU_S_1_HELLO_#004	聽到您這麼說……
MID_WU_S_1_HELLO_#005	我反而覺得有點難為情呢……
MID_WU_S_2_IN_#001	看來我的搭檔今天又睡過頭了，
MID_WU_S_2_IN_#002	真是讓人頭疼呢。
MID_WU_S_2_SOON_#001	哎呀，居然馬上就起來了，您真是體貼。
MID_WU_S_2_SOON_#002	不過……
MID_WU_S_2_SOON_#003	您可以多跟我撒嬌喔。
MID_WU_S_2_SOON_#004	我希望您能對我展現……
MID_WU_S_2_SOON_#005	別人看不到的那一面。
MID_WU_S_2_WAKEUP_#001	睡得非常沉呢。
MID_WU_S_2_WAKEUP_#002	今後我……
MID_WU_S_2_WAKEUP_#003	一定也會繼續照顧您吧……
MID_WU_S_2_WAKEUP_#004	畢竟我們是家人嘛，您可不要拒絕喔。
MID_WU_S_2_WAKEUP_#005	沒想到神龍族和魔龍族……
MID_WU_S_2_WAKEUP_#006	居然能建立如此深厚的感情。
MID_WU_S_2_WAKEUP_#007	謝謝您願意成為我真正的家人。
MID_WU_S_2_WAKEUP_#008	能夠得到您的愛……
MID_WU_S_2_WAKEUP_#009	我真是幸福。
MID_WU_S_2_HELLO_#001	早安。
MID_WU_S_2_HELLO_#002	今天我也最喜歡您了。
MID_WU_S_2_HELLO_#003	哎呀，您別害羞嘛。
MID_WU_S_2_HELLO_#004	我打算之後的每一天都要說喜歡您呢……
MID_WU_S_2_HELLO_#005	第一天就害羞成這樣，您可會吃不消喔。
