MID_H_INFO_WLV_Bullet	炮彈
MIID_H_Bullet_Magic+	附有強大魔力的炮彈。\n不可追擊/距離對方越遠，命中越低。
MIID_Bullet_Penetration	穿透炮彈
MIID_H_Bullet_Penetration	擁有強大穿透力的炮彈。\n不可追擊/攻擊力固定/無視防禦力。\n距離對方越遠，命中越低。
MIID_Fang	獠牙
MIID_H_Fang	被詛咒的銳利獠牙\n自身發動的攻擊命中時\n戰鬥後對方的HP最大值-5\n（效果可疊加，最多-20）
MIID_Veronica_Hlidskjalf	至高王座之杖
MIID_H_Veronica_Hlidskjalf	紋章士維洛妮卡的攻擊魔法之杖。\n自身發動攻擊時，對方不會反擊。
MIID_Veronica_WholeHeal	全體聖療+
MIID_H_Veronica_WholeHeal	紋章士維洛妮卡的魔法之杖。\n可回復位於周圍7格內的\n我方全員HP與異常狀態。
MIID_Veronica_Elivagar	冰之波
MIID_H_Veronica_Elivagar	紋章士維洛妮卡的強大魔法。\n戰鬥後使對手無法強化7種基本能力值，\n效果持續1回合。
MIID_Veronica_EngageAtk_R	紅色召喚石
MIID_Veronica_EngageAtk_B	藍色召喚石
MIID_Veronica_EngageAtk_G	綠色召喚石
MIID_Veronica_EngageAtk_N	無色召喚石
MIID_Chrom_ThunderSword	雷電劍
MIID_H_Chrom_ThunderSword	紋章士魯弗萊的魔法劍。\n能以魔法之雷攻擊遠方敵人。
MIID_Chrom_Thoron	托隆
MIID_H_Chrom_Thoron	紋章士魯弗萊的強大雷魔法。
MIID_Chrom_Falchion	神劍法爾西昂
MIID_H_Chrom_Falchion	紋章士庫洛武的傳說之劍。\n克制龍。
MSID_SPConvert	SP轉換
MSID_H_SPConvert	打倒敵人時獲得的SP+20\n（未配戴戒指、手鐲也可發動）
MSID_BloodyRevenge	血仇
MSID_H_BloodyRevenge	HP未達最大值時\n將減少量的30%加計至攻擊力
MSID_BloodyRevenge+	血仇+
MSID_H_BloodyRevenge+	HP未達最大值時\n將減少量的50%加計至攻擊力
MSID_BreakThroughLimit	突破極限
MSID_H_BreakThroughLimit	擊敗等級高於自身的單位時\n自身等級+1，效果持續至該戰鬥結束為止\n（等級最多+3）
MSID_AnotherWorldsPower	異界之力
MSID_H_AnotherWorldsPower	不展開戰鬥及不使用道具便待命時\n「異界之力」會提升1個階段\n（上限為5階段，發動提升過的效果後\n會變回「異界之力」）
MSID_AnotherWorldsPower+1	異界之力＜閉＞
MSID_H_AnotherWorldsPower+1	自身發動攻擊後\n使對方陷入冰封狀態
MSID_AnotherWorldsPower+2	異界之力＜炎＞
MSID_H_AnotherWorldsPower+2	自身發動攻擊後\n使對方陷入冰封狀態\n並讓對方所在的格子陷入燃燒狀態
MSID_AnotherWorldsPower+3	異界之力＜死＞
MSID_H_AnotherWorldsPower+3	自身發動攻擊後\n造成對方10傷害並使其陷入冰封狀態\n且讓對方所在的格子陷入燃燒狀態
MSID_AnotherWorldsPower+4	異界之力＜夢＞
MSID_H_AnotherWorldsPower+4	自身發動攻擊時\n自身可回復造成傷害的HP\n戰鬥後造成對方10傷害並使其陷入冰封狀態\n且讓對方所在的格子陷入燃燒狀態
MSID_AnotherWorldsPower+5	異界之力＜科＞
MSID_H_AnotherWorldsPower+5	自身發動攻擊時\n自身與相鄰我方單位可回復造成傷害的HP\n戰鬥後造成對方10傷害並使其陷入冰封狀態\n且讓對方所在的格子陷入燃燒狀態
MSID_VeronicaEngage	契約
MSID_H_VeronicaEngage	可使用「契約」指令\n使結束行動的相鄰我方單位再次行動\n（再次行動時不能移動）
MSID_H_VeronicaEngage_CMD	使我方單位再次行動。（不能移動）
MSID_H_VeronicaEngage_Dragon	可使用「契約」指令\n使結束行動的相鄰我方單位再次行動\n（再次行動時不能移動）\n【龍族】再次行動時\n我方單位的力量、魔力、防守、魔防+2
MSID_H_VeronicaEngage_Coop	可使用「契約」指令\n使結束行動的相鄰我方單位再次行動\n（再次行動時不能移動）\n【連攜】使用此技能的單位\n必定參與再次行動的我方單位之連鎖攻擊
MSID_H_VeronicaEngage_Covert	可使用「契約」指令\n使結束行動的相鄰我方單位再次行動\n（再次行動時不能移動）\n【隱密】再次行動時\n我方單位的命中、回避+30
MSID_VeronicaEngageAtk	英雄召喚
MSID_H_VeronicaEngageAtk	可隨機召喚單位
MSID_H_VeronicaEngageAtk_CMD	隨機召喚單位。
MSID_VeronicaEngageAtk_CMD_R	\x0E\x08\x02\x12\x10RedStone紅色召喚石
MSID_H_VeronicaEngageAtk_CMD_R	召喚能使用劍的單位。
MSID_VeronicaEngageAtk_CMD_B	\x0E\x08\x02\x14\x12BlueStone藍色召喚石
MSID_H_VeronicaEngageAtk_CMD_B	召喚能使用槍的單位。
MSID_VeronicaEngageAtk_CMD_G	\x0E\x08\x02\x16\x14GreenStone綠色召喚石
MSID_H_VeronicaEngageAtk_CMD_G	召喚能使用斧的單位。
MSID_VeronicaEngageAtk_CMD_W	\x0E\x08\x02\x16\x14WhiteStone無色召喚石
MSID_H_VeronicaEngageAtk_CMD_W	召喚能使用劍、槍、斧以外\n武器的單位。
MSID_H_VeronicaEngageAtk_Dragon	可隨機召喚單位\n【龍族】能召喚出強大的單位
MSID_H_VeronicaEngageAtk_Coop	可隨機召喚單位\n【連攜】召喚出來的單位\n可使用特技「雙重攻擊」
MSID_H_VeronicaEngageAtk_Horse	可隨機召喚單位\n【騎馬】召喚出來的單位移動+1
MSID_ByForce	奮力
MSID_H_ByForce	發動物理攻擊時\n必殺攻擊可比平常\n造成更多傷害
MSID_Charisma	超凡魅力
MSID_H_Charisma	自身的攻擊發動連鎖攻擊時\n提升連鎖攻擊的命中率
MSID_SuckerPunch	偷襲
MSID_H_SuckerPunch	於回避地形發動攻擊時\n不會遭到反擊
MSID_RainbowCry	七彩吶喊
MSID_H_RainbowCry	可使用「支援」指令\n使相鄰我方單位7種基本能力值+3\n效果持續1回合\n
MSID_Rooting	支援
MSID_H_Rooting_CMD	相鄰我方單位基本能力值+3。
MSID_RainbowCry+	七彩吶喊+
MSID_H_RainbowCry+	可使用「支援+」指令\n使自身周圍2格內我方單位\n7種基本能力值+3，效果持續1回合
MSID_Rooting+	支援+
MSID_H_Rooting+_CMD	周圍2格內我方單位基本能力值+3。
MSID_ChromEngage	另一半
MSID_H_ChromEngage	自身發動攻擊時\n魯弗萊會參與連鎖攻擊\n魔力+10
MSID_H_ChromEngage_Dragon	自身發動攻擊時\n魯弗萊會參與連鎖攻擊\n魔力+10\n【龍族】魯弗萊參與連鎖攻擊的次數\n提升為2次
MSID_H_ChromEngage_Coop	自身發動攻擊時\n魯弗萊會參與連鎖攻擊\n魔力+10\n【連攜】連鎖攻擊必定命中
MSID_H_ChromEngage_Covert	自身發動攻擊時\n魯弗萊會參與連鎖攻擊\n魔力+10\n【隱密】移動+1
MSID_H_ChromEngage_Single	自身的攻擊發動連鎖攻擊時\n連鎖攻擊必定命中\n力量+5、魔力+10
MSID_ChromEngageAtk	萬鈞雷霆劍
MSID_H_ChromEngageAtk	用附有魔力的劍攻擊敵人\n僅限持劍\n（以物理攻擊力施展的魔法攻擊）
MSID_H_ChromEngageAtk_Dragon	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n【龍族】將力量的50%加計至傷害
MSID_H_ChromEngageAtk_Fly	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n【飛行】將體格加計至傷害
MSID_H_ChromEngageAtk_Magic	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n【魔道】將魔力的50%加計至傷害
MSID_H_ChromEngageAtk_CMD	用附有魔力的劍攻擊敵人。
MSID_ChromEngageAtk+	萬鈞雷霆劍+
MSID_H_ChromEngageAtk+	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n與自身相鄰的我方單位\n將參與連鎖攻擊
MSID_H_ChromEngageAtk+_Dragon	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n與自身相鄰的我方單位\n將參與連鎖攻擊\n【龍族】將力量的50%加計至傷害
MSID_H_ChromEngageAtk+_Fly	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n與自身相鄰的我方單位\n將參與連鎖攻擊\n【飛行】將體格加計至傷害
MSID_H_ChromEngageAtk+_Magic	用附有魔力的劍攻擊敵人/僅限持劍\n（以物理攻擊力施展的魔法攻擊）\n與自身相鄰的我方單位\n將參與連鎖攻擊\n【魔道】將魔力的50%加計至傷害
MSID_H_ChromEngageAtk+_CMD	周圍的我方單位將參與連鎖攻擊。
MSID_Mag_Tec_1	魔力、技巧+1
MSID_H_Mag_Tec_1	魔力與技巧提升1
MSID_Mag_Tec_2	魔力、技巧+2
MSID_H_Mag_Tec_2	魔力與技巧提升2
MSID_Mag_Tec_3	魔力、技巧+3
MSID_H_Mag_Tec_3	魔力與技巧提升3
MSID_Mag_Tec_4	魔力、技巧+4
MSID_H_Mag_Tec_4	魔力與技巧提升4
MSID_Mag_Tec_5	魔力、技巧+5
MSID_H_Mag_Tec_5	魔力與技巧提升5
MSID_Tec_Spd_1	速度、技巧+1
MSID_H_Tec_Spd_1	速度與技巧提升1
MSID_Tec_Spd_2	速度、技巧+2
MSID_H_Tec_Spd_2	速度與技巧提升2
MSID_Tec_Spd_3	速度、技巧+3
MSID_H_Tec_Spd_3	速度與技巧提升3
MSID_Tec_Spd_4	速度、技巧+4
MSID_H_Tec_Spd_4	速度與技巧提升4
MSID_Tec_Spd_5	速度、技巧+5
MSID_H_Tec_Spd_5	速度與技巧提升5
MSID_AntiKnifeArts_1	短劍術對策Lv.1
MSID_H_AntiKnifeArts_1	與裝備短劍的敵人戰鬥時\n所受傷害-1
MSID_AntiKnifeArts_2	短劍術對策Lv.2
MSID_H_AntiKnifeArts_2	與裝備短劍的敵人戰鬥時\n所受傷害-2
MSID_AntiKnifeArts_3	短劍術對策Lv.3
MSID_H_AntiKnifeArts_3	與裝備短劍的敵人戰鬥時\n所受傷害-3
MSID_AntiKnifeArts_4	短劍術對策Lv.4
MSID_H_AntiKnifeArts_4	與裝備短劍的敵人戰鬥時\n所受傷害-4
MSID_AntiKnifeArts_5	短劍術對策Lv.5
MSID_H_AntiKnifeArts_5	與裝備短劍的敵人戰鬥時\n所受傷害-5
MSID_AntiSwordArts_1	劍術對策Lv.1
MSID_H_AntiSwordArts_1	與裝備劍的敵人戰鬥時\n所受傷害-1
MSID_AntiSwordArts_2	劍術對策Lv.2
MSID_H_AntiSwordArts_2	與裝備劍的敵人戰鬥時\n所受傷害-2
MSID_AntiSwordArts_3	劍術對策Lv.3
MSID_H_AntiSwordArts_3	與裝備劍的敵人戰鬥時\n所受傷害-3
MSID_AntiSwordArts_4	劍術對策Lv.4
MSID_H_AntiSwordArts_4	與裝備劍的敵人戰鬥時\n所受傷害-4
MSID_AntiSwordArts_5	劍術對策Lv.5
MSID_H_AntiSwordArts_5	與裝備劍的敵人戰鬥時\n所受傷害-5
MSID_JobSkill_MageCanon	全彈發射
MSID_H_JobSkill_MageCanon	可使用「全彈發射」指令\n犧牲裝備的武器\n在我軍下個行動階段開始時\n朝指定位置發動必中的範圍攻擊
MSID_H_JobSkill_MageCanon_CMD	消費炮彈\n下回合發動必中的範圍攻擊。
MSID_JobSkill_Wolf	群起狩獵
MSID_H_JobSkill_Wolf	周圍3格內與自身相同兵種的\n我方單位必定會參與連鎖攻擊
MID_BONDSRING_Chrom00	異界伊里斯聖王國的王子。\n右肩上有「聖痕」，是英雄王的後裔。
MID_BONDSRING_Chrom01	擁有不屈不撓的信念，不會陷入任何絕望。\n手持神劍，開拓出充滿希望的未來。
MID_BONDSRING_Reflet00	來歷不明，倒臥在外時被庫洛武所救，\n後來成為他的夥伴。
MID_BONDSRING_Reflet01	與庫洛武在戰鬥中締結堅定的友誼，\n帶領世界走向充滿希望的未來。
MID_BONDSRING_Veronica00	異界恩布拉帝國皇帝之女。\n曾率領各路英雄侵略其他國家。
MID_BONDSRING_Veronica01	聲音稚嫩，言詞卻很犀利，\n是名氣質嚇人的文靜少女。
MGID_Ring_Chrom	聖王的手鐲
MGID_H_Ring_Chrom	人稱「牽絆紋章士」庫洛武所寄宿的手鐲。\n是位信任夥伴、扭轉命運的神聖王子。
MGID_Ring_Reflet	聖王的手鐲
MGID_H_Ring_Reflet	人稱「牽絆紋章士」魯弗萊所寄宿的手鐲。\n是位失去記憶，輔佐著庫洛武的天才軍師。
MGID_Ring_Veronica	年幼皇女的手鐲
MGID_H_Ring_Veronica	人稱「英雄紋章士」維洛妮卡所寄宿的手鐲。\n是位能操控異界英雄的皇女。
MGID_World_Chrom	聖公主的世界
MGID_World_Reflet	聖公主的世界
MGID_World_Veronica	年幼皇女的世界
MID_RELAY_Stamp_Chrom_0	朋友啊，儘管依賴我吧！
MID_RELAY_Stamp_Reflet_0	得想想新的計策才行……
MID_RELAY_Stamp_Veronica_0	什麼都是你們的……太不公平了……
MID_BGM_DLC_Field_S16_Combat_ST_Play	英雄的試煉～呼矗
MID_BGM_DLC_Field_S16_Map_ST_Play	英雄的試煉
MID_BGM_Evt_Advent_Veronica_ST_Play	呼矗、英雄紋章士
MID_Hub_Well	神秘水井
MID_Hub_Area_Event	事件
MID_Hub_Area_ItemReturn	轉換完畢
MID_Hub_Well_TitleHelp	請選擇欲採取的行動。
MID_Hub_Well_ItemExchange	轉換道具
MID_Hub_Well_ItemExchange_TitleHelp	請選擇不要的道具。
MID_Hub_Well_ItemExchange_Expected	期待值
MID_Hub_Well_ItemExchange_Dialog_Title	是否轉換下列道具？
MID_Hub_Well_ItemExchange_Dialog_Before	要丟入的道具
MID_Hub_Well_ItemExchange_Dialog_Yes	轉換
MID_Hub_Well_ItemExchange_Get	獲得
MID_Hub_Well_ItemExchange_Message	已將道具丟入水井。\n（出擊後即可領取）
MID_Hub_Well_Nothing1	有一股神秘的氣息……
MID_Hub_Well_Nothing2	現在已沒有特別的氣息。
PCTMID_Chrom	朋友啊，儘管依賴我吧！
PCTMID_Reflet	得想想新的計策才行……
PCTMID_Veronica	真想把你收為己有……
MID_Movie_K19	紋章士維洛妮卡
MID_H_Movie_K19	自「年幼皇女的手鐲」顯現的\n紋章士維洛妮卡。
MID_Movie_K18	紋章士庫洛武
MID_H_Movie_K18	自「聖王的手鐲」顯現的\n紋章士庫洛武。
MID_MAP_HIS_EngageSummon	\x0E\x01\x00\x00已發動英雄召喚。
MID_MAP_HIS_Contract	\x0E\x01\x00\x00已發動契約。
MID_MAP_HIS_FullBullet	\x0E\x01\x00\x00已發動全彈發射。
