MID_FOOD_RESULT	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_FOOD_H_DumplingsOfMeat	以麵團包裹絞肉、蔬菜、麵包粉，\n最後再加入香草煮成的料理。
MID_FOOD_PotatoSoup	薯湯
MID_FOOD_H_PotatoSoup	使用搗成泥的薯類煮成的濃稠湯品。
MID_FOOD_WhiteSausage	白香腸
MID_FOOD_H_WhiteSausage	使用羊肉及新鮮豬肉製成的培根，\n混以香草提味後製成的香腸。
MID_FOOD_StewedSaltedMeat	燉煮鹽漬肉
MID_FOOD_H_StewedSaltedMeat	將鹽漬豬腱肉、蔬菜、香草\n燉煮數小時的料理。
MID_FOOD_CreamCroquette	奶油可樂餅
MID_FOOD_H_CreamCroquette	加入了白醬的可樂餅。
MID_FOOD_SmokedEel	煙燻鰻魚
MID_FOOD_H_SmokedEel	將去除內臟的鰻魚煙燻而成的料理，\n口感柔軟、可以連皮一起品嘗。
MID_FOOD_PickledPicklesHerringRoll	醋漬鯡魚捲
MID_FOOD_H_PickledPicklesHerringRoll	用醋漬鯡魚將洋蔥等\n醃菜捲起來的料理。
MID_FOOD_FriedCarp	酥炸鯉魚
MID_FOOD_H_FriedCarp	將內臟處理乾淨的鯉魚\n直接高溫油炸的料理。
MID_FOOD_ApplePie	蘋果派
MID_FOOD_H_ApplePie	加入滿滿薄切蘋果烘焙而成的派。
MID_FOOD_StewedCabbage	醃漬高麗菜
MID_FOOD_H_StewedCabbage	將切好的高麗菜放進瓶子或醃漬罐，\n並加入鹽與辛香料仔細攪拌醃漬的料理。
MID_FOOD_PotatoPancakes	馬鈴薯鬆餅
MID_FOOD_H_PotatoPancakes	將馬鈴薯磨成泥後加入麵糊\n倒入平底鍋煎成的料理。
MID_FOOD_SteamedDumpling	蒸糰子
MID_FOOD_H_SteamedDumpling	以鍋子加熱奶油與牛奶，\n並將揉成圓形的麵團排放好後蓋上鍋蓋，\n調理手法像是燉煮的蒸煮料理。
MID_FOOD_OnionQuiche	洋蔥鹹派
MID_FOOD_H_OnionQuiche	將大量洋蔥和培根以小火炒開後倒入\n鹹派的麵糊中，並使用烤箱烘烤而成的料理。
MID_FOOD_FruitHamToast	蘋果起司吐司
MID_FOOD_H_FruitHamToast	在吐司片上擺放蘋果薄片與起司的料理。
MID_FOOD_PeachCake	蜜桃蛋糕
MID_FOOD_H_PeachCake	在奶油麵糊裡加入蜜桃烘焙，\n會撒滿糖粉再享用的點心。
MID_FOOD_NutsAndHoneyCake	樹果焦糖蛋糕
MID_FOOD_H_NutsAndHoneyCake	將焦糖樹果切片放在麵糊上烘焙，\n並加入卡士達奶油夾心的點心。
MID_FOOD_BoiledRedWineInBerry	糖漿燉莓果
MID_FOOD_H_BoiledRedWineInBerry	將莓果以及紅石榴糖漿\n燉煮至濃稠狀後放置冷卻，\n搭配清涼冰品一起享用的點心。
MID_FOOD_FriedBreadOfDonutStyle	甜甜圈式炸麵包
MID_FOOD_H_FriedBreadOfDonutStyle	內餡為果醬與奶油的炸麵包。
MID_FOOD_TearingPancakes	撕碎鬆餅
MID_FOOD_H_TearingPancakes	薄煎香甜的鬆餅麵糊後，\n撕碎成一口大小並抹上奶油，\n最後撒上糖粉的點心。
MID_FOOD_Omlet	夾心蛋包
MID_FOOD_H_Omlet	在歐姆蛋裡加入番茄、起司等\n各種夾心內餡的料理。
MID_FOOD_ThickGrilledCrepePizza	厚片可麗餅披薩
MID_FOOD_H_ThickGrilledCrepePizza	使用厚煎的可麗餅麵糊製作，\n嚼勁十足的披薩。
MID_FOOD_ThickSlicedPotatoFries	厚切薯條
MID_FOOD_H_ThickSlicedPotatoFries	將厚切馬鈴薯高溫油炸後，\n撒上大量鹽巴的料理。
MID_FOOD_LambAndCabbageStew	燉煮高麗菜羊肉
MID_FOOD_H_LambAndCabbageStew	將羊肉和高麗菜一起下鍋燉煮，\n煮到高麗菜入口即化為止的料理。
MID_FOOD_RoastWithSkinOfPorkBelly	脆皮豬五花
MID_FOOD_H_RoastWithSkinOfPorkBelly	將豬五花肉連皮帶肉\n高溫蒸烤的料理。
MID_FOOD_SteamedThighMeatOfSaltedSheep	蒸鹽漬羊腿
MID_FOOD_H_SteamedThighMeatOfSaltedSheep	將鹽巴均勻塗抹在羊腿肉上，\n經乾燥過後再蒸烤而成的料理。
MID_FOOD_FruitPie	水果派
MID_FOOD_H_FruitPie	將乾燥的水果乾\n包進派裡烘焙而成的點心。
MID_FOOD_BoiledBeefInWine	葡萄酒燉牛肉
MID_FOOD_H_BoiledBeefInWine	將牛肉切成一口大小後\n加入洋蔥一起拌炒，並以葡萄酒醬汁燉煮，\n最後再放入奶油的料理。
MID_FOOD_BraisedCod	燉煮鱈魚
MID_FOOD_H_BraisedCod	將鱈魚乾泡水後加入鹼水，\n再經燉煮而成的料理。
MID_FOOD_FishCreamSoup	鮮魚濃湯
MID_FOOD_H_FishCreamSoup	使用大量鮮奶油的鮮魚濃湯。
MID_FOOD_MeatDumplingWithCreamSauce	白醬肉丸
MID_FOOD_H_MeatDumplingWithCreamSauce	將味道濃郁的白醬淋在肉丸上的料理，\n醬汁富含甘甜的水果香氣，與肉十分相襯。
MID_FOOD_MarinatedSalmon	醃泡鮭魚
MID_FOOD_H_MarinatedSalmon	使用鹽、砂糖、香草醃漬的鮭魚料理，\n有股獨特的臭味。
MID_FOOD_CrispBread	薄脆餅乾
MID_FOOD_H_CrispBread	只用小麥粉、鹽、水製作，\n外觀類似蘇打餅乾的薄餅。
MID_FOOD_PorridgeOfSourCream	酸奶油粥
MID_FOOD_H_PorridgeOfSourCream	將酸奶油與小麥粉、\n牛奶一起燉煮而成的料理。\n可以搭配砂糖以及融化的奶油享用。
MID_FOOD_CrepePancake	可麗餅鬆餅
MID_FOOD_H_CrepePancake	將鬆餅煎得像可麗餅一樣薄，\n塗上果醬後捲起食用的點心。
MID_FOOD_JamCake	果醬蛋糕
MID_FOOD_H_JamCake	塗上果醬的海綿蛋糕。
MID_FOOD_TreeCake	大樹蛋糕
MID_FOOD_H_TreeCake	在麵糊裡面加入蛋白霜等材料，\n做成大小不一的圓環後放入烘焙，\n按照尺寸堆疊成圓錐形的點心。
MID_FOOD_FishDumpling	魚丸
MID_FOOD_H_FishDumpling	將基底為白肉魚的魚漿\n以奶油煎過再燉煮而成的料理。
MID_FOOD_GoatCheese	山羊起司
MID_FOOD_H_GoatCheese	使用百分之百純羊奶製成的褐色起司。
MID_FOOD_Oatmeal	燕麥
MID_FOOD_H_Oatmeal	將牛奶倒入麥片中後加熱的料理。
MID_FOOD_BakedPotatoes	烤馬鈴薯
MID_FOOD_H_BakedPotatoes	將一整顆下去烤的馬鈴薯切開後，\n加上起司、豆類等配料的料理。
MID_FOOD_NutsCompote	樹果蜜餞
MID_FOOD_H_NutsCompote	將多種樹果加進糖水中燉煮而成的料理。
MID_FOOD_BoiledEggGroundMeatRolls	水煮蛋炸肉丸
MID_FOOD_H_BoiledEggGroundMeatRolls	使用牛絞肉包覆水煮蛋，\n再裹以麵包粉油炸的料理。
MID_FOOD_CurryOfChickenAndTomato	雞肉番茄咖哩
MID_FOOD_H_CurryOfChickenAndTomato	將煎過的雞肉放入以番茄與奶油為基底的\n咖哩醬汁中燉煮而成的料理。
MID_FOOD_StewedSheep	燉煮肉餡羊肚
MID_FOOD_H_StewedSheep	將羊內臟、洋蔥、香草等材料\n塞入羊的胃袋後燉煮而成的料理。
MID_FOOD_CrumbleCake	奶酥蛋糕
MID_FOOD_H_CrumbleCake	將煮過的水果鋪在以小麥粉、奶油、砂糖\n調出的麵糊上，並加以烘焙而成的點心。
MID_FOOD_MarinatedOnionAndHerring	醃泡洋蔥鯡魚
MID_FOOD_H_MarinatedOnionAndHerring	將鯡魚、胡蘿蔔、洋蔥\n加入醋與砂糖醃漬而成的料理。
MID_FOOD_BakedPie	包餡烤派
MID_FOOD_H_BakedPie	將絞肉、洋蔥、馬鈴薯等餡料\n以派皮包起來後烘焙而成的料理。
MID_FOOD_NutsMilkPie	樹果牛奶派
MID_FOOD_H_NutsMilkPie	將炸過的樹果以及\n用磨碎的樹果製作的糖漿\n夾入薄炸的派皮中，形成層次分明的點心。
MID_FOOD_NutsRicePudding	樹果米布丁
MID_FOOD_H_NutsRicePudding	將米加入用磨碎的樹果\n製作的糖漿及牛奶中燉煮而成的點心。
MID_FOOD_DomeBread	巨蛋麵包
MID_FOOD_H_DomeBread	將多種乾燥水果乾\n混入麵糰中烘焙而成的\n巨蛋形甜麵包。
MID_FOOD_ColdVegetableSoup	蔬菜冷湯
MID_FOOD_H_ColdVegetableSoup	將多種蔬菜與水、蘋果等材料\n混合在一起攪碎而成的料理。
MID_FOOD_RawHam	生火腿
MID_FOOD_H_RawHam	使用高級豬肉製成的生火腿。
MID_FOOD_SkeweredMeat	串燒肉
MID_FOOD_H_SkeweredMeat	將以香料與油醃漬過的肉類\n串起後燒烤而成的料理。
MID_FOOD_Paella	海鮮燉飯
MID_FOOD_H_Paella	將米放入以蔬菜及海鮮熬煮出的\n湯底中炊成的燉飯。
MID_FOOD_StewedBaconAndBeans	燉煮肉丸豆子
MID_FOOD_H_StewedBaconAndBeans	將肉丸、豆子、洋蔥\n一起燉煮而成的料理。
MID_FOOD_Tiramisu	提拉米蘇
MID_FOOD_H_Tiramisu	先鋪上浸泡過濃縮咖啡的餅乾，\n接著擠上特製奶油，反覆添加數次後\n放入冷藏凝固而成的點心。
MID_FOOD_BerrySaucePannaCotta	莓果醬奶凍
MID_FOOD_H_BerrySaucePannaCotta	在熱奶油中加入事先軟化的吉利丁、\n砂糖、香草等，並將材料倒入模具中，\n等待凝固後淋上莓果果醬享用的點心。
MID_FOOD_SeafoodAjillo	海鮮料理
MID_FOOD_H_SeafoodAjillo	將各種海鮮\n以橄欖油、大蒜燉煮而成的料理。
MID_FOOD_FriedSardines	酥炸沙丁魚
MID_FOOD_H_FriedSardines	將尺寸較小的沙丁魚\n整尾放入橄欖油中油炸的料理。
MID_FOOD_FriedVegetables	炒蔬菜
MID_FOOD_H_FriedVegetables	將蔬菜與大蒜一起翻炒而成的料理。
MID_FOOD_BoiledTomatoesInVinegar	糖醋番茄
MID_FOOD_H_BoiledTomatoesInVinegar	番茄佐以洋蔥、香料\n再用糖醋醬汁燉煮而成的料理。
MID_FOOD_CremeBrulee	焦糖烤布蕾
MID_FOOD_H_CremeBrulee	在冷卻的卡士達醬上灑滿砂糖，\n再以火烤做出焦糖表層的點心。
MID_FOOD_Churro	吉拿棒
MID_FOOD_H_Churro	使用星型模具將麵團擠壓成形後放入油炸，\n經常搭配砂糖、蜂蜜食用的點心。
MID_FOOD_SoftCandy	軟糖
MID_FOOD_H_SoftCandy	將樹果和砂糖、蛋白霜等材料混合後，\n倒入模具內冷卻凝固而成的點心。
MID_FOOD_AuthenticPizza	道地披薩
MID_FOOD_H_AuthenticPizza	在擀平的麵皮上塗抹番茄醬，\n並撒上起司、羅勒葉後烘焙而成的料理。
MID_FOOD_Risotto	燉飯
MID_FOOD_H_Risotto	將白飯以奶油拌炒後，\n加入高湯、香料燉煮而成的料理
MID_FOOD_RiceCroquette	米飯可樂餅
MID_FOOD_H_RiceCroquette	在使用熱水煮過的米中\n拌入蛋液、起司、鹽、胡椒，\n並裹上麵包粉油炸而成的料理。
MID_FOOD_RosettaBread	玫瑰麵包
MID_FOOD_H_RosettaBread	外型仿如玫瑰、內為空心的麵包，\n外皮酥脆，香氣誘人。
MID_FOOD_AcquaPazza	番茄水煮魚
MID_FOOD_H_AcquaPazza	將魚類搭配番茄、橄欖油\n一起燉煮而成的料理。
MID_FOOD_VealRoll	嫩牛肉捲
MID_FOOD_H_VealRoll	將薄切的生牛菲力夾入\n起司、醬料等材料後製成的料理。
MID_FOOD_SaltedPorkNeck	鹽漬豬頸肉
MID_FOOD_H_SaltedPorkNeck	將鹽漬豬頸肉搭配香草燒烤後，\n薄切盛盤的料理。
MID_FOOD_BloodBoiledSausage	血腸
MID_FOOD_H_BloodBoiledSausage	加入血液製作的香腸\n經水煮而成的料理。
MID_FOOD_PotatoMeatBun	馬鈴薯肉包
MID_FOOD_H_PotatoMeatBun	使用豬肉、洋蔥當作餡料\n再用馬鈴薯麵皮包起來的食物。
MID_FOOD_Cocotte	燉烤鍋
MID_FOOD_H_Cocotte	將馬鈴薯、魚、奶油放入燉烤鍋器皿，\n再以烤箱烘烤而成的料理。
MID_FOOD_GreenPeasMash	豌豆泥
MID_FOOD_H_GreenPeasMash	將牛奶、奶油拌入豌豆後，\n一同搗碎成泥的料理。
MID_FOOD_SandwichCake	三明治蛋糕
MID_FOOD_H_SandwichCake	將魚切片擺成花的形狀，\n裝飾得像蛋糕般華麗的三明治。
MID_FOOD_RoastedSalmon	烤鮭魚
MID_FOOD_H_RoastedSalmon	將事先調味過的鮭魚烘烤的料理。
MID_FOOD_StewedMashedPotatoesAndKale	燉煮香草馬鈴薯泥
MID_FOOD_H_StewedMashedPotatoesAndKale	將香草、牛奶拌入\n馬鈴薯泥中燉煮而成的料理。
MID_FOOD_SalmonAndPotatoGratin	鮭魚薯類焗烤
MID_FOOD_H_SalmonAndPotatoGratin	將醃漬鮭魚與其他薯類堆疊好，\n淋上蛋液及牛奶後，\n再以烤箱烘烤而成的料理。
MID_FOOD_ShamrockSalad	三葉草沙拉
MID_FOOD_H_ShamrockSalad	將三葉草盛盤裝好，\n淋上橄欖油、調味醋食用的料理。
MID_FOOD_BaconAndFishWrappedBread	培根魚肉麵包
MID_FOOD_H_BaconAndFishWrappedBread	將培根、醃漬魚反覆堆疊數層後\n用裸麥麵粉製成的麵團包起來，\n再以烤箱烘培而成的料理。
MID_FOOD_JamCookies	果醬餅乾
MID_FOOD_H_JamCookies	在餅乾中央留下凹陷，\n填上果醬後以烤箱烘焙而成的點心。
MID_FOOD_CinnamonRoll	肉桂捲
MID_FOOD_H_CinnamonRoll	將奶油塗抹在拉長的麵糰上，\n撒上砂糖、肉桂粉後捲成麻花狀，\n再以烤箱烘焙而成的點心。
MID_FOOD_CabbageAndNutSalad	高麗菜樹果沙拉
MID_FOOD_H_CabbageAndNutSalad	使用高麗菜、樹果\n佐上醬料做成的料理。
MID_FOOD_OpenSandwich	外餡三明治
MID_FOOD_H_OpenSandwich	將裸麥麵包切成薄片後塗上奶油，\n再放上起司、煙燻鮭魚等多種配料，\n配料多到幾乎看不見麵包的一道料理。
MID_FOOD_AppleCharlotte	蘋果奶油蛋糕
MID_FOOD_H_AppleCharlotte	將奶油擠在餅乾做成的蛋糕體上，\n等待燉煮過的蘋果切片冷卻後，\n整齊地擺在奶油上面的點心。
MID_FOOD_MochiPancake	彈牙鬆餅
MID_FOOD_H_MochiPancake	將雞蛋、小麥粉、牛奶等材料製成的\n麵糊倒在鐵板上，仔細烘烤而成的點心。
MID_FOOD_SauteedBaconAndApples	香煎培根蘋果
MID_FOOD_H_SauteedBaconAndApples	將切成條狀的豬五花油煎，\n加上在平底鍋以少許油高溫煎製成的蘋果，\n兩者一同組成的料理。
MID_FOOD_BerryJelly	莓果果凍
MID_FOOD_H_BerryJelly	將太白粉加入莓果汁中\n燉煮至濃稠後放置冷卻，\n最後再以鮮奶油點綴的點心。
MID_FOOD_BakingSodaBread	蘇打麵包
MID_FOOD_H_BakingSodaBread	使用蘇打代替酵母製作的麵包。
MID_FOOD_SashimiPlatter	生魚片拼盤
MID_FOOD_H_SashimiPlatter	將生魚肉切成長條狀的拼盤。
MID_FOOD_MisoSoup	味噌湯
MID_FOOD_H_MisoSoup	將鹽與麴加進大豆或麥類裡，\n等待發酵後以熱水溶解，\n並放入豆腐與海菜等配料的料理。
MID_FOOD_Uiro	外郎餅
MID_FOOD_H_Uiro	將砂糖加入小麥粉或低筋麵粉中，\n並蒸烤成形的點心。
MID_FOOD_Anmitsu	餡蜜
MID_FOOD_H_Anmitsu	在紅豆餡或切成方形的寒天上\n擺滿蜜桃或柳橙等配料，\n最後淋上黑糖享用的點心。
MID_FOOD_EggOverRice	生蛋拌飯
MID_FOOD_H_EggOverRice	在米飯上淋上生蛋與醬油的料理。
MID_FOOD_CountrysideBread	鄉村麵包
MID_FOOD_H_CountrysideBread	僅使用裸麥麵粉、鹽、水製作的\n巨大橢圓形麵包。
MID_FOOD_Croissant	牛角麵包
MID_FOOD_H_Croissant	把奶油夾在麵團中反覆對折，\n經烘焙後會呈現牛角形，\n外觀獨具特色的麵包。
MID_FOOD_StewedLambMeat	燉煮羊肉
MID_FOOD_H_StewedLambMeat	將羊肉清炒後，加入馬鈴薯、洋蔥等\n燉煮而成的料理。
MID_FOOD_StewedVegetables	燉煮滿滿蔬菜
MID_FOOD_H_StewedVegetables	大量添加多種蔬菜\n熬煮而成的蔬菜湯。
MID_FOOD_CodDip	鱈魚沾醬
MID_FOOD_H_CodDip	加入以牛奶煮過的馬鈴薯，\n和鱈魚一同攪拌成泥狀的沾醬。\n常搭配蘇打餅乾等較清淡的食物享用。
MID_FOOD_HotCrepe	熱可麗餅
MID_FOOD_H_HotCrepe	利用果汁為可麗餅增添香氣的點心。
MID_FOOD_BerryAndCustardTartCake	莓果卡士達塔蛋糕
MID_FOOD_H_BerryAndCustardTartCake	將卡士達醬及黑莓果醬\n擠在塔皮上烘焙而成的點心。
MID_FOOD_PeachSorbet	蜜桃雪酪
MID_FOOD_H_PeachSorbet	將榨出的蜜桃汁結凍製成的點心。
MID_FOOD_AppleBeignet	蘋果貝涅餅
MID_FOOD_H_AppleBeignet	將蘋果放入泡芙皮中再經油炸，\n最後撒上糖粉的點心。
MID_FOOD_OrangeChocolate	柳橙巧克力
MID_FOOD_H_OrangeChocolate	將水煮過的柳橙以砂糖醃漬後，\n放入烤箱烘烤後放置冷卻，\n最後以巧克力裝點而成的點心。
MID_FOOD_FruitCandy	水果糖葫蘆
MID_FOOD_H_FruitCandy	用糖漿或是麥芽糖\n均勻塗抹在整顆水果上，\n並用棍子串起以便手持。
MID_FOOD_Smoothie	果昔
MID_FOOD_H_Smoothie	將各種水果混合在一起所打出的飲料。
MID_FOOD_AppleCanpot	蘋果糖漬飲料
MID_FOOD_H_AppleCanpot	以大量的水和砂糖熬煮蘋果後，\n僅倒出汁液品嘗的飲品。\n有時也會當成冷飲來喝。
MID_FOOD_OrangeMarmalade	柳橙醬
MID_FOOD_H_OrangeMarmalade	將柳橙連皮熬煮而成的果醬，\n常搭配蘇打餅乾等較清淡的食物享用。
MID_FOOD_VegetableStick	蔬菜棒
MID_FOOD_H_VegetableStick	將各種蔬菜切成棒狀，\n搭配美乃滋等各種醬料食用的沙拉。
MID_FOOD_ChiliSalad	辣醬沙拉
MID_FOOD_H_ChiliSalad	將使用大量香料\n製成的辣醬淋在沙拉上。\n嘗起來非常地辣。
MID_FOOD_ChiliFruitStick	辣醬水果棒
MID_FOOD_H_ChiliFruitStick	將新鮮的水果切成棒狀，\n並撒上大量香料粉。\n嘗起來非常地辣。
MID_FOOD_ChiliIceCream	辣醬冰淇淋
MID_FOOD_H_ChiliIceCream	淋上了辣醬的冰淇淋。\n初嘗仍是甜品，但吃到一半便會全身發燙。\n嘗起來非常地辣。
MID_FOOD_RedPepperPickles	醃漬辣椒
MID_FOOD_H_RedPepperPickles	將辣椒以醋醃漬的料理，\n嘗起來非常地辣。
MID_FOOD_TomYumSoupWithChicken	酸辣雞湯
MID_FOOD_H_TomYumSoupWithChicken	將香料加入雞湯內熬煮而成的料理。\n特徵是擁有多層次的香氣、酸勁與辣感。\n嘗起來非常地辣。
MID_FOOD_BoiledChiliWithCheese	燉煮辣椒起司
MID_FOOD_H_BoiledChiliWithCheese	將辣椒、起司以水燉煮後，再加入\n番茄、大蒜等材料繼續熬煮而成的料理。\n嘗起來非常地辣。
MID_FOOD_RedMaboTofu	紅色麻婆豆腐
MID_FOOD_H_RedMaboTofu	將牛絞肉，豆腐和\n辣椒等香料一起拌炒而成的料理。\n嘗起來非常地辣。
MID_FOOD_FriedPorkKimchi	泡菜炒豬肉
MID_FOOD_H_FriedPorkKimchi	放入以辣椒等多種香料醃漬數日的蔬菜，\n和豬肉一起拌炒而成的料理。\n嘗起來非常地辣。
MID_FOODRANK_COND_ComeFromBrodia	來自布羅帝亞的單位
MID_FOODRANK_COND_ComeFromFilene	來自費列聶的單位
MID_FOODRANK_COND_ComeFromSolum	來自索爾姆的單位
MID_FOODRANK_COND_ComeFromIrcion	來自伊爾席翁的單位
MID_FOODRANK_COND_ComeFromLithos	來自里特司的單位
MID_FOODRANK_COND_IsMale	男性
MID_FOODRANK_COND_IsFemale	女性
MID_FOODRANK_COND_IsAdult	大人
MID_FOODRANK_COND_IsChild	小孩
MID_FOODRANK_COND_IsLueur	主角
