MID_WU_C_1_IN_#001	早上囉，神龍大人！！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	睡得真香……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	如果可以，余並不想讓重要的人上戰場。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	想由自己承擔所有的痛苦……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	但這樣溫柔的爾一定不會開心吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	……余只能守在一旁，看著爾經歷傷痛然後變強……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	這可真是難耐啊。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安，今天也得上戰場呢……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	但無論發生什事都別擔心！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	余能看見一幅畫……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	畫裡的我等……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	未來幸福而安穩，直到永遠。\x0E\x04\x00\x00
