MID_BONDSRING_H_CommonTytle	「登場作品」
MID_BONDSRING_H_Ethlin01	西格爾特的妹妹，\n獨當一面且擅長照顧人。
MID_BONDSRING_H_Ethlin02	嫁給哥哥的摯友喬安王子，\n生下阿爾緹娜與里弗。
MID_BONDSRING_H_Ethlin03	《聖戦の系譜》
MID_BONDSRING_Ferry	菲莉
MID_BONDSRING_H_Ferry00	異界英雄之一，\n效命西里西亞王國的天馬騎士。
MID_BONDSRING_H_Ferry01	人稱「四天馬騎士」的精銳士兵之一，\n為了尋找雷文王子奔走四方。
MID_BONDSRING_H_Ferry02	擁有過人的身手，\n但個性老實，容易受騙。
MID_BONDSRING_H_Ferry03	《聖戦の系譜》
MID_BONDSRING_Azel	艾澤爾
MID_BONDSRING_H_Azel00	異界尤格多拉爾陸地中\n格蘭貝魯王國貝爾特瑪公爵家的勳爵。
MID_BONDSRING_H_Azel01	傳承魔法戰士法拉血脈的聖戰士後裔，\n擅長火焰魔法的善良青年。
MID_BONDSRING_H_Azel02	為了拯救遭擄的心儀女子愛汀，\n奮不顧身出戰。
MID_BONDSRING_H_Azel03	《聖戦の系譜》
MID_BONDSRING_Celica00	異界瓦倫西亞陸地中\n索菲亞王國的王族倖存者。
MID_BONDSRING_Celica01	為了探究世界異變的原因踏上旅途，\n與阿雷武一同對抗邪神多瑪。
MID_BONDSRING_Alm	阿雷武
MID_BONDSRING_H_Alm00	拯救異界瓦倫西亞陸地的英雄。
MID_BONDSRING_H_Alm01	富有正義感的少年，\n左手上有聖痕，是預言中的勇士。
MID_BONDSRING_H_Alm02	與賽莉卡是兒時玩伴，在旅行途中重逢，\n同心協力對抗邪神多瑪。
MID_BONDSRING_H_Alm03	《外伝》《Echoes》
MID_BONDSRING_Deute	迪優特
MID_BONDSRING_H_Deute00	異界英雄之一，個性開朗的魔道士。
MID_BONDSRING_H_Deute01	原本遭敵軍的妖術師操控，\n受到阿雷武救助後，成為了夥伴。
MID_BONDSRING_H_Deute02	出身邊境村落，但是厭惡鄉村，\n夢想是與都會人結下良緣。
MID_BONDSRING_H_Deute03	《外伝》《Echoes》
MID_BONDSRING_Effie	艾菲
MID_BONDSRING_H_Effie00	異界英雄之一，愛慕阿雷武的少女。
MID_BONDSRING_H_Effie01	來自阿雷武長大的拉姆村，\n兩人是兒時玩伴。
MID_BONDSRING_H_Effie02	從小傾心於阿雷武，\n夢想將來能與他共度一生。
MID_BONDSRING_H_Effie03	《Echoes》
MID_BONDSRING_Genny	傑妮
MID_BONDSRING_H_Genny00	異界英雄之一，溫文沉靜的修女。
MID_BONDSRING_H_Genny01	原本侍奉於諾瓦島上的修道院，\n但是決心和賽莉卡一同踏上旅程。
MID_BONDSRING_H_Genny02	喜歡悠悠哉哉地過日子，\n愛好在家閱讀或撰寫故事。
MID_BONDSRING_H_Genny03	《外伝》《Echoes》
MID_BONDSRING_Lukas	盧卡
MID_BONDSRING_H_Lukas00	異界英雄之一，索菲亞解放軍的士兵。
MID_BONDSRING_H_Lukas01	舉止穩重的青年，\n引領阿雷武加入解放軍。
MID_BONDSRING_H_Lukas02	雖然出身貴族，卻不仰仗家世，\n待人一律彬彬有禮。
MID_BONDSRING_H_Lukas03	《外伝》《Echoes》
MID_BONDSRING_Conrad	孔拉特
MID_BONDSRING_H_Conrad00	異界英雄之一，充滿謎團的蒙面騎士。
MID_BONDSRING_H_Conrad01	總是在賽莉卡陷入危機之際，\n挺身相救。
MID_BONDSRING_H_Conrad02	面戴白色面具，\n隱藏真實身分。
MID_BONDSRING_H_Conrad03	《Echoes》
MID_BONDSRING_Saber	賽巴
MID_BONDSRING_H_Saber00	異界英雄之一，本領高強的傭兵。
MID_BONDSRING_H_Saber01	為了橫渡海盜肆虐的海洋，\n賽莉卡所雇用的保鑣。
MID_BONDSRING_H_Saber02	雖是看重金錢的無賴，但亦有和善的一面，\n旅途中守護著青澀的賽莉卡並給他建言。
MID_BONDSRING_H_Saber03	《外伝》《Echoes》
MID_BONDSRING_Silque	希爾科
MID_BONDSRING_H_Silque00	異界英雄之一，\n信奉女神美拉的虔誠修女。
MID_BONDSRING_H_Silque01	曾遭盜賊俘擄，\n受到阿雷武救助後，成為了夥伴。
MID_BONDSRING_H_Silque02	信仰深厚，盼望著美拉的教誨\n能拯救受苦受難的百姓。
MID_BONDSRING_H_Silque03	《外伝》《Echoes》
MID_BONDSRING_Mae	梅伊
MID_BONDSRING_H_Mae00	異界英雄之一，朝氣蓬勃的少女魔道士。
MID_BONDSRING_H_Mae01	來自諾瓦島的修道院，\n與賽莉卡一同踏上旅程，前往美拉神殿。
MID_BONDSRING_H_Mae02	十分景仰賽莉卡，在身邊扶持著他。\n兩人既是主從，也是朋友。
MID_BONDSRING_H_Mae03	《外伝》《Echoes》
MID_BONDSRING_Valbar	巴爾博
MID_BONDSRING_H_Valbar00	異界英雄之一，以實力自豪的重裝軍人。
MID_BONDSRING_H_Valbar01	身世悲慘，為了替遭海盜\n奪命的家人復仇而戰。
MID_BONDSRING_H_Valbar02	個性豪邁，擅長照顧人，\n頗受夥伴仰慕。
MID_BONDSRING_H_Valbar03	《外伝》《Echoes》
MID_BONDSRING_Micaiah00	異界堤里烏斯陸地中\n戴因王國的義賊團「曉團」成員。
MID_BONDSRING_Micaiah01	盼望拯救祖國，\n並對抗企圖制裁人類的女神亞絲塔爾蒂。
MID_BONDSRING_Nephenee	涅菲妮
MID_BONDSRING_H_Nephenee00	異界英雄之一，克里米亞王國的女士兵。
MID_BONDSRING_H_Nephenee01	出身農村，為了拯救祖國，\n成為義勇兵參戰。
MID_BONDSRING_H_Nephenee02	沉默寡言、謙虛保守，\n卻心懷深厚的愛國情操。
MID_BONDSRING_H_Nephenee03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_BlackKnight	漆黑騎士
MID_BONDSRING_H_BlackKnight00	異界英雄之一，戴因王國最強的大將。
MID_BONDSRING_H_BlackKnight01	人稱「四駿」的精銳之一，\n全身包覆漆黑鎧甲，所向披靡、無人能敵。
MID_BONDSRING_H_BlackKnight02	殺害了傭兵團團長格萊爾，\n因此與團長之子艾克展開生死激戰。
MID_BONDSRING_H_BlackKnight03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Sothe	薩札
MID_BONDSRING_H_Sothe00	異界英雄之一，米卡雅的義弟。
MID_BONDSRING_H_Sothe01	義賊團「曉團」的成員，\n致力拯救遭帝國壓迫的人民。
MID_BONDSRING_H_Sothe02	以義弟的身分與米卡雅一同長大，\n雖然沒有血緣關係，卻比誰都重視米卡雅。
MID_BONDSRING_H_Sothe03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Erincia	艾琳西亞
MID_BONDSRING_H_Erincia00	異界堤里烏斯陸地中\n克里米亞王國的女王。
MID_BONDSRING_H_Erincia01	為人清廉，忠貞愛國，\n深受百姓愛戴。
MID_BONDSRING_H_Erincia02	信念堅定、厭惡爭鬥，\n甚至曾在戰場上卸下武器，要求停戰。
MID_BONDSRING_H_Erincia03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Tibarn	狄邦
MID_BONDSRING_H_Tibarn00	異界堤里烏斯陸地中\n菲尼奇斯王國的國王。
MID_BONDSRING_H_Tibarn01	可變身戰鬥的「拉古茲」之一，\n能化身為老鷹的鳥翼族鷹之民首領。
MID_BONDSRING_H_Tibarn02	靠著實力與聲望吸引許多志同道合的夥伴，\n享有「鷹王」之稱譽。
MID_BONDSRING_H_Tibarn03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Sanaki	莎娜琪
MID_BONDSRING_H_Sanaki00	異界堤里烏斯陸地中\n貝格尼昂帝國的領導人。
MID_BONDSRING_H_Sanaki01	第37代皇帝，\n能聽見女神神諭的「神使」。
MID_BONDSRING_H_Sanaki02	年紀輕輕便擁有堅強意志與高潔的心，\n將大國治理得有條不紊。
MID_BONDSRING_H_Sanaki03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Nike	妮凱
MID_BONDSRING_H_Nike00	異界堤里烏斯陸地中\n哈塔莉王國的女王。
MID_BONDSRING_H_Nike01	拉古茲之一，能變身成巨狼，\n擁有能將所視之人變成石頭的「邪眼」。
MID_BONDSRING_H_Nike02	與倒臥沙漠中的賽利諾斯王國王子\n拉菲魯相遇，此後兩人結為連理。
MID_BONDSRING_H_Nike03	《暁の女神》
MID_BONDSRING_Naesala	涅沙羅
MID_BONDSRING_H_Naesala00	異界堤里烏斯陸地中\n奇爾沃斯王國的國王。
MID_BONDSRING_H_Naesala01	可變身戰鬥的「拉古茲」之一，\n能化身為烏鴉的鳥翼族鴉之民首領。
MID_BONDSRING_H_Naesala02	老謀深算，\n總是以自己的國家利益為優先。
MID_BONDSRING_H_Naesala03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Caineghis	凱內基斯
MID_BONDSRING_H_Caineghis00	異界堤里烏斯陸地中\n加利亞王國的國王。
MID_BONDSRING_H_Caineghis01	可變身戰鬥的「拉古茲」之一，\n能化身為虎、貓的「獸牙族」首領。
MID_BONDSRING_H_Caineghis02	驍勇善戰、深謀遠慮，\n致力讓貝歐克與拉古茲建立友誼。
MID_BONDSRING_H_Caineghis03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Learne	莉婭妮
MID_BONDSRING_H_Learne00	異界堤里烏斯陸地中\n賽利諾斯王國的公主。
MID_BONDSRING_H_Learne01	祖國遭到暴徒殲滅，\n卻奇蹟似地生還，是唯一的倖存者。
MID_BONDSRING_H_Learne02	擁有一顆清澈透明、純真無瑕的心，\n能以咒歌撫慰疲憊的夥伴。
MID_BONDSRING_H_Learne03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Roy00	異界埃列布陸地中\n呂基亞地區的費雷侯爵家勳爵。
MID_BONDSRING_Roy01	挺身對抗侵略他國的伯爾尼王國，\n並力戰該國喚醒的魔龍伊敦。
MID_BONDSRING_Lilina	莉莉娜
MID_BONDSRING_H_Lilina00	異界埃列布陸地中\n呂基亞地區的奧斯提亞侯爵家女爵。
MID_BONDSRING_H_Lilina01	擁有優異魔道能力的天才少女，\n是羅伊的兒時玩伴。
MID_BONDSRING_H_Lilina02	以勇猛聞名的海克托爾之女，\n楚楚可憐卻堅強無比。
MID_BONDSRING_H_Lilina03	《封印の剣》《烈火の剣》
MID_BONDSRING_Sofiya	蘇菲亞
MID_BONDSRING_H_Sofiya00	異界英雄之一，\n充滿神秘氣息的薩滿巫師。
MID_BONDSRING_H_Sofiya01	擁有非凡神奇的力量，\n能夠預知未來。
MID_BONDSRING_H_Sofiya02	指引羅伊前往自己的故鄉──\n人龍共處的「納巴塔村落」。
MID_BONDSRING_H_Sofiya03	《封印の剣》《烈火の剣》
MID_BONDSRING_Rutger	路特加
MID_BONDSRING_H_Rutger00	異界英雄之一，孤傲寡言的劍士。
MID_BONDSRING_H_Rutger01	曾遭到伯爾尼王國滅族，\n為了復仇而戰。
MID_BONDSRING_H_Rutger02	起初受人雇用，與羅伊為敵，\n但在得知羅伊正與伯爾尼對抗後倒戈。
MID_BONDSRING_H_Rutger03	《封印の剣》
MID_BONDSRING_Fir	菲爾
MID_BONDSRING_H_Fir00	異界英雄之一，以劍為生的少女。
MID_BONDSRING_H_Fir01	人稱「劍姬」的女劍士卡菈之女，\n因崇拜母親而踏上修行之旅。
MID_BONDSRING_H_Fir02	認真勤勉，但因為太過相信他人，\n曾一度受騙，變成海盜的爪牙。
MID_BONDSRING_H_Fir03	《封印の剣》
MID_BONDSRING_Fa	法
MID_BONDSRING_H_Fa00	異界英雄之一，神龍族的倖存者。
MID_BONDSRING_H_Fa01	「龍族」之一，在納巴塔的\n隱密村落中避人耳目生活。
MID_BONDSRING_H_Fa02	外表是天真爛漫的年幼小孩，\n實際上已超過數百歲。
MID_BONDSRING_H_Fa03	《封印の剣》《烈火の剣》
MID_BONDSRING_Dieck	迪克
MID_BONDSRING_H_Dieck00	異界英雄之一，費雷侯爵家傭兵。\n
MID_BONDSRING_H_Dieck01	傭兵團團長，\n深受夥伴信賴。
MID_BONDSRING_H_Dieck02	曾為劍鬥士，\n其英勇在鬥技場聲名大噪。
MID_BONDSRING_H_Dieck03	《封印の剣》
MID_BONDSRING_Lugh	魯格
MID_BONDSRING_H_Lugh00	異界英雄之一，正直的少年。
MID_BONDSRING_H_Lugh01	孤兒院長大的雙胞胎哥哥，\n擅長理魔法的魔道士。
MID_BONDSRING_H_Lugh02	心地善良，\n為了守護親友決定挺身而戰。
MID_BONDSRING_H_Lugh03	《封印の剣》
MID_BONDSRING_Wolt	伍爾特
MID_BONDSRING_H_Wolt00	異界英雄之一，侍奉羅伊的弓箭手。
MID_BONDSRING_H_Wolt01	個性開朗、努力向上，\n為了成為羅伊稱職的家臣盡心盡力。
MID_BONDSRING_H_Wolt02	母親是羅伊的乳母，\n因此和羅伊是同乳兄弟。
MID_BONDSRING_H_Wolt03	《封印の剣》
MID_BONDSRING_Lleu	雷伊
MID_BONDSRING_H_Lleu00	異界英雄之一，早熟的少年。
MID_BONDSRING_H_Lleu01	孤兒院長大的雙胞胎弟弟，\n擅長闇魔法的薩滿巫師。
MID_BONDSRING_H_Lleu02	說話毒辣，實際上很為家人著想，\n為了替院長復仇而戰。
MID_BONDSRING_H_Lleu03	《封印の剣》
MID_BONDSRING_Cecilia	瑟西莉亞
MID_BONDSRING_H_Cecilia00	異界英雄之一，伊特魯里亞王國將軍。
MID_BONDSRING_H_Cecilia01	名將「三軍將」之一，\n統率魔道士的「魔道軍將」。
MID_BONDSRING_H_Cecilia02	是位冰雪聰明的女子，\n以師父的身分指導羅伊如何戰鬥。
MID_BONDSRING_H_Cecilia03	《封印の剣》
MID_BONDSRING_Leaf00	異界尤格多拉爾陸地中\n位於色雷斯半島的倫斯特王國王子。
MID_BONDSRING_Leaf01	挺身對抗控制半島的帝國軍，\n並力戰幕後黑手暗黑司教貝魯多。
MID_BONDSRING_Fin	芬恩
MID_BONDSRING_H_Fin00	異界英雄之一，侍奉里弗的騎士。
MID_BONDSRING_H_Fin01	倫斯特王國的忠臣，\n輔佐喬安與里弗兩代王子。
MID_BONDSRING_H_Fin02	倫斯特王城淪陷時，帶著里弗逃離，\n並將他細心扶養長大。
MID_BONDSRING_H_Fin03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Olwen	歐爾玟
MID_BONDSRING_H_Olwen00	異界英雄之一，為人認真的魔法騎士。
MID_BONDSRING_H_Olwen01	侍奉弗立吉家的軍人，\n兄長是名將萊茵哈特。
MID_BONDSRING_H_Olwen02	為人率真耿直，\n得知所屬軍隊的殘忍行徑後，毅然離開。
MID_BONDSRING_H_Olwen03	《トラキア776》
MID_BONDSRING_Mareeta	瑪麗塔
MID_BONDSRING_H_Mareeta00	異界英雄之一，費亞納義勇軍的劍士。
MID_BONDSRING_H_Mareeta01	義勇軍首領愛薇爾的養女，\n是位劍術優異的好勝少女。
MID_BONDSRING_H_Mareeta02	繼承劍聖奧德的血脈，\n熟習必殺奧義「月光劍」與「流星劍」。
MID_BONDSRING_H_Mareeta03	《トラキア776》
MID_BONDSRING_Nanna	南娜
MID_BONDSRING_H_Nanna00	異界英雄之一，拉克西絲女王的女兒。
MID_BONDSRING_H_Nanna01	和里弗王子一起\n在倫斯特騎士芬恩的養育下長大。
MID_BONDSRING_H_Nanna02	擁有遺傳自母親的美貌與高貴氣質，\n與夥伴一起為了解放色雷斯而戰。
MID_BONDSRING_H_Nanna03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Sety	賽提
MID_BONDSRING_H_Sety00	異界尤格多拉爾陸地中\n西里西亞王國的王子。
MID_BONDSRING_H_Sety01	雷文的兒子，繼承了聖戰士的血脈\n以及「風魔法弗魯賽提」。
MID_BONDSRING_H_Sety02	為了拯救百姓，成立反帝國組織「瑪奇團」，\n是人民口中的「勇者」。
MID_BONDSRING_H_Sety03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Sara	莎拉
MID_BONDSRING_H_Sara00	異界英雄之一，\n擁有神奇力量的修女。
MID_BONDSRING_H_Sara01	感受到里弗呼喚自己，\n成為夥伴出力相助。
MID_BONDSRING_H_Sara02	羅普托教團大司教曼福洛伊的孫女，\n但是厭惡祖父。
MID_BONDSRING_H_Sara03	《トラキア776》
MID_BONDSRING_Asvel	亞斯貝爾
MID_BONDSRING_H_Asvel00	異界英雄之一，\n擅長風魔法的魔道士。
MID_BONDSRING_H_Asvel01	瑪奇團團長賽提的弟子，\n在團長身邊學習各種知識。
MID_BONDSRING_H_Asvel02	年幼時曾遇見里弗王子，\n並發誓「要奪回色雷斯」。
MID_BONDSRING_H_Asvel03	《トラキア776》
MID_BONDSRING_Othin	奧辛
MID_BONDSRING_H_Othin00	異界英雄之一，費亞納義勇軍的斧戰士。
MID_BONDSRING_H_Othin01	年輕氣盛、充滿自信的青年，\n擅長擲斧技「佈極」。
MID_BONDSRING_H_Othin02	容易衝動、行事莽撞，\n但個性爽朗，是軍中的開心果。
MID_BONDSRING_H_Othin03	《トラキア776》
MID_BONDSRING_Shiva	席巴
MID_BONDSRING_H_Shiva00	異界英雄之一，流浪劍士。
MID_BONDSRING_H_Shiva01	一身黑衣，\n操控「必殺劍」的劍術高手。
MID_BONDSRING_H_Shiva02	冷酷無情，但並非毫無血淚，\n厭惡不珍惜自己性命的人。
MID_BONDSRING_H_Shiva03	《トラキア776》
MID_BONDSRING_Linoan	莉諾安
MID_BONDSRING_H_Linoan00	異界英雄尤格多拉爾陸地中\n位於色雷斯半島的塔拉公爵家女爵。
MID_BONDSRING_H_Linoan01	是名溫柔聰慧的女子，\n代替亡父擔任城塞都市塔拉的市長。
MID_BONDSRING_H_Linoan02	繼承聖戰士之一聖者赫姆的血脈，\n為抵抗帝國暴政，與里弗並肩作戰。
MID_BONDSRING_H_Linoan03	《トラキア776》
MID_BONDSRING_Lucina00	異界伊里斯聖王國的王子庫洛武之女，\n來自未來。
MID_BONDSRING_Lucina01	因未來世界被邪龍津利毀滅，\n為了改變命運而穿越時空戰鬥。
MID_BONDSRING_Sallya	撒拉
MID_BONDSRING_H_Sallya00	異界英雄之一，佩萊吉亞王國的咒術師。
MID_BONDSRING_H_Sallya01	是名陰沉、善妒的少女，\n時常獨自鑽研詭異咒術。
MID_BONDSRING_H_Sallya02	是軍中身材最姣好的人，\n愛慕魯弗萊，認為另一半非他不可。
MID_BONDSRING_H_Sallya03	《覚醒》
MID_BONDSRING_Chrom	庫洛武
MID_BONDSRING_H_Chrom00	異界伊里斯聖王國的王子。
MID_BONDSRING_H_Chrom01	英雄王的後裔，為了保護國家，\n成立自衛團，盡力於國事。
MID_BONDSRING_H_Chrom02	與軍師魯弗萊、女兒露琪娜等人\n一同對抗企圖毀滅世界的邪龍津利。
MID_BONDSRING_H_Chrom03	《覚醒》
MID_BONDSRING_Tiamo	蒂亞莫
MID_BONDSRING_H_Tiamo00	異界英雄之一，伊里斯聖王國的天馬騎士。
MID_BONDSRING_H_Tiamo01	擁有萬眾稱羨的美貌，\n凡事都難不倒他的天才少女。
MID_BONDSRING_H_Tiamo02	明知沒有結果，卻對庫洛武王子芳心暗許，\n是軍中最常嘆氣的人。
MID_BONDSRING_H_Tiamo03	《覚醒》
MID_BONDSRING_Marc	馬可
MID_BONDSRING_H_Marc00	異界英雄之一，魯弗萊之子。
MID_BONDSRING_H_Marc01	來自未來的少年少女之一，\n夢想是成為像魯弗萊一樣的軍師。
MID_BONDSRING_H_Marc02	雖失去記憶，但朝氣蓬勃，\n是軍中最自由奔放的人。
MID_BONDSRING_H_Marc03	《覚醒》
MID_BONDSRING_Nono	儂儂
MID_BONDSRING_H_Nono00	異界英雄之一，純真無邪的幼龍。
MID_BONDSRING_H_Nono01	幻化成人形的「龍族」，\n外表年幼，實際上已經超過千歲。
MID_BONDSRING_H_Nono02	喜歡與人玩耍，\n是軍中最晚起床的人。
