MID_PLACE_Filene	費列聶
MID_RULE_S014_WIN	戰勝紋章士馬爾斯
MID_RULE_S015_WIN	奪回戒指
MID_RULE_S015_LOSE	\x0E\x06\x03\x00被擊敗或敵方帶著戒指逃跑
MID_RULE_TURN_LOSE	\x0E\x06\x03\x00被擊敗或超過\x0E\x01\x00\x00回合
MID_RULE_VERSUS_LOSE	我方單位全數被擊敗，或超過\x0E\x01\x00\x00回合
MTID_Nothing	無
MTID_Engage	紋章氣
MTID_SoulOfDead	戰死者之魂
MTID_GuardFence	防護柵欄
MTID_BreakableWall	脆弱的牆
MTID_Cargo	貨物
MTID_Crystal	水晶
MTID_Pedestal	台座
MTID_Rock	岩石
MTID_RockLarge	巨岩
MTID_Sandbag	沙包
MTID_Chair	長椅
MTID_Paling	拒馬
MTID_Barrier	防護牆
MTID_ObstacleLow	矮障礙物
MTID_Altar	祭壇
MTID_Rubble	瓦礫
MTID_Pier	碼頭
MTID_Ground	地面
MTID_Forest	森林
MTID_Grove	林地
MTID_Desert	沙漠
MTID_Quicksand	流沙
MTID_Shallow	淺灘
MTID_River	河川
MTID_Waterway	水路
MTID_Mountain	山
MTID_Sky	天空
MTID_Bridge	橋
MTID_BridgeBroken	毀損的橋
MTID_BridgeRise	升起的橋
MTID_Ruin	毀損的建築物
MTID_Windmill	風車
MTID_PrivateHouse	民宅
MTID_House	建築物
MTID_StoneStatue	石像
MTID_Building	建造物
MTID_Hull	船身
MTID_Sarcophagus	棺材
MTID_Object	障礙物
MTID_Bush	草叢
MTID_Sea	海
MTID_Tile	地板
MTID_Lava	熔岩
MTID_Wall	牆壁
MTID_Stairs	樓梯
MTID_SummonCircle	魔法陣
MTID_WallLow	矮牆
MTID_Door	門扉
MTID_Chest	寶箱
MTID_Chest_Empty	空寶箱
MTID_Roof	屋頂
MTID_TileCollapsed	崩塌地板
MTID_TileRecovery	回復地板
MTID_TileDefense	防衛地板
MTID_Fort	堡壘
MTID_Pillar	柱子
MTID_PillarLarge	巨柱
MTID_Cliff	懸崖
MTID_Bonfire	篝火
MTID_Candlestick	燭台
MTID_Beach	沙灘
MTID_Shrubbery	綠籬
MTID_Deck	甲板
MTID_Mast	桅杆
MTID_EvilDragonVein	邪龍紋
MTID_BowCannon	弓弩炮台
MTID_MagicCannon	魔炮台
MTID_FireCannon	火炎炮台
MTID_Ring_Siglud	聖戰騎士戒指
MTID_Ring_Celica	慈悲公主戒指
MTID_Ring_Micaiah	拂曉巫女戒指
MTID_Ring_Roy	幼獅戒指
MTID_Ring_Leaf	賢王戒指
MTID_Ring_Lucina	聖公主戒指
MTID_Ring_Lin	草原女爵戒指
MTID_Ring_Ike	蒼炎勇者戒指
MTID_Ring_Byleth	引領者戒指
MTID_Ring_Kamui	選擇未來之人戒指
MTID_Ring_Eirik	碧綠風空戒指
MTID_NoEntry	區域外
MTID_HelpSpot	入口面板
MTID_Sandbox	沙地
MTID_GoldMountain	金幣堆
MTID_Spring	泉水
MTID_IceFloor	冰地板
MTID_Snowman	雪人
MTID_Hay	乾草堆
MTID_Cactus	仙人掌
MTID_RoseArch	玫瑰拱門
MTID_Remains	遺跡
MTID_Cart	搬運車
MTID_Well	水井
MTID_Loading	貨物
MTID_Fence	欄杆
MTID_AnimalStatue	動物雕像
MTID_SoraStatue	守護神像
MTID_EarthPillar	土柱
MTID_Fog	霧
MTID_Fire	火焰
MTID_Miasma	瘴氣
MTID_Aroma	薰香
MTID_Block	冰柱
MTID_Water	水窪
MTID_Ivy	藤蔓
MTID_Light	閃光
MID_TE_Avoid	回避
MID_TE_Heal	每回合回復
MID_TE_Damage	每回合傷害
MID_TE_Def	防守
MID_TE_MDef	魔防
MID_TE_PlayerDamage	我方的防守與魔防
MID_TE_EnemyDamage	敵方的防守與魔防
MID_TE_Break	打破無效
MID_TE_FlightOnly	無法步行
MID_TE_NoEntry	無法進入
MID_TE_Destroy	可破壞
MID_TE_Shine	照亮周圍格子
MID_TE_HelpSpot	可配置追加單位
MID_TE_Cannon_Attack	攻擊
MID_TE_Cannon_Hit	命中
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	特技效果
MID_TE_Move	移動
