MID_SYS_EnchantEffect	附魔效果
MSID_H_HectorEngageAtk_Covert	不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【隱密】回避+30
MSID_H_HectorEngageAtk_CMD	自身可發動追擊，但敵人無法追擊。
MSID_HectorEngageAtk+	止水雷轟架勢+
MSID_H_HectorEngageAtk+	戰鬥時必定可搶先攻擊對方\n不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧
MSID_H_HectorEngageAtk+_Dragon	戰鬥時必定可搶先攻擊對方\n不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【龍族】敵人無法使出必殺攻擊
MSID_H_HectorEngageAtk+_Coop	戰鬥時必定可搶先攻擊對方\n不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【連攜】必殺+20
MSID_H_HectorEngageAtk+_Covert	戰鬥時必定可搶先攻擊對方\n不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【隱密】回避+30
MSID_H_HectorEngageAtk+_CMD	自身可搶先攻擊並發動追擊，\n但敵人無法追擊。
MSID_MagicOfLaw+	理之精髓
MSID_H_MagicOfLaw+	使用魔道書攻擊時，炎之魔法可使對方防守-3\n雷之魔法可使對方命中-20\n風之魔法可使對方移動-2，效果持續1回合
MSID_KeenInsight	慧眼
MSID_H_KeenInsight	造成克制傷害時\n傷害+5
MSID_KeenInsight+	慧眼+
MSID_H_KeenInsight+	造成克制傷害時\n傷害+7
MSID_NominateDecoy	指名誘餌
MSID_H_NominateDecoy	可使用「指名誘餌」指令\n使任意我方單位容易成為敵方目標\n效果持續1回合\n最多指定1名/受到敵人3次攻擊後解除
MSID_H_NominateDecoy_CMD	使我方單位容易成為敵方目標。
MSID_PreventionReturn	阻止復原
MSID_H_PreventionReturn	使用魔道書攻擊陷入打破狀態的敵人時\n有一定機率讓敵人繼續維持打破狀態\n（速度比對方快越多，機率越高）
MSID_SenerioEngage	陽光
MSID_H_SenerioEngage	使用魔法攻擊時，使對手的魔防-20%\n並回復造成傷害50%的HP
MSID_H_SenerioEngage_Dragon	使用魔法攻擊時，使對手的魔防-20%\n並回復造成傷害50%的HP\n【龍族】必殺增為2倍
MSID_H_SenerioEngage_Magic	使用魔法攻擊時，使對手的魔防-20%\n並回復造成傷害50%的HP\n【魔道】對手的魔防額外-10%
MSID_H_SenerioEngage_Prana	使用魔法攻擊時，使對手的魔防-20%\n並回復造成傷害50%的HP\n【氣功】回復量增為造成傷害的100%
MSID_SenerioEngageAtk	災厄
MSID_H_SenerioEngageAtk	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊
MSID_H_SenerioEngageAtk_Dragon	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【龍族】對攻擊範圍的地形賦予「火焰」效果
MSID_H_SenerioEngageAtk_Magic	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【魔道】傷害+10%
MSID_H_SenerioEngageAtk_Prana	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【氣功】20%機率使對方陷入打破狀態
MSID_H_SenerioEngageAtk_CMD	對範圍內的敵人發動\n炎、雷、風魔法的3連擊。
MSID_H_SenerioEngageAtk_G004	以30%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊
MSID_SenerioEngageAtk+	災厄+
MSID_H_SenerioEngageAtk+	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊
MSID_H_SenerioEngageAtk+_Dragon	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【龍族】對攻擊範圍的地形賦予「火焰」效果
MSID_H_SenerioEngageAtk+_Magic	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【魔道】傷害+10%
MSID_H_SenerioEngageAtk+_Prana	以40%傷害的炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊\n【氣功】20%機率使對方陷入打破狀態
MSID_H_SenerioEngageAtk+_CMD	對範圍內的敵人發動\n炎、雷、風魔法的3連擊。
MSID_DragonPulse_other	龍脈・暗
MSID_H_DragonPulse_other	可使用「龍脈・暗」指令\n對格子賦予特殊效果
MSID_H_DragonPulse_other_CMD	對格子賦予特殊效果。
MSID_H_DragonPulse_other_Dragon	可使用「龍脈・暗」指令\n對格子賦予特殊效果\n【龍族】可賦予全種類的龍脈
MSID_DragonPulse_other_Coop	龍脈・暗〈護〉
MSID_H_DragonPulse_other_Coop_CMD	創造出具有防守、魔防\n提升效果的土柱。
MSID_H_DragonPulse_other_Coop	可使用「龍脈・暗〈護〉」指令\n對格子賦予特殊效果\n【連攜】創造出具有防守、魔防\n提升效果的土柱
MSID_DragonPulse_other_Horse	龍脈・暗〈水〉
MSID_H_DragonPulse_other_Horse_CMD	創造出具有\n回避降低效果的水窪。
MSID_H_DragonPulse_other_Horse	可使用「龍脈・暗〈水〉」指令\n對格子賦予特殊效果\n【騎馬】創造出具有\n回避降低效果的水窪
MSID_DragonPulse_other_Covert	龍脈・暗〈煙〉
MSID_H_DragonPulse_other_Covert_CMD	創造出具有\n防禦及回避降低效果的黑煙。
MSID_H_DragonPulse_other_Covert	可使用「龍脈・暗〈煙〉」指令\n對格子賦予特殊效果\n【隱密】創造出具有\n防禦及回避降低效果的黑煙
MSID_DragonPulse_other_Heavy	龍脈・暗〈綠〉
MSID_H_DragonPulse_other_Heavy_CMD	創造出使打破效果\n無效的藤蔓。
MSID_H_DragonPulse_other_Heavy	可使用「龍脈・暗〈綠〉」指令\n對格子賦予特殊效果\n【重裝】創造出使打破效果\n無效的藤蔓
MSID_DragonPulse_other_Fly	龍脈・暗〈癒〉
MSID_H_DragonPulse_other_Fly_CMD	創造出具有HP回復效果的\n治癒之霧。
MSID_H_DragonPulse_other_Fly	可使用「龍脈・暗〈癒〉」指令\n對格子賦予特殊效果\n【飛行】創造出具有HP回復效果的\n治癒之霧
MSID_DragonPulse_other_Magic	龍脈・暗〈炎〉
MSID_H_DragonPulse_other_Magic_CMD	創造出具有\n傷害效果的火焰。
MSID_H_DragonPulse_other_Magic	可使用「龍脈・暗〈炎〉」指令\n對格子賦予特殊效果\n【魔道】創造出具有傷害效果的火焰
MSID_DragonPulse_other_Prana	龍脈・暗〈迅〉
MSID_H_DragonPulse_other_Prana_CMD	創造出具有\n移動提升效果的結冰。
MSID_H_DragonPulse_other_Prana	可使用「龍脈・暗〈迅〉」指令\n對格子賦予特殊效果\n【氣功】創造出具有\n移動提升效果的結冰
MSID_EarthVeinAbsorption	地脈吸收
MSID_H_EarthVeinAbsorption	消除待命格子上的效果\n（「火焰」、「瘴氣」等），並回復10HP
MSID_Detox	解毒
MSID_H_Detox	我軍行動階段開始時解除中毒狀態
MSID_CleanUp	乘勝追擊
MSID_H_CleanUp	自身發動攻擊並觸發必殺攻擊時\n戰鬥後造成對方5傷害
MSID_CleanUp+	乘勝追擊+
MSID_H_CleanUp+	自身發動攻擊並觸發必殺攻擊時\n戰鬥後造成對方10傷害
MSID_CamillaEngage	天驅
MSID_H_CamillaEngage	移動+2/不受地形效果影響\n不是飛行類型也可進入無法步行的地形
MSID_H_CamillaEngage_Dragon	移動+2/不受地形效果影響\n不是飛行類型也可進入無法步行的地形\n【龍族】自身發動攻擊時\n對周圍2格內的敵人造成HP最大值10%的傷害
MSID_H_CamillaEngage_Horse	移動+2/不受地形效果影響\n不是飛行類型也可進入無法步行的地形\n【騎馬】移動額外+2
MSID_H_CamillaEngage_Fly	移動+2/不受地形效果影響\n不是飛行類型也可進入無法步行的地形\n【飛行】移動額外+1
MSID_CamillaEngageAtk	暗夜爆破陣
MSID_H_CamillaEngageAtk	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態
MSID_H_CamillaEngageAtk_Dragon	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【龍族】擴大效果範圍
MSID_H_CamillaEngageAtk_Magic	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【魔道】傷害增為120%
MSID_H_CamillaEngageAtk_Prana	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【氣功】對自身周圍1格的地形\n賦予「薰香」效果
MSID_H_CamillaEngageAtk_CMD	攻擊特定格子後，\n使格子陷入燃燒狀態。
MSID_CamillaEngageAtk+	暗夜爆破陣+
MSID_H_CamillaEngageAtk+	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態
MSID_H_CamillaEngageAtk+_Dragon	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【龍族】擴大效果範圍
MSID_H_CamillaEngageAtk+_Magic	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【魔道】傷害增為120%
MSID_H_CamillaEngageAtk+_Prana	對自身周圍特定格子上的敵人造成傷害\n並使格子陷入燃燒狀態\n【氣功】對自身周圍1格的地形\n賦予「薰香」效果
MSID_H_CamillaEngageAtk+_CMD	攻擊特定格子後，\n使格子陷入燃燒狀態。
MSID_Str_Def_1	力量、防守+1
MSID_H_Str_Def_1	力量與防守提升1
MSID_Str_Def_2	力量、防守+2
MSID_H_Str_Def_2	力量與防守提升2
MSID_Str_Def_3	力量、防守+3
MSID_H_Str_Def_3	力量與防守提升3
MSID_Str_Def_4	力量、防守+4
MSID_H_Str_Def_4	力量與防守提升4
MSID_Str_Def_5	力量、防守+5
MSID_H_Str_Def_5	力量與防守提升5
MSID_Mag_Res_1	魔力、魔防+1
MSID_H_Mag_Res_1	魔力與魔防提升1
MSID_Mag_Res_2	魔力、魔防+2
MSID_H_Mag_Res_2	魔力與魔防提升2
MSID_Mag_Res_3	魔力、魔防+3
MSID_H_Mag_Res_3	魔力與魔防提升3
MSID_Mag_Res_4	魔力、魔防+4
MSID_H_Mag_Res_4	魔力與魔防提升4
MSID_Mag_Res_5	魔力、魔防+5
MSID_H_Mag_Res_5	魔力與魔防提升5
MSID_Spd_Res_1	速度、魔防+1
MSID_H_Spd_Res_1	速度與魔防提升1
MSID_Spd_Res_2	速度、魔防+2
MSID_H_Spd_Res_2	速度與魔防提升2
MSID_Spd_Res_3	速度、魔防+3
MSID_H_Spd_Res_3	速度與魔防提升3
MSID_Spd_Res_4	速度、魔防+4
MSID_H_Spd_Res_4	速度與魔防提升4
MSID_Spd_Res_5	速度、魔防+5
MSID_H_Spd_Res_5	速度與魔防提升5
MSID_AntiAxeArts_1	斧術對策Lv.1
MSID_H_AntiAxeArts_1	與裝備斧的敵人戰鬥時\n所受傷害-1
MSID_AntiAxeArts_2	斧術對策Lv.2
MSID_H_AntiAxeArts_2	與裝備斧的敵人戰鬥時\n所受傷害-2
MSID_AntiAxeArts_3	斧術對策Lv.3
MSID_H_AntiAxeArts_3	與裝備斧的敵人戰鬥時\n所受傷害-3
MSID_AntiAxeArts_4	斧術對策Lv.4
MSID_H_AntiAxeArts_4	與裝備斧的敵人戰鬥時\n所受傷害-4
MSID_AntiAxeArts_5	斧術對策Lv.5
MSID_H_AntiAxeArts_5	與裝備斧的敵人戰鬥時\n所受傷害-5
MSID_AntiMagicArts_1	魔道對策Lv.1
MSID_H_AntiMagicArts_1	與裝備魔道書的敵人戰鬥時\n所受傷害-1
MSID_AntiMagicArts_2	魔道對策Lv.2
MSID_H_AntiMagicArts_2	與裝備魔道書的敵人戰鬥時\n所受傷害-2
MSID_AntiMagicArts_3	魔道對策Lv.3
MSID_H_AntiMagicArts_3	與裝備魔道書的敵人戰鬥時\n所受傷害-3
MSID_AntiMagicArts_4	魔道對策Lv.4
MSID_H_AntiMagicArts_4	與裝備魔道書的敵人戰鬥時\n所受傷害-4
MSID_AntiMagicArts_5	魔道對策Lv.5
MSID_H_AntiMagicArts_5	與裝備魔道書的敵人戰鬥時\n所受傷害-5
MSID_AntiLanceArts_1	槍術對策Lv.1
MSID_H_AntiLanceArts_1	與裝備槍的敵人戰鬥時\n所受傷害-1
MSID_AntiLanceArts_2	槍術對策Lv.2
MSID_H_AntiLanceArts_2	與裝備槍的敵人戰鬥時\n所受傷害-2
MSID_AntiLanceArts_3	槍術對策Lv.3
MSID_H_AntiLanceArts_3	與裝備槍的敵人戰鬥時\n所受傷害-3
MSID_AntiLanceArts_4	槍術對策Lv.4
MSID_H_AntiLanceArts_4	與裝備槍的敵人戰鬥時\n所受傷害-4
MSID_AntiLanceArts_5	槍術對策Lv.5
MSID_H_AntiLanceArts_5	與裝備槍的敵人戰鬥時\n所受傷害-5
MSID_JobSkill_Enchant1	附魔
MSID_JobSkill_Enchant1_CMD1	極限活用
MSID_H_JobSkill_Enchant1_CMD1	消費道具強化單位。
MSID_JobSkill_Enchant1_CMD2	武器共鳴
MSID_H_JobSkill_Enchant1_CMD2	指定武器並強化與其同名的武器。
MSID_JobSkill_Enchant2	運輸隊
MSID_H_JobSkill_Enchant2	可使用「運輸隊」指令\n來保管或取出武器跟道具
MSID_H_Ent_AntiMorph_Short	克制異形，效果持續1回合
MSID_H_Ent_ResistChain_Short	HP最大值+\x0E\x01\x00\x00並使敵人的連鎖攻擊無效，效果持續1回合
MSID_H_Ent_WeightZero_Short	力量+\x0E\x01\x00\x00並使武器重量減半，效果持續1回合
MSID_H_Ent_ResistBreak_Short	技巧+\x0E\x01\x00\x00並使敵人的打破無效，效果持續1回合
MSID_H_Ent_ResistFreeze_Short	速度+\x0E\x01\x00\x00並使冰封無效，效果持續1回合
MSID_H_Ent_MayNoDamage_Short	30%機率使敵人的傷害無效，效果持續1回合
MSID_H_Ent_ReflectPhysic_Short	反射受到的物理攻擊傷害，效果持續1回合
MSID_H_Ent_ResistSilence_Short	魔力+\x0E\x01\x00\x00並使沉默無效，效果持續1回合
MSID_H_Ent_ReflectMagic_Short	反射受到的魔法攻擊傷害，效果持續1回合
MSID_H_Ent_HoldOutOnce_Short	若戰鬥開始時HP為2以上，受到致命傷也能存活（1次）
MSID_Ent_AntiMorph	克制異形
MSID_Ent_ResistChain	連鎖攻擊無效
MSID_Ent_WeightZero	武器重量減半
MSID_Ent_ResistBreak	打破無效
MSID_Ent_ResistFreeze	冰封無效
MSID_Ent_MayNoDamage	傷害無效
MSID_Ent_ReflectPhysic	物理反射
MSID_Ent_ResistSilence	沉默無效
MSID_Ent_ReflectMagic	魔法反射
MSID_Ent_HoldOutOnce	堅忍
MAID_Mascot	守護神配對套裝
MAID_MascotM	守護神玩偶裝
MAID_H_MascotM	索拉涅爾傳說中守護神造型的玩偶裝。\n從水嫩的肉球到毛茸茸的尾巴，每個細節都可愛到令人融化。
MAID_MascotF	守護神玩偶裝
MAID_H_MascotF	索拉涅爾傳說中守護神造型的玩偶裝。\n從水嫩的肉球到毛茸茸的尾巴，每個細節都可愛到令人融化。
MAID_SolaHead	守護神尊容
MAID_H_SolaHead	索拉涅爾傳說中守護神造型的面具。\n真實重現守護神那奇妙神情的珍品，推薦給想完美化身成守護神的人。
MAID_CatEar	守護神耳朵
MAID_H_CatEar	索拉涅爾傳說中守護神耳朵造型的商品。\n是學者們根據文獻精心製作的珍品，推薦給想化身成守護神的人。
MAID_DogEar	狗耳朵
MAID_H_DogEar	艾雷歐斯犬耳朵造型的商品。作工精細，真實呈現本尊的毛皮。\n只要戴上它，就能化身成人見人愛的艾雷歐斯犬。
MAID_RabbitEar	兔耳朵
MAID_H_RabbitEar	跳兔耳朵造型的商品。毛茸茸的耳朵根部觸感極佳。\n只要戴上它，就能化身成嬌小可愛的跳兔。
MAID_FoxEar	狐狸耳朵
MAID_H_FoxEar	空空狐狸耳朵造型的商品。空空狐狸是非常稀有的動物，沒有什麼相關商品。\n只要戴上它，就能化身成神秘的空空狐狸。
MID_BONDSRING_Hector00	異界埃列布陸地中\n位於呂基亞地區的奧斯提亞侯爵家勳爵。
MID_BONDSRING_Hector01	曾手持傳說中的武器「天雷之斧阿爾瑪茲」\n為摯友艾利烏德挺身而戰。
MID_BONDSRING_Senerio00	異界堤里烏斯陸地中\n克里米亞王國格萊爾傭兵團的成員。
MID_BONDSRING_Senerio01	是位天賦異稟的軍事家，\n曾多次以妙計幫團長艾克與夥伴度過危機。
MID_BONDSRING_Camilla00	異界暗夜王國的公主，\n是王族手足中的長女。
MID_BONDSRING_Camilla01	非常重視自己的手足與朋友，\n對敵人則冷酷無情。
MGID_Ring_Hector	熱血猛將的手鐲
MGID_H_Ring_Hector	人稱「天雷紋章士」海克托爾所寄宿的手鐲。\n是位充滿自信且勇敢善戰的豪爽青年。
MGID_Ring_Senerio	蒼色參謀的手鐲
MGID_H_Ring_Senerio	人稱「賢風紋章士」塞涅里歐所寄宿的手鐲。\n是位做事沉著，能冷靜下判斷的黑衣參謀。
MGID_Ring_Camilla	黑暗妖豔的手鐲
MGID_H_Ring_Camilla	人稱「暗夜紋章士」卡美拉所寄宿的手鐲。\n是位非常妖豔的美麗魔龍騎士。
MGID_World_Hector	草原女爵的世界
MGID_World_Senerio	蒼炎勇者的世界
MGID_World_Camilla	選擇未來之人的世界
MID_RELAY_Stamp_Hector_0	多依賴我一點吧！我們不是夥伴嗎？
MID_RELAY_Stamp_Senerio_0	這次的成果還算不錯。
MID_RELAY_Stamp_Camilla_0	得好好教訓一下才行。
MID_Hub_Horse	馬廄
MID_Hub_Fruit	果樹園
MID_Hub_Pool	泳池
MID_Hub_Refresh	放鬆身心
MID_Hub_Refresh_Help	請選擇兩位夥伴。
MID_Hub_Refresh_Entrust	委任
MID_Hub_Refresh_Entrust_Help	自動優先選擇\n可提升支援值的對象。
MID_Hub_Refresh_RelianceLv	支援狀態
MID_Hub_Refresh_Place	設施
MID_Hub_Refresh_Unit	放鬆身心的夥伴
MID_Hub_Refresh_Used	已使用
MID_Hub_Refresh_Attention	出擊前無法再次使用。
MID_Hub_Refresh_Confirmation	要開始放鬆身心嗎？
MID_Hub_Refresh_Start	開始
MID_Hub_Refresh_Result	只看結果
MID_Hub_Refresh_Stop	取消
MID_Hub_Refresh_RelianceLvUP	已提升\n\x0E\x01\x00\x00與\x0E\x01\x01\x00的支援值。
MID_Hub_Refresh_Reliance_Occurrence	已觸發\n\x0E\x01\x00\x00與\x0E\x01\x01\x00的支援對話。
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00與\x0E\x01\x01\x00\n已放鬆身心。
PCTMID_Hector	多依賴我一點吧
