MID_Movie_S02	過去決戰
MID_H_Movie_C06	神龍\x0E\x06\x03\x00將敵方將領逼入了絕境，\n此時對方卻使用不可思議的力量繞至神龍身後，\n導致雙方情勢逆轉。
MID_Movie_C07	琉彌艾爾之死
MID_H_Movie_C07	敵人的攻擊致使琉彌艾爾性命垂危，他將\n「聖戰騎士戒指」及拯救世界的使命託付給\n神龍\x0E\x06\x03\x00後，悄然與世長辭。
MID_Movie_C08	錫莉奴
MID_H_Movie_C08	費列聶公主錫莉奴遭遇異形兵襲擊，\n他的臣子路易與克蘿艾在前方抵禦敵人，\n好讓錫莉奴能儘速趕往阿爾弗雷德身旁。
MID_Movie_C09	伊芙女王
MID_H_Movie_C09	伊爾席翁軍占領了費列聶王城，\n正當敵方將領聶爾凱質問伊芙女王時，\n聶爾凱的上司賽皮雅出現了。
MID_Movie_C10	善後
MID_H_Movie_C10	聶爾凱在費列聶王城戰敗後，踏上逃亡之路，\n不料卻被賽皮雅逮住，無論他如何為失敗做辯解，\n最後仍遭受無情的處置。
MID_Movie_C11	史塔盧克
MID_H_Movie_C11	在國境一帶警備的布羅帝亞王子史塔盧克，\n一度將神龍\x0E\x06\x03\x00一行人誤認為盜賊，\n當得知來者身分後，為自己的無禮謝罪。
MID_Movie_C12	奧爾坦希亞
MID_H_Movie_C12	伊爾席翁公主奧爾坦希亞企圖奪取戒指，\n因此率領伊爾席翁大軍占據古蘭斯爾大橋，\n布好陣型等待神龍\x0E\x06\x03\x00等人到來。
MID_Movie_C13	暗黑紋章士
MID_H_Movie_C13	見到暗黑紋章士聽命於奧爾坦希亞，\n神龍一行人才得知原來不只神龍，\n邪龍也具有顯現紋章士的能力。
MID_Movie_C14	貝珥的戰鬥
MID_H_Movie_C14	貝珥暗中擊退異形兵後，\n想起了失散多年的手足，\n深深感嘆自己力有未逮。
MID_Movie_C15	決斷
MID_H_Movie_C15	莫力翁王敗給海亞信斯王後被擄至伊爾席翁王國，\n神龍\x0E\x06\x03\x00雖試圖營救，\n卻在途中遭到艾比阻撓。
MID_Movie_C16	異形莫力翁王
MID_H_Movie_C16	神龍\x0E\x06\x03\x00與海亞信斯王\n在德斯坦大教會對峙，這時出現在他們\n眼前的是被變成異形兵的莫力翁王。
MID_Movie_C17	撤退
MID_H_Movie_C17	神龍\x0E\x06\x03\x00的紋章士戒指被奪走後，\n尚卜爾以邪龍之力重新顯現了各個紋章士，\n他們散發暗黑力量，以敵人身分擋住神龍的去路。
MID_Movie_C18	佛賈特
MID_H_Movie_C18	神龍\x0E\x06\x03\x00等人在圖拉沙漠迷失方向，\n當他們束手無策之時，一名自稱是自衛團團長的\n青年佛賈特出現在眾人眼前。\n
MID_Movie_C19	廢墟的舞蹈家
MID_H_Movie_C19	舞蹈家賽安達斯在北城塞練舞時，\n遇上了異形兵，他本以為自己必死無疑，\n這時他聽見某人的聲音，指引了他一條生路。
MID_Movie_C20	燃燒的風車村
MID_H_Movie_C20	弗魯魯風車村遭到襲擊後，\n原本平靜的村莊霎時化為一片火海，\n港邊則停泊著多艘伊爾席翁的船艦。
MID_Movie_C21	另一個貝珥
MID_H_Movie_C21	貝珥的負面人格透過賽皮雅之術覺醒後，\n便率領四狗及暗黑紋章士們\n向神龍\x0E\x06\x03\x00宣戰。
MID_Movie_C22	邪龍之子
MID_H_Movie_C22	孤慄見到紋章士是透過咒文之力顯現後，\n便心滿意足地放聲大笑，\n還告訴神龍\x0E\x06\x03\x00一件驚人的事實。
MID_Movie_C23	瑪倫的反抗
MID_H_Movie_C23	瑪倫不捨貝珥受到黑暗力量操控，\n因此嘗試破壞能左右洗腦的魔法器具，\n不料卻以失敗告終，慘遭賽皮雅當場處決。
MID_Movie_C24	粉碎龍石
MID_H_Movie_C24	神龍\x0E\x06\x03\x00為保護貝珥殞命，\n這時貝珥身上的龍石也隨之粉碎，\n他尋覓多年的手足，其真實身分終於揭曉。
MID_Movie_C25	貝珥覺醒
MID_H_Movie_C25	貝珥奮力抵抗另一個自己，\n他親手摧毀魔法器具並恢復神志後，\n還讓神龍\x0E\x06\x03\x00復活成異形兵。
MID_Movie_C26	四狗
MID_H_Movie_C26	賽皮雅與孤慄戰敗後，\n兩人在垂死之際，\n對彼此坦承了自己的真心。
MID_Movie_C27	和琉彌艾爾的再會
MID_H_Movie_C27	守護最後龍紋的人是\n藉尚卜爾之手化成異形兵的琉彌艾爾，\n貝珥下定決心要獨自面對這場戰鬥。
MID_Movie_C28	和琉彌艾爾的離別
MID_H_Movie_C28	琉彌艾爾在臨終前想起了一切，\n他與神龍\x0E\x06\x03\x00交談，\n並打勾勾立下約定後，化為光芒消逝。
MID_Movie_C29	消失的紋章士
MID_H_Movie_C29	邪龍尚卜爾開始關閉異界之門，\n結果次元扭曲致使紋章士們接連消失，\n這時神龍\x0E\x06\x03\x00與同伴們挺身奮戰。
MID_Movie_C30	十三牽絆
MID_H_Movie_C30	十二紋章士藉神龍\x0E\x06\x03\x00之力\n再次顯現，共十三名紋章士齊聚一堂，\n和尚卜爾的最終決戰終於揭幕。
MID_Movie_C31	大邪龍尚卜爾
MID_H_Movie_C31	尚卜爾看似落敗，\n但他露出自信的笑容，\n化身成了巨大的邪龍。
MID_Movie_K01	紋章士西格爾特
MID_H_Movie_K01	自「聖戰騎士戒指」顯現的\n紋章士西格爾特。
MID_Movie_K02	紋章士賽莉卡
MID_H_Movie_K02	自「慈悲公主戒指」顯現的\n紋章士賽莉卡。
MID_Movie_K03	紋章士米卡雅
MID_H_Movie_K03	自「拂曉巫女戒指」顯現的\n紋章士米卡雅。
MID_Movie_K04	紋章士羅伊
MID_H_Movie_K04	自「幼獅戒指」顯現的\n紋章士羅伊。
MID_Movie_K05	紋章士里弗
MID_H_Movie_K05	自「賢王戒指」顯現的\n紋章士里弗。
MID_Movie_K06	紋章士琳
MID_H_Movie_K06	自「草原女爵戒指」顯現的\n紋章士琳。
MID_Movie_K07	紋章士露琪娜
MID_H_Movie_K07	自「聖公主戒指」顯現的\n紋章士露琪娜。
MID_Movie_K08	紋章士艾克
MID_H_Movie_K08	自「蒼炎勇者戒指」顯現的\n紋章士艾克。
MID_Movie_K09	紋章士貝雷特
MID_H_Movie_K09	自「引領者戒指」顯現的\n紋章士貝雷特。
MID_Movie_K10	紋章士神威
MID_H_Movie_K10	自「選擇未來之人戒指」顯現的\n紋章士神威。
MID_Movie_K11	紋章士艾莉可
MID_H_Movie_K11	自「碧綠風空戒指」顯現的\n紋章士艾莉可。
