MID_WU_C_1_IN_#001	喂。別再貪睡了，神龍。
MID_WU_A_1_IN_#001	太散漫囉，神龍。
MID_WU_A_1_IN_#002	你偶爾也該像吾這樣準時起床。
MID_WU_A_1_SOON_#001	吾就跟你說一句早安吧。
MID_WU_A_1_SOON_#002	雖然你完全睡過頭了……
MID_WU_A_1_SOON_#003	算了，你也是會有比較累的時候。
MID_WU_A_1_SOON_#004	這次就放你一馬。
MID_WU_A_1_WAKEUP_#001	沒醒呢……
MID_WU_A_1_WAKEUP_#002	那這個方法如何？
MID_WU_A_1_WAKEUP_#003	咳咳……
MID_WU_A_1_WAKEUP_#004	神龍大人，你可不能睡過頭喔。
MID_WU_A_1_WAKEUP_#005	不快點起來的話，大家會生氣喔～！
MID_WU_A_1_HELLO_#001	你醒來了啊。
MID_WU_A_1_HELLO_#002	什麼？你說夢到了很懷念的人？
MID_WU_A_1_HELLO_#003	吾對你的夢境沒有興趣。
MID_WU_A_1_HELLO_#004	別拖拖拉拉地，快去給吾洗把臉。
MID_WU_A_2_IN_#001	雖然還沒到起床的時間……
MID_WU_A_2_IN_#002	但吾提前來了。你該感到高興。
MID_WU_A_2_SOON_#001	為什麼偏偏在吾不想你起床的時候……
MID_WU_A_2_SOON_#002	你這傢伙就這麼容易醒啊。
MID_WU_A_2_SOON_#003	虧吾還特地過來，想在枕頭邊放點心……
MID_WU_A_2_SOON_#004	沒什麼。
MID_WU_A_2_WAKEUP_#001	呵呵呵……
MID_WU_A_2_WAKEUP_#002	他之前收到點心時很高興，
MID_WU_A_2_WAKEUP_#003	所以吾又做了些清淡的點心。
MID_WU_A_2_WAKEUP_#004	只要像這樣偷偷地放在枕頭邊……
MID_WU_A_2_WAKEUP_#005	哦！？
MID_WU_A_2_HELLO_#001	嗨，神龍！
MID_WU_A_2_HELLO_#002	你今天起得有點早。
MID_WU_A_2_HELLO_#003	吾看你還是再睡一下比較好吧？
MID_WU_A_2_HELLO_#004	什麼，你說要起床了？
MID_WU_A_2_HELLO_#005	那麼，這個只好留到下次……
MID_WU_S_1_IN_#001	居然每天都能被吾叫醒，
MID_WU_S_1_IN_#002	你還真是個幸福的傢伙啊。
MID_WU_S_1_SOON_#001	早安。
MID_WU_S_1_SOON_#002	你那賴床的壞習慣……
MID_WU_S_1_SOON_#003	吾也終於開始覺得有點可愛了。
MID_WU_S_1_SOON_#004	今天你睜開雙眼後，第一個看到的人也是吾。
MID_WU_S_1_SOON_#005	這讓吾很高興喔。
MID_WU_S_1_WAKEUP_#001	今天你做了什麼樣的夢？
MID_WU_S_1_WAKEUP_#002	如今回想起來，
MID_WU_S_1_WAKEUP_#003	吾那個世界也跟夢境差不多。
MID_WU_S_1_WAKEUP_#004	說不定……
MID_WU_S_1_WAKEUP_#005	在多如繁星的世界之中，
MID_WU_S_1_WAKEUP_#006	也有吾用咒文讓你顯現，
MID_WU_S_1_WAKEUP_#007	一起並肩作戰的世界呢。
MID_WU_S_1_WAKEUP_#008	不過，對吾來說……
MID_WU_S_1_WAKEUP_#009	吾等用「約定戒指」許下終身誓言的這個世界，
MID_WU_S_1_WAKEUP_#010	才是吾的最愛。
MID_WU_S_1_HELLO_#001	你聽見了嗎？
MID_WU_S_1_HELLO_#002	吾可不會說第二次。
MID_WU_S_1_HELLO_#003	今天還有時間……
MID_WU_S_1_HELLO_#004	就讓你親身體會一下，
MID_WU_S_1_HELLO_#005	吾有多麼的思念你吧。
MID_WU_S_2_IN_#001	你的搭檔來囉。
MID_WU_S_2_IN_#002	高興的話，就給吾馬上起床。
MID_WU_S_2_SOON_#001	呵……真是聽話。
MID_WU_S_2_SOON_#002	那麼，吾也敞開心胸回應你吧。
MID_WU_S_2_SOON_#003	早安。
MID_WU_S_2_SOON_#004	對吾來說……
MID_WU_S_2_SOON_#005	你那過於老實和正直的個性，
MID_WU_S_2_SOON_#006	反而是最吸引人的地方喔。
MID_WU_S_2_WAKEUP_#001	還不起床嗎？
MID_WU_S_2_WAKEUP_#002	吾偶爾會想……
MID_WU_S_2_WAKEUP_#003	要是你就這樣一睡不醒，
MID_WU_S_2_WAKEUP_#004	就像過去的你還有姊姊一樣……
MID_WU_S_2_WAKEUP_#005	又再睡個千年的話，
MID_WU_S_2_WAKEUP_#006	吾可能會承受不住孤獨而發狂。
MID_WU_S_2_WAKEUP_#007	吾很害怕自己會做出傻事。
MID_WU_S_2_WAKEUP_#008	要是失去吾最愛的你，
MID_WU_S_2_WAKEUP_#009	吾沒有信心能保持理智……
MID_WU_S_2_HELLO_#001	起床了啊？
MID_WU_S_2_HELLO_#002	沒有……吾什麼都沒說。
MID_WU_S_2_HELLO_#003	你醒來就好。
MID_WU_S_2_HELLO_#004	聽好囉……
MID_WU_S_2_HELLO_#005	就算總有一天會步入永眠之時，
MID_WU_S_2_HELLO_#006	吾也不許你先走一步。
