MID_BGM_Evt_Amb_Lithos_ST_Play	光之庭園
MID_BGM_Boss_02_Start_ST_Play	睿智的暴虐者～烈
MID_BGM_Boss_03_Pre_ST_Play	傳奇人物
MID_BGM_Boss_03_Start_ST_Play	傳奇人物～烈
MID_BGM_Boss_04_Pre_ST_Play	四狗
MID_BGM_Boss_04_Start_ST_Play	四狗～烈
MID_BGM_Boss_05_Pre_ST_Play	瑕疵品
MID_BGM_Boss_05_Start_ST_Play	瑕疵品～烈
MID_BGM_Boss_06_Pre_ST_Play	無光之神
MID_BGM_Boss_06_Start_ST_Play	無光之神～烈
MID_BGM_Sys_Title_ST_Play	同我結合
MID_BGM_Sys_Gmap_ST_Play	你的旅途
MID_BGM_Sys_Prepare1_ST_Play	備戰
MID_BGM_Sys_Prepare2_ST_Play	嚴加備戰
MID_BGM_Sys_Base1_ST_Play	神龍大人，早安
MID_BGM_Sys_Base2_ST_Play	神龍大人，您在午間巡邏嗎？
MID_BGM_Sys_Base3_ST_Play	神龍大人，黃昏真美啊
MID_BGM_Sys_Base4_ST_Play	神龍大人，真是個良宵啊
MID_BGM_Sys_Mini1_ST_Play	你要挑戰飛龍射手嗎……？
MID_BGM_Sys_Mini2_ST_Play	今天也要努力鍛鍊喔！
MID_BGM_Sys_Mini3_ST_Play	布羅帝亞的漁業可是很興盛的喔
MID_BGM_Sys_Base_Jukebox1_ST_Play	費列聶的茶會
MID_BGM_Sys_Base_Jukebox2_ST_Play	布羅帝亞的團聚
MID_BGM_Sys_Base_Jukebox3_ST_Play	伊爾席翁的晚餐
MID_BGM_Sys_Base_Jukebox4_ST_Play	索爾姆的露營
MID_BGM_Sys_Base_Jukebox5_ST_Play	餐桌上的紋章
MID_BGM_Sys_ED1_ST_Play	絆炎
MID_BGM_Sys_ED2_Result_ST_Play	FIRE EMBLEM主題曲 ～絆炎紋章士
MID_BGM_Sys_ED2_Sequel_ST_Play	旅途終將落幕
MID_BGM_Sys_Introduction_ST_Play	FIRE EMBLEM主題曲
MID_BGM_Sys_ClassChange_ST_Play	燐光
MID_BGM_Sys_Die_ST_Play	永訣
MID_FF_GameOver_ST_Play	長眠不醒
MID_FF_StageClear_ST_Play	勝利
MID_FF_LevelUp_ST_Play	成長
MID_FF_Bad_ST_Play	遺憾1
MID_FF_Sorry_ST_Play	遺憾2
MID_FF_Good1_ST_Play	喜悅1
MID_FF_Good2_ST_Play	喜悅2
MID_FF_ItemGet1_ST_Play	獲得1
MID_FF_ItemGet2_ST_Play	獲得2
MID_BGM_Amiibo_03_ST_Play	宿命～炎
MID_BGM_Amiibo_04_ST_Play	草原之風
MID_BGM_Amiibo_05_ST_Play	盡忠盡義
MID_BGM_Amiibo_06_ST_Play	芙朵拉的曉風
MID_BGM_Amiibo_07_ST_Play	一切道路的盡頭～煉
MID_BGM_Amiibo_08_ST_Play	最終之戰
MID_BGM_Amiibo_09_ST_Play	終章（最後的聖戰）
MID_BGM_Amiibo_10_ST_Play	終章　上啊上啊里弗
MID_BGM_Amiibo_11_ST_Play	曉鐘響徹
MID_BGM_Amiibo_12_ST_Play	邁向嶄新的光芒照耀之處（羅伊的勇氣）
MID_BGM_Amiibo_13_ST_Play	戰鬥地圖3 戰鬥地圖2_1（賽莉卡1）
MID_BGM_Amiibo_14_ST_Play	故事2 各地圖的開始
