MID_FRIENDLIST_Vandre_TextD	【初期兵種】聖騎士\n【生日】11月26日\n【備註】第三十二代的龍之守護者。\n在浮遊島上的離宮索拉涅爾，\n負責照顧沉眠於此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Fram_TextC	【喜歡的事物】\n神龍、花、時尚、運動、\n甜菜、替別人加油\n【不喜歡的事物】\n打掃、學習、鬼故事、難懂的書、\n碎碎念、被自己絆倒時的難堪
MID_FRIENDLIST_Fram_TextB	【興趣】崇拜神龍大人\n【專長】評鑑甜菜、後空翻\n【經歷】來自聖地里特司的聚落。\n生於神職世家，從小就時常\n進出索拉涅爾。凡德雷為芙嵐的\n遠房親戚，且十分讚賞芙嵐對\n神龍\x0E\x06\x03\x00的熱情以待，\n拔擢他成為下一任守護者。
MID_FRIENDLIST_Fram_TextA	【身高】160cm\n【無名指的戒圍】7號\n【個性】好勝活潑。\n身為守護者，工作態度十分積極，\n但是常因粗心大意而招致失敗。\n和柯嵐一起成立了神龍的\n粉絲後援會，並擔任名譽會長一職。\n是軍中迴旋踢技巧最為精湛的人。
MID_FRIENDLIST_Fram_TextS	【成為搭檔後】\n和往常一樣，見到你就非常開心，\n並盡情為你加油打氣。\n兩人獨處時則表現得較為沉穩。\n為了避免自己弄丟約定戒指，\n將戒指收藏在寶箱之中，\n盼望有天成為成熟的大人以後，\n可以隨時隨地戴著戒指。
MID_FRIENDLIST_Alfred_TextD	【初期兵種】王室貴族\n【生日】8月8日\n【備註】費列聶王國的第一王子。\n神龍王城遇襲的夜晚，\n率領布修隆、艾媞耶兩名臣子，\n一同奔赴王城支援。
MID_FRIENDLIST_Alfred_TextC	【喜歡的事物】\n鍛鍊、運動、音樂、花、\n肌肉、晨曦、四葉幸運草、\n他人的幸福\n【不喜歡的事物】\n繁瑣的工作、裁縫、辣的食物、\n失眠的夜晚、後悔
MID_FRIENDLIST_Alfred_TextB	【興趣】鍛鍊肌肉、和人聊天\n【專長】早睡早起、製作花圈\n【經歷】生為費列聶王國的王子，\n以王位第一順位繼承者被養育成人。\n年幼時體弱多病，\n為了強身健體而勤於鍛鍊，\n終究培養出強健的體魄。\n並將亡父生前傳授的槍術登峰造極。
MID_FRIENDLIST_Alfred_TextA	【身高】177cm\n【無名指的戒圍】12號\n【個性】善良且溫仁謙遜，\n乍看是一名相當典型的王族，\n內在卻相當豪邁且忠於自我。\n喜歡在生活中尋找小確幸。\n偶爾也會想要一人獨處。\n是軍中身上散發最濃郁花香的人。
MID_FRIENDLIST_Alfred_TextS	【成為搭檔後】\n四處向夥伴炫耀\n自己每天都過得很幸福，\n並製作了花冠送給你。\n為了能和長壽的你長相廝守，\n比以往更加勤奮地鍛鍊身體。\n將約定戒指收在有花朵刺繡的袋中，\n藏在衣服的某處隨身攜帶。
MID_FRIENDLIST_Boucheron_TextD	【初期兵種】斧戰士\n【生日】5月11日\n【備註】費列聶王國的王城騎士。\n神龍王城遇襲的夜晚，\n與主子阿爾弗雷德王子\n以及同袍艾媞耶，\n一同奔赴王城支援。
MID_FRIENDLIST_Boucheron_TextC	【喜歡的事物】\n讀書、釣魚、散步、自然、\n已經熟悉的路、喜劇故事\n【不喜歡的事物】\n繁瑣的工作、鬼故事、\n第一次走的路、悲劇故事
MID_FRIENDLIST_Boucheron_TextB	【興趣】在大自然中讀書\n【專長】體力活、品水\n【經歷】來自費列聶王國內一座\n有著澄淨流水的城鎮之伯爵家。\n生為次男，有位體格健壯的兄長。\n由於雙親皆與王族頻繁交流，\n自幼便結識了阿爾弗雷德王子，\n並在年幼時即被指名擔任其臣子。
MID_FRIENDLIST_Boucheron_TextA	【身高】190cm\n【無名指的戒圍】21號\n【個性】心地善良、相當感性。\n受到感動眼淚便會奪眶而出。\n人們經常找他談論自己的煩惱。\n由於出身貴族，大多時候都\n乘坐馬車，因此方向感不太好。\n是軍中最具包容力的人。
MID_FRIENDLIST_Boucheron_TextS	【成為搭檔後】\n在一天結束時會待在你身邊，\n靜靜地聆聽你說話。\n在眾人面前一如往常地可靠，\n但在兩人獨處時則變得十分熱情。\n每當看著約定戒指就會感動到落淚，\n因此唯有重要時刻\n才會小心翼翼地戴在手上。
MID_FRIENDLIST_Etie_TextD	【初期兵種】弓箭手\n【生日】10月1日\n【備註】費列聶王國的王城騎士。\n神龍王城遇襲的夜晚，\n與主子阿爾弗雷德王子\n以及同袍布修隆，\n一同奔赴王城支援。
MID_FRIENDLIST_Etie_TextC	【喜歡的事物】\n鍛鍊、茶會、花、肉、\n味道有趣的肌肉增強劑\n【不喜歡的事物】\n繁瑣的工作、打掃、裁縫、\n無法靠腕力解決的事
MID_FRIENDLIST_Etie_TextB	【興趣】所有活動身體的事\n【專長】延長切花的壽命\n【經歷】來自費列聶王國，\n為花田小鎮內名門侯爵之女。\n有著年齡差距較大的兄姊。\n自幼便結識了錫莉奴，\n也是經錫莉奴介紹才開始對\n肌肉鍛鍊產生興趣並每日訓練。
MID_FRIENDLIST_Etie_TextA	【身高】154cm\n【無名指的戒圍】13號\n【個性】品格高尚，看似高傲，\n其實只是個性相當積極進取。\n每天都專心於強身健體，\n為此甚至不惜投入時間研究。\n遇到煩惱都會倚靠活動身體解決。\n是軍中跑得最快的人。
MID_FRIENDLIST_Etie_TextS	【成為搭檔後】\n比任何人都還要擔心你的身體，\n總是在你疲憊時，為你代勞\n「打開拴緊的瓶蓋」等體力活。\n能在閒暇之餘和你一起慢跑，\n比世上任何事都還要令他感到幸福。\n為了徹底防止自己弄壞約定戒指，\n將戒指放在花型收納盒中收藏。
MID_FRIENDLIST_Celine_TextD	【初期兵種】王室貴族\n【生日】12月18日\n【備註】費列聶王國的第一公主。\n阿爾弗雷德的妹妹。\n有路易、克蘿艾兩名臣子。\n帶著「慈悲公主戒指」\n在弗魯魯風車村加入神龍軍。
MID_FRIENDLIST_Celine_TextC	【喜歡的事物】\n茶會、花、閱讀、時尚、\n紅茶、小鳥、同伴的幸福\n【不喜歡的事物】\n辣的食物、武器、\n戰爭、幸福過度、\n被迫積極面對事物
MID_FRIENDLIST_Celine_TextB	【興趣】邀請他人一同品茶\n【專長】猜中茶葉的產地\n【經歷】生為費列聶王國的公主，\n在家族與國民的關愛之下成長。\n年幼時相當愛哭，\n但當身為國王的父親崩殂後，\n訓誡自己得成為母親與兄長的後盾，\n勤於鍛鍊學習，練就出強韌的心志。
MID_FRIENDLIST_Celine_TextA	【身高】155cm\n【無名指的戒圍】6號\n【個性】開朗且平易近人。\n品學兼優，事事皆能掌握要領，\n為了維持和平願意不惜一戰。\n雖然經常吐槽兄長阿爾弗雷德，\n但比誰都還要關心他。\n是軍中最為辯才無礙的人。
MID_FRIENDLIST_Celine_TextS	【成為搭檔後】\n每日一同品茶度過閑靜時光，\n已成了兩人的既定行程。\n就算在戰鬥中遭遇到痛苦，\n也會互相扶持、相濡以沫。\n錫莉奴素來喜愛芍藥，約定戒指\n便擺在芍藥造型的台座上收著，\n而兩人獨處時一定會戴著戒指。
MID_FRIENDLIST_Louis_TextD	【初期兵種】重槍兵\n【生日】11月4日\n【備註】費列聶王國的王城騎士。\n在弗魯魯風車村\n為了讓主子錫莉奴逃走，\n和同袍克蘿艾攜手作戰。\n此役後加入神龍軍。
MID_FRIENDLIST_Louis_TextC	【喜歡的事物】\n茶會、下廚、花、妄想、\n同伴們感情和睦、葡萄\n【不喜歡的事物】\n工藝、特辣的食物、海葡萄、\n看不透真心的人、\n感官靈敏的人
MID_FRIENDLIST_Louis_TextB	【興趣】在一旁觀察同伴\n【專長】照顧別人、泡茶\n【經歷】來自費列聶王國。\n生於種植葡萄之村莊的平民。\n為了扶養三個弟弟而立志成為騎士，\n能力受肯定被拔擢為錫莉奴的臣子。\n在費列聶王國，非出身貴族\n而成為王族的臣子實為罕事。
MID_FRIENDLIST_Louis_TextA	【身高】178cm\n【無名指的戒圍】18號\n【個性】彬彬有禮，\n具備騎士與管家應有的素養。\n總是在意同伴的狀況，看著同伴間\n相處和睦的景象就能感到幸福。\n情緒一有波動便會露出凝重表情。\n是軍中最懂得預測天氣的人。
MID_FRIENDLIST_Louis_TextS	【成為搭檔後】\n不僅比以前還來得還要溫柔，\n更是無微不至地細心照顧你。\n比起花時間觀察同伴們的互動，\n選擇將更多時間拿來照看你。\n把約定戒指保養得閃閃發亮，\n打算總有一天也要回送你一個\n自己親手製作的對戒。
MID_FRIENDLIST_Chloe_TextD	【初期兵種】槍飛馬騎士\n【生日】4月27日\n【備註】費列聶王國的王城騎士。\n在弗魯魯風車村\n為了讓主子錫莉奴逃走，\n和同袍路易攜手作戰。\n此役後加入神龍軍。
MID_FRIENDLIST_Chloe_TextC	【喜歡的事物】\n童話故事、奇珍異味、妄想、動物、\n從空中眺望景色、重口味食物\n【不喜歡的事物】\n下廚、打掃、曬太陽、\n清淡的食物、分量少的餐點、\n貴族子女應有的言行舉止
MID_FRIENDLIST_Chloe_TextB	【興趣】吃遍攤販、空中散步\n【專長】投擲、大胃王\n【經歷】來自費列聶王國內，\n距海不遠的城鎮中的侯爵之女。\n有個未來要繼承爵位的兄長。\n為了長大成人後嫁給門當戶對的\n男性，克蘿艾自幼便接受各式教育，\n但偶遇錫莉奴後立志成為王城騎士。
MID_FRIENDLIST_Chloe_TextA	【身高】167cm\n【無名指的戒圍】11號\n【個性】散發穩重氣質的淑女。\n喜歡童話故事與美麗的風景，\n總是在同伴中探尋美如畫的配對。\n非常喜歡奇珍異味，即使吃了許多\n來路不明的食物也不會鬧肚子。\n是軍中最擅長投擲的人。
MID_FRIENDLIST_Chloe_TextS	【成為搭檔後】\n雖然還是致力於尋找如同詩畫般\n美好的配對，但最近開始說起：\n「我們這一對就是最美的景緻。」\n當你疲憊時會讓你躺在腿上小憩，\n還會與你分享私藏的奇珍異味。\n將約定戒指放在使用飛馬羽毛\n製成的美麗收納盒裡保管。
MID_FRIENDLIST_Diamand_TextD	【初期兵種】領主\n【生日】4月6日\n【備註】布羅帝亞王國的第一王子\n有安巴、潔德兩名臣子。\n於城門親自迎接前來求取\n交由布羅帝亞託管之\n紋章士戒指的神龍一行人。
MID_FRIENDLIST_Diamand_TextC	【喜歡的事物】\n武器、鍛鍊、釣魚、肉、學習、\n家人、幽靜的場所\n【不喜歡的事物】\n宴會、可愛的事物、炎之魔法、\n味道強烈的東西、被投注過度期待
MID_FRIENDLIST_Diamand_TextB	【興趣】品味趣聞軼事\n【專長】誇獎他人、速讀\n【經歷】生為第一王子，\n自幼便接受身為王者應受的教育。\n莫力翁王更是親自傳授武功，\n因此他打從心底尊敬父親。\n但他認為力量不該用於擴張領土，\n應當花在治理上，方能使民富國強。
MID_FRIENDLIST_Diamand_TextA	【身高】188cm\n【無名指的戒圍】21號\n【個性】個性剛毅質樸、認真正直。\n每當自身獲得成長便會欣喜萬分。\n眾望所歸的布羅帝亞繼任王者。\n行事作風光明磊落、不卑不亢，\n並且毫不吝於稱讚他人。\n是軍中一被逗笑就停不下來的人。
MID_FRIENDLIST_Diamand_TextS	【成為搭檔後】\n雖然言行舉止與以往大致相同，\n但不論是在索拉涅爾或戰場上，\n最牽掛也最在乎的都是你。\n每當你偶爾戴上布羅帝亞的戒指，\n他總是表現得欣喜若狂。\n平時把約定戒指收在絲綢袋中，\n戰鬥時一定會將戒指藏在胸懷。
MID_FRIENDLIST_Umber_TextD	【初期兵種】槍騎士\n【生日】2月3日\n【備註】布羅帝亞王國的王城士兵。\n當布羅帝亞王城遭遇襲擊時。\n快馬加鞭自國境返回王城。\n以援軍之姿急忙趕到神龍\n以及主子帝亞曼德身旁。
MID_FRIENDLIST_Umber_TextC	【喜歡的事物】\n乳製品、薯類、動物、下廚、\n帥氣的事物、傳說、羊駝\n【不喜歡的事物】\n裁縫、打掃、奇珍異味、難懂的書、\n毫無浪漫可言的事物、謊言
MID_FRIENDLIST_Umber_TextB	【興趣】追尋傳說與浪漫\n【專長】羊駝語、照顧動物\n【經歷】來自布羅帝亞王國，\n生於羊駝之鄉中的某座牧場。\n不甘被困在鄉下，經嚴苛的特訓後\n於國內的武術大會取得優異成績，\n進而被拔擢為王族的臣子。\n在故鄉被稱為「羊駝之鄉的奇蹟」。
MID_FRIENDLIST_Umber_TextA	【身高】185cm\n【無名指的戒圍】17號\n【個性】單純且熱情。\n熱衷於蒐集世界各地的傳奇軼事，\n不論其可信度高與低都瞭若指掌。\n容易引發奇妙的騷動，天生會讓\n「事情的發展出人意料」。\n是軍中最擅長吹口哨的人。
MID_FRIENDLIST_Umber_TextS	【成為搭檔後】\n每當看到你都會露出開心的笑容，\n不僅幽默風趣，更是在背後\n扶持著你，是相當值得倚靠的搭檔。\n有時兩人也會使用羊駝語交談，\n令其他同伴都感到十分不可思議。\n將約定戒指保管在自製的木盒中，\n讓戒指像傳說秘寶般沉眠在房內。
MID_FRIENDLIST_Jade_TextD	【初期兵種】重斧兵\n【生日】12月7日\n【備註】布羅帝亞王國的王城士兵。\n與伊爾席翁王國全面開戰之際，\n正巧在國境負責警備任務。\n於是便直接在戰場上與\n主子帝亞曼德以及神龍會合。
MID_FRIENDLIST_Jade_TextC	【喜歡的事物】\n寫作、妄想、散步、閱讀、動物、\n礦石、快樂的事、開朗的人\n【不喜歡的事物】\n宴會、時尚、面露微笑、\n沒有靈感的時候
MID_FRIENDLIST_Jade_TextB	【興趣】寫小說\n【專長】鑑定礦石、冥想\n【經歷】來自布羅帝亞王國，\n生於以採礦聞名的礦山城鎮。\n在家中五個孩子裡排行老三。\n曾做過鎮上礦山的警備人員，\n人稱「鐵壁潔德」。在贏得武術\n大會勝利後獲拔擢為王族家臣。
MID_FRIENDLIST_Jade_TextA	【身高】170cm\n【無名指的戒圍】12號\n【個性】冷靜、忠於任務。\n雖然在戰場上被評為冷酷無情，\n其實為人十分爽朗，喜歡有趣的事。\n寫了一本相當荒誕的小說，\n自己的主子對其作品讚譽有加。\n在軍中是最常夢到清醒夢的人。
MID_FRIENDLIST_Jade_TextS	【成為搭檔後】\n原本不太習慣兩人獨處，\n現在也能自然地綻露笑容了。\n雖然現在還不能告訴你，\n但正偷偷地撰寫神龍與騎士\n過著幸福美滿日子的故事。\n為免約定戒指受到任何一絲傷害，\n將戒指收在以礦石打造的牢固箱子。
MID_FRIENDLIST_Staluke_TextD	【初期兵種】領主\n【生日】10月15日\n【備註】布羅帝亞王國的第二王子。\n有菈琵思、希特麗妮卡兩名臣子。\n在費列聶與布羅帝亞國境一帶，\n將神龍等人誤認成盜賊以致誤擊。\n得知眾人身分後立刻下跪謝罪。
MID_FRIENDLIST_Staluke_TextC	【喜歡的事物】\n閱讀、散步、魚、學習、釣魚、\n除了敵人與自己以外的所有人\n【不喜歡的事物】\n宴會、時尚、曬太陽、\n客套話、稱讚、自己
MID_FRIENDLIST_Staluke_TextB	【興趣】躲在陰暗的角落\n【專長】發現別人的優點\n【經歷】生為第二王子，\n成長過程中總是聽到旁人\n稱讚自己那幾近完美的兄長，\n因此造就了自卑的性格。\n雖然父母與人民都認可他的實力，\n本人卻渾然不知。
MID_FRIENDLIST_Staluke_TextA	【身高】172cm\n【無名指的戒圍】16號\n【個性】思想消極、總是自我否定。\n個性雖悲觀，老是認為所有人都比\n自己優秀，但仍有一定的社交能力，\n擁有不輕易傷害他人的善良性格。\n具備王族應有的膽識。\n是軍中頭髮最柔順亮麗的人。
MID_FRIENDLIST_Staluke_TextS	【成為搭檔後】\n每見到你就會露出害羞的笑容，\n偷偷地向你揮揮手。\n兩人獨處時並不會特別自卑，\n反而能坦率地表達自己的心意。\n雖然總是說著自己不勝惶恐，\n沒有資格戴上約定戒指。\n其實每晚都悄悄戴著戒指入眠。
MID_FRIENDLIST_Lapis_TextD	【初期兵種】刀劍戰士\n【生日】5月25日\n【備註】布羅帝亞王國的王城士兵。\n和主子史塔盧克及同袍希特麗妮卡，\n三人一同守衛與費列聶接壤的國境。\n起初雖然將神龍一行誤認為敵人，\n最終順利解開誤會，冰釋前嫌。
MID_FRIENDLIST_Lapis_TextC	【喜歡的事物】\n薯類、工藝、裁縫、鍛鍊、動物、\n可以食用的草、可以利用的木材\n【不喜歡的事物】\n高級品、時尚、\n高尚的場所、上流社會
MID_FRIENDLIST_Lapis_TextB	【興趣】狩獵、觀察與栽培植物\n【專長】體力活、手工藝\n【經歷】來自布羅帝亞王國，\n生於土地貧脊，專門產薯的村莊。\n家中相當貧窮，連三餐都沒著落。\n因此積極鍛鍊，好成為酬勞優渥的\n王城士兵。經狩獵練成的怪力助他\n在武術大會奪勝，成為王族臣子。
MID_FRIENDLIST_Lapis_TextA	【身高】160cm\n【無名指的戒圍】7號\n【個性】個性善良溫柔。\n擁有與柔弱外型不符的怪力。\n擅長利用石頭、樹枝製作任何物品，\n並且擅於分辨可食用的野草。\n總是寄錢回家貼補家用。\n在軍中是最擅長猜拳的人。
MID_FRIENDLIST_Lapis_TextS	【成為搭檔後】\n兩人在索拉涅爾一隅種植植物，\n並見證植物成長茁壯。\n喜歡在有空時一起製作工藝品，\n但仍吃不慣你每次休息時間都會\n拿出來一起享用的高級點心。\n將約定戒指收在使用自己\n珍藏的石子所打造的盒子內。
MID_FRIENDLIST_Citrinica_TextD	【初期兵種】魔法師\n【生日】11月9日\n【備註】布羅帝亞王國的王城士兵。\n和主子史塔盧克及同袍菈琵思，\n三人一同守衛與費列聶接壤的國境。\n起初雖然將神龍一行誤認為敵人，\n最終順利解開誤會，冰釋前嫌。
MID_FRIENDLIST_Citrinica_TextC	【喜歡的事物】\n茶會、高級品、童話故事、學習、\n花、放鬆的時間、舞會、\n同伴們開心的表情\n【不喜歡的事物】\n裁縫、工藝、下廚、\n看不見回報的鍛鍊
MID_FRIENDLIST_Citrinica_TextB	【興趣】贈送朋友禮物\n【專長】收購、協商、努力不懈\n【經歷】來自布羅帝亞王國，\n為親王之女，上有兩名兄長。\n為帝亞曼德、史塔盧克之堂親。\n憑藉著血緣關係方成為家臣，\n因此時常擔心自己實力是否足夠。
MID_FRIENDLIST_Citrinica_TextA	【身高】163cm\n【無名指的戒圍】8號\n【個性】心地善良，為朋友著想。\n在眾人疼愛下無憂無慮地長大成人，\n因此希望自己也能給予回報，\n會運用自己的財富來寵溺旁人。\n一放鬆眼神反而會有點帶刺。\n是軍中擁有最多土地的人。
MID_FRIENDLIST_Citrinica_TextS	【成為搭檔後】\n不停向你訴說飽含心意的話語，\n並以此代替昂貴的禮物。\n夢想著希望終有一天\n兩人能夠連袂出席舞會。\n將約定戒指擺放在奢華的台座上，\n並將收到戒指當天撿到的石頭\n放在一旁當作裝飾。
MID_FRIENDLIST_Ivy_TextD	【初期兵種】馴獸師\n【生日】11月17日\n【備註】伊爾席翁王國第一公主。\n有傑爾科巴、花月兩名臣子。\n雖然有一段時間曾因聽命於\n父親海亞信斯王而與神龍敵對，\n但後來帶著紋章士戒指於影子原野\n和神龍軍會合並加入其陣營。
MID_FRIENDLIST_Ivy_TextC	【喜歡的事物】\n神龍、茶會、閱讀、學習、香草、\n安靜的地方、舒服的風\n【不喜歡的事物】\n鬼故事、動物、蟲子、宴會、\n曬太陽、味道強烈的東西、\n鬼怪、吵雜的地方、難纏的人
MID_FRIENDLIST_Ivy_TextB	【興趣】無特別嗜好\n【專長】隱藏自己的真心\n【經歷】海亞信斯王正室的女兒。\n身為第一公主、王位繼承人，\n自幼即被捲入大人們的權力鬥爭，\n無法像普通孩子一樣快樂成長。\n直到幾年前都還在學校就讀，\n畢業後回到城裡，履行公主的義務。
MID_FRIENDLIST_Ivy_TextA	【身高】172cm\n【無名指的戒圍】8號\n【個性】拘謹、嫻靜的女性。\n無法輕易信任他人、敞開心扉，\n但會對喜歡的人表現強烈的執念。\n對神龍有著近似崇拜的感情。\n其實相當膽小且害怕鬼故事。\n是軍中膚況最佳的人。
MID_FRIENDLIST_Ivy_TextS	【成為搭檔後】\n會親口向你訴說情意，\n也比以前更常綻露笑容了。\n最珍惜的是兩人能獨處的時間，\n每到分開時總是顯得離情依依。\n為了確保不會弄丟約定戒指，\n將戒指收在房間內的金色小盒。\n雖從不帶出門，看著便能深感幸福。
MID_FRIENDLIST_Zelkova_TextD	【初期兵種】小偷\n【生日】8月2日\n【備註】伊爾席翁王國的王城士兵。\n曾有一段時間和主子艾比公主，\n以及同袍花月一同與神龍敵對，\n後來帶著紋章士戒指於影子原野\n和神龍軍會合並加入其陣營。
MID_FRIENDLIST_Zelkova_TextC	【喜歡的事物】\n工藝、裁縫、閱讀、下廚、\n繁瑣的工作、墓地、忙碌的時間、\n活力十足的小孩\n【不喜歡的事物】\n味道強烈的東西、宴會、童話故事、\n無趣、熱情退卻的瞬間
MID_FRIENDLIST_Zelkova_TextB	【興趣】所有事\n【專長】耐人尋味的發言、調配藥物\n【經歷】來自伊爾席翁王國，\n生於森林城鎮的富裕家庭。\n父母與雙胞胎弟弟皆為盜賊所殺，\n為了復仇而親身下海成了暗殺者。\n復仇成功後，其實力為王家相中，\n進而任命為王城士兵。
MID_FRIENDLIST_Zelkova_TextA	【身高】185cm\n【無名指的戒圍】15號\n【個性】專心致志且興趣廣泛。\n對任何事都會發表意味深長的評論。\n有著會挹注熱情在想做的事情上，\n並從中獲取快感的特質。\n雖然喜歡小孩，但是被小孩們討厭。\n是軍中睡眠最為不足的人。
MID_FRIENDLIST_Zelkova_TextS	【成為搭檔後】\n雖然興趣依舊廣泛，但也昭告天下\n自己在你身上傾注了最大的熱情。\n兩人獨處時說話直白而不加修飾，\n毫無耐人尋味的影子。\n約定戒指平時都放在能上鎖的盒內，\n而盒子的鑰匙又鎖在另一個盒子中，\n徹底而嚴密地收藏起來。
MID_FRIENDLIST_Kagetsu_TextD	【初期兵種】刀劍將領\n【生日】12月22日\n【備註】伊爾席翁王國的王城士兵。\n曾有一段時間和主子艾比公主，\n以及同袍傑爾科巴一同與神龍敵對，\n後來帶著紋章士戒指於影子原野\n和神龍軍會合並加入其陣營。
MID_FRIENDLIST_Kagetsu_TextC	【喜歡的事物】\n武器、宴會、玩耍、鍛鍊、魚、\n攜帶式食品、和食、飯糰、\n願意和自己交手的人\n【不喜歡的事物】\n打掃、閱讀、下廚、乳製品、\n連續吃西餐、冷淡的態度
MID_FRIENDLIST_Kagetsu_TextB	【興趣】比試、約會\n【專長】踢館、交朋友、預知未來\n【經歷】來自索爾姆王國，\n出生於秘境──白色沙漠。\n雖為當地王公貴族的繼承人，\n卻不滿於自己對外界的無知，\n因而留下書信便離鄉踏上旅途。\n後為了尋找高手前往伊爾席翁。
MID_FRIENDLIST_Kagetsu_TextA	【身長】178cm\n【無名指的戒圍】17號\n【個性】開朗且不怕生，\n一旦聊過天就會把人當作朋友。\n為人毫無算計亦無城府。\n母親為巫女的花月也擁有預知能力，\n但能預知的事情有些難以言喻。\n是軍中最喜歡飯糰的人。
MID_FRIENDLIST_Kagetsu_TextS	【成為搭檔後】\n比以前更大方地表露情感，\n每次見面總是不避諱地表白心意。\n到了戰鬥時則投以嚴肅的眼神，\n一絲不苟地守護在你左右。\n收到約定戒指之後非常高興，\n不論去哪都會戴在手上，\n有好幾次都差點不小心弄丟。
MID_FRIENDLIST_Hortensia_TextD	【初期兵種】馴獸師\n【生日】6月3日\n【備註】伊爾席翁王國第二公主。\n和艾比為同父異母姊妹，\n有羅薩德、戈爾德瑪莉兩名臣子。\n雖聽命於父親海亞信斯王，\n三番兩次與神龍軍為敵，\n最後在索爾姆王城被說服成為同伴。
MID_FRIENDLIST_Hortensia_TextC	【喜歡的事物】\n時尚、可愛的事物、高級品、花、\n親人、所有同伴、\n稱讚自己可愛的人\n【不喜歡的事物】\n辣的食物、運動、蟲子、下廚、\n曬太陽、和親人分離、\n比自己更可愛的人
MID_FRIENDLIST_Hortensia_TextB	【興趣】購物、嘗試美容方法\n【專長】背誦魔法書、紙上兵推演練\n【經歷】海亞信斯王側室之女。\n年幼時雖亦有其他兄弟姊妹，\n但皆在正室的排斥下離王城而去，\n因而成為了第二公主。\n原本是名還在學校就讀的學生，\n在父王的指示下回到了王城。
MID_FRIENDLIST_Hortensia_TextA	【身高】149cm\n【無名指的戒圍】6號\n【個性】充滿自信又有些許任性。\n對自己可愛的外貌相當自豪。\n在學校是名成績優異的跳級生，\n能迅速理解自身職責並妥善執行。\n內心十分善良，非常重感情。\n在軍中是最會拋媚眼放電的人。
MID_FRIENDLIST_Hortensia_TextS	【成為搭檔後】\n每天一定都會來找你，\n向你撒嬌說想陪你一起。\n獨處時有著與年紀相符的嬌羞，\n卻也急於向你展現成熟的模樣。\n將約定戒指收在母親留給他的\n寶石盒裡珍藏著，暗自決定\n下次要將戒指戴在無名指上。
