MID_WU_C_1_IN_#001	沒想到軍隊裡還會有叫人起床的任務呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	很抱歉讓你賠上了性命……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	我應該好好誇獎你的，對不起……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	真是抱歉，打擾到您休息了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	不過……在向您祈禱之後……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	殘留在我心中的悔恨之情……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	似乎也獲得了一點救贖。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	沒想到連我這種人也能來叫神龍大人起床……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	雖然現在才說可能有點太遲了，不過……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	您之前說我是一個善良的人……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我真的非常高興呢。那麼，我先告辭了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	嗯，這片網紗……擋住了去路啊。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	唔，糟糕，纏在一起了……！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	要小心別扯破它……輕輕……輕輕地……好了！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	……沒事，什麼事都沒有喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	那麼，我就先告辭了……
MID_WU_B_2_HELLO_#004	我還得去鎮上贖罪呢。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	這裡的氣氛果然跟貝珥大人的祭壇完全不同啊……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	您對貝珥大人的祭壇有興趣嗎？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	那裡總是一片昏暗，彷彿身處永恆的黑暗之中……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	雖然我比較習慣那個祭壇……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	但這裡也不壞喔。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	偶爾我會懷念起……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	那個隱藏在森林中……不見天日的祭壇。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	在那裡沉睡的貝珥大人……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	也是如此地寧靜而美麗……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	……呵，您和貝珥大人果然是一家人。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	不管是睡著還是剛睡醒的樣子……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	簡直是一個模子印出來的呢。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	我們今天也一起來幫助百姓吧，神龍大人。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	我到現在才明白……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	自己之所以從一開始就被准許進來這裡……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	是因為……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	我一直都得到您的信任呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	不過……如果琉彌艾爾大人在天之靈……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	看到我這種人出現在這裡……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	他又會作何感想呢？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	您聽到了剛才的話嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	……您說琉彌艾爾大人會原諒我？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	是嗎……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	嗯……我相信……您說的話。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來迎接您了，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	今天我也會守護在您的身邊。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	雖然我已將忠誠獻給了貝珥大人……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	但我的心永遠都屬於您。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我一直以為……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我永遠不會懂什麼叫「愛」，但您讓我懂了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	雖然我的主人仍是貝珥大人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	但您是我心中唯一的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	在這座祭壇裡……我的眼中只有您。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我向這枚戒指發誓……我會永遠守護您。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	不需要這麼畢恭畢敬？就算您這麼說……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	那麼，就請您原諒我此時的不敬想法吧……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	在我心中您不是神龍……而是我最重要的人。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我已經不會……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	再對踏入祭壇感到內疚了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	看到您聽到我的聲音就迫不及待起床的樣子……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	還真是令人開心啊。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	能夠體會到這種心情……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	我實在是太幸福了，神龍大人。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	神龍大人，該是起床的時間囉……呵，這幅情景……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	會讓人忘記自己正身處於戰爭之中呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	等到恢復和平後……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	我能跟神龍大人一起生活嗎？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	真是一個天真的夢想啊……不過……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	擁有夢想這件事……可是您教會我的喔。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	今天早上……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我特別想您呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	我打從心底愛慕著您……神龍大人。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	實際說出口還真難為情呢。\x0E\x04\x00\x00
