MID_MSG_CC_DLC_JOB_OPEN	可以轉職為\n「附魔師」或「魔法加農炮兵」了。\n（需有各兵種的專用道具）
MSID_H_JobSkill_ShadowPrincessR	受到結合技攻擊時\n所受傷害-20%
MSID_JobSkill_ShadowLordR	增進紋章氣
MSID_H_JobSkill_ShadowLordR	我軍行動階段開始時\n相鄰我方單位的結合計量條+1
MSID_DisplaySkill_DamageCut	邪龍陣加護
MSID_H_DisplaySkill_DamageCut	所受傷害-50\n受到對方必殺攻擊的機率-50
MSID_ChainAttackDamageWeaken+	撕裂牽絆者+
MSID_H_ChainAttackDamageWeaken+	使敵人連鎖攻擊的\n命中率必定為10%\n並減少所受傷害
MSID_H_SenerioEngage_DarkSide	使用魔法攻擊時\n可回復造成傷害50%的HP
MSID_H_SenerioEngageAtk_DarkSide	以炎、雷、風魔法（克制飛行）\n對範圍內的敵人發動3連擊
MAID_ElWear	雙龍公主服裝
MAID_H_ElWear	來自異世界的夥伴──邪龍族後裔愛爾的便服。\n在多年的縫縫補補下，下半身的服裝與手套已變成特殊造型。
MAID_RafaleWear	雙龍王子服裝
MAID_H_RafaleWear	來自異世界的夥伴──邪龍族後裔拉法爾的便服。\n造型簡約大方，以免搶去與愛爾同款吊墜的風采。
MAID_SelestiaWear	魔龍族洋裝
MAID_H_SelestiaWear	來自異世界的夥伴──四翼首領賽勒斯提雅的便服。\n要將一頭長髮綁得整齊漂亮得花不少功夫，有時還會請夥伴幫忙打理。
MAID_GregoryWear	信徒斗篷
MAID_H_GregoryWear	來自異世界的夥伴──四翼副官孤雷葛里的便服。\n斗篷上的邪龍信徒紋章是效忠主人的象徵，令他相當自豪。
MAID_MadelineWear	成熟風百褶裙
MAID_H_MadelineWear	來自異世界的夥伴──四翼瑪德琳的便服。\n加了瑪德琳最喜歡的緞帶，但仍不失成熟穩重的感覺。
MID_LVUP_1_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x0E\x04エル\x06Die\n\x0E\x03\x02\x06\x04エル\n凡事本就不會那麼順利。\x0E\x04\x00\x00
MID_LVUP_2_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x14\x04エル\x0CNormal\n\x0E\x03\x02\x06\x04エル\n不重要，繼續努力吧。\x0E\x04\x00\x00
MID_LVUP_3_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x14\x04エル\x0CNormal\n\x0E\x03\x02\x06\x04エル\n結果就是這樣，\n不是我能決定的。\x0E\x04\x00\x00
MID_LVUP_4_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n能讓神龍大人滿意就好。\x0E\x04\x00\x00
MID_LVUP_LIMIT_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n看來我的實力已達巔峰。\x0E\x04\x00\x00
MID_LVUP_CC_El	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04エル\x02t\n\x0E\x05\x01\x12\x04エル\nSmile\n\x0E\x03\x02\x06\x04エル\n感謝神龍大人讓我面目一新，\n我會好好珍惜這份禮物的。\x0E\x04\x00\x00
MID_LVUP_1_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x14\nラファール\x06Sad\n\x0E\x03\x02\x0C\nラファール\n吾才不是廢物……\x0E\x04\x00\x00
MID_LVUP_2_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x18\nラファール\nAngry\n\x0E\x03\x02\x0C\nラファール\n吾不會在此止步！\n繼續！\x0E\x04\x00\x00
MID_LVUP_3_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1C\nラファール\x0ESerious\n\x0E\x03\x02\x0C\nラファール\n這也是理所當然，\n沒什麼好高興的。\x0E\x04\x00\x00
MID_LVUP_4_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1A\nラファール\x0CStrike\n\x0E\x03\x02\x0C\nラファール\n哈哈哈，看到了嗎？神龍！\n這一切都是吾的力量！\x0E\x04\x00\x00
MID_LVUP_LIMIT_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x18\nラファール\nSmile\n\x0E\x03\x02\x0C\nラファール\n無論是在這裡，還是原本的世界……\n吾都已擁有強大的力量。\x0E\x04\x00\x00
MID_LVUP_CC_Rafale	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nラファール\x02t\n\x0E\x05\x01\x1C\nラファール\x0EStandBy\n\x0E\x03\x02\x0C\nラファール\n無論變成什麼模樣，吾一樣要消滅敵人。\n可以出發了嗎？\x0E\x04\x00\x00
MID_LVUP_1_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x16\x0Cセレスティア\x06Sad\n\x0E\x03\x02\x0E\x0Cセレスティア\n怪了，以魔龍族來說，\n我應該還很年輕啊……\x0E\x04\x00\x00
MID_LVUP_2_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n對小小的變化感到雀躍不已，我還真是少女心啊。\x0E\x04\x00\x00
MID_LVUP_3_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nAngry\n\x0E\x03\x02\x0E\x0Cセレスティア\n我想獲得四翼首領應有的力量。\x0E\x04\x00\x00
MID_LVUP_4_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nRelax\n\x0E\x03\x02\x0E\x0Cセレスティア\n熱血沸騰起來了，\n現在的我彷彿無所不能。\x0E\x04\x00\x00
MID_LVUP_LIMIT_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n我變得更強了，\n已不是原本世界的我可以比擬的。\x0E\x04\x00\x00
MID_LVUP_CC_Selestia	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x02t\n\x0E\x05\x01\x1A\x0Cセレスティア\nSmile\n\x0E\x03\x02\x0E\x0Cセレスティア\n真開心，我沒什麼機會試穿其他衣服呢。\n這套適合我嗎？神龍大人。\x0E\x04\x00\x00
MID_LVUP_1_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x14\nグレゴリー\x06Sad\n\x0E\x03\x02\x0C\nグレゴリー\n改變雖然令人恐懼，\n但一成不變也很可怕啊……\x0E\x04\x00\x00
MID_LVUP_2_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x14\nグレゴリー\x06Shy\n\x0E\x03\x02\x0C\nグレゴリー\n好！這樣就不會那麼怕痛了……\n對吧？\x0E\x04\x00\x00
MID_LVUP_3_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x18\nグレゴリー\nAngry\n\x0E\x03\x02\x0C\nグレゴリー\n我要用這份力量\n創造一個沒有恐懼和疼痛的世界。\x0E\x04\x00\x00
MID_LVUP_4_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x1E\nグレゴリー\x10Surprise\n\x0E\x03\x02\x0C\nグレゴリー\n發、發生什麼事了？\n我可以感到開心吧？\x0E\x04\x00\x00
MID_LVUP_LIMIT_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x1A\nグレゴリー\x0CStatus\n\x0E\x03\x02\x0C\nグレゴリー\n要是獲得更強大的力量，\n我似乎會變得很嚇人。\x0E\x04\x00\x00
MID_LVUP_CC_Gregory	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nグレゴリー\x02t\n\x0E\x05\x01\x18\nグレゴリー\nSmile\n\x0E\x03\x02\x0C\nグレゴリー\n怎麼樣？適合我嗎……？\n希望不會被敵人小看了。\x0E\x04\x00\x00
MID_LVUP_1_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x14\nマデリーン\x06Sad\n\x0E\x03\x02\x0C\nマデリーン\n真是太沒出息了，\n下次一定要拿出成果。\x0E\x04\x00\x00
MID_LVUP_2_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x1C\nマデリーン\x0ESerious\n\x0E\x03\x02\x0C\nマデリーン\n算是勉強及格吧？\n還得變得更強才行。\x0E\x04\x00\x00
MID_LVUP_3_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nSmile\n\x0E\x03\x02\x0C\nマデリーン\n成功了！\n別因為我年紀小就小看我喔。\x0E\x04\x00\x00
MID_LVUP_4_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nRelax\n\x0E\x03\x02\x0C\nマデリーン\n我不需要他人的稱讚……\n但還是想表揚自己拿出這樣的成果。\x0E\x04\x00\x00
MID_LVUP_LIMIT_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x18\nマデリーン\nRelax\n\x0E\x03\x02\x0C\nマデリーン\n多虧有夥伴們，\n我才能成長到極致。\x0E\x04\x00\x00
MID_LVUP_CC_Madeline	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nマデリーン\x02t\n\x0E\x05\x01\x14\nマデリーン\x06Shy\n\x0E\x03\x02\x0C\nマデリーン\n一名騎士得駕馭任何戰鬥服……\n不過，這打扮適合我嗎……？\x0E\x04\x00\x00
MID_RELAY_Stamp_El_0	振作點喔。
MID_RELAY_Stamp_Rafale_0	別讓吾失望了。
MID_RELAY_Stamp_Selestia_0	越來越有趣了！
MID_RELAY_Stamp_Gregory_0	饒了我吧，我怕痛啊。
MID_RELAY_Stamp_Madeline_0	請不要把我當小孩子。
MID_BGM_DLC_Evt_Twin_ST_Play	雙龍的冀望
MID_BGM_DLC_Evt_Twin_Exposed_ST_Play	你的夢想無法成真
MID_BGM_DLC_Sys_Gmap_ST_Play	龍之旅途
MID_BGM_DLC_Field_P14_Map_ST_Play	救世與喪失
MID_BGM_DLC_Field_P14_Combat_ST_Play	救世與喪失～叛
MID_BGM_DLC_Field_P15_ST_Play	反向結合
MID_BGM_DLC_Boss_07_Pre_ST_Play	流轉之人
MID_BGM_DLC_Boss_07_Start_ST_Play	流轉之人～烈
MID_BGM_DLC_Sys_ED2_ST_Play	旅途終將落幕～全
MID_BGM_DLC_Mov_GOP_Full_ST_Play	Emblem Engage!　～完整版
MID_BGM_DLC_Field_P15_Pre_ST_Play	從假寐中甦醒
MID_BGM_DLC_Evt_Twin_Past_ST_Play	回憶
MID_Hub_Well_Difficulty_Change	更改難度
MID_Hub_Well_Difficulty_Change_Confirm	是否更改邪龍之章的難度？\n（不會更改主線故事的難度\n此外，可不限次數自由更改本章難度）
MID_Hub_Well_Difficulty_Change_Before	目前的難度
MID_Hub_Well_Difficulty_Change_Normal	更改為普通
MID_Hub_Well_Difficulty_Change_Hard	更改為困難
MID_Hub_Well_Difficulty_Change_Lunatic	更改為超難
MID_Hub_Well_Difficulty_Change_Cancel	取消
MID_Hub_Well_Difficulty_Change_Dialog	已將邪龍之章難度更改為「\x0E\x01\x00\x00」。
MID_FORTUNE_TROUBLE_El	啃了太多檸檬，\n結果引來眾人的擔心。
MID_FORTUNE_TROUBLE_Rafale	看到甜點時，\n嘴角會不自覺地上揚。
MID_FORTUNE_TROUBLE_Selestia	當鳥兒停在頭上的角時，\n自己常會動彈不得。
MID_FORTUNE_TROUBLE_Gregory	最近喜歡的玩偶\n變得有點髒髒的。
MID_FORTUNE_TROUBLE_Madeline	很喜歡緞帶，\n卻非常不會綁蝴蝶結。
MID_Movie_E07	異世界的記憶
MID_H_Movie_E07	神龍\x0E\x06\x03\x00受邪龍雙胞胎的召喚，\n來到了異世界的艾雷歐斯大陸。\n在這即將毀滅的世界，展開了七手鐲的爭奪戰。
