MID_WU_C_1_IN_#001	這裡的美景配上美食，想必會讓食物更加美味吧……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍大人，這股香味是……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	咦？您把宵夜藏起來了？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	呃……這樣料理可是會走味的……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	您還是別把食物放在室溫下太久啊……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	我想不出新菜色……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	嗯？這裡是神龍大人的房間……？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	抱歉吵醒您了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我邊走邊想事情……不知不覺就到這裡來了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	為了向您賠罪……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	改天我會帶些甜滋滋的烘烤點心來……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	神龍大人總是這麼美麗……特別是這頭秀髮……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	對了，如果將食材兩面各以不同的方法烹調……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	說不定會讓味道產生什麼變化呢……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	我得謝謝您……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	託您的福，我終於找到靈感了。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	您的美麗……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	還能使美味誕生呢……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	嗯……把這個房間看作餐點的話……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	應該會是一份精緻的蛋糕吧……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	我又想為您做菜了……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	像是把您沉睡千年之地作為主題的料理……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	光是想像一下，我的心情就激動起來了……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	既然要為神龍大人做菜……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	那除了味道以外，外觀也得講究一番才行……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我要不要乾脆用糖雕做出整個索拉涅爾呢……？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	啊，您那雙番茄和藍莓色的眼睛依舊是如此美麗……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	我的創作靈感又泉湧而出了……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我為您準備了早餐。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	是時候起床囉，我的搭檔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	呵……神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	您是聽到有早餐才馬上起來的嗎？還是說……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	您是想快點見到我呢？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	這應該不是我的一廂情願吧……？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	不過，我猜您不會馬上起床……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	所以做了即使放到冷掉也很好吃的料理。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	希望我們的感情也能像這樣歷久不衰呢……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	雖然我的信念是為世人帶來美味的體驗……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	但和您一起度過的甜蜜時光……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我希望永遠都是兩人間的秘密……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	來，多吃點，這樣才有力氣打贏戰爭喔。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我也得更努力才行呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	希望在今後的每一天……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我都能待在神龍大人的身旁……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	看著您吃得一臉幸福的樣子……\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	今天我帶來的不是料理……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	而是一些適合神龍大人的鮮花。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	其實……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我的興趣是種花和香草。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	您方便的話……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	下次能跟我聊聊您的事情嗎……？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	我想更深入地了解您……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我們成為搭檔時……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	神龍大人說希望我能更認識您……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	而我也想讓您更了解我呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	這朵花是我因興趣種出來的……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	是我非常喜歡的品種。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	這稚嫩的紅色花瓣和藍色花蕾……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	還有甜蜜的花香……就像是神龍大人一般……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	神龍大人比起鮮花，更喜歡料理嗎……？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	那麼……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	我這就用美食來滿足您的胃吧……\x0E\x04\x00\x00
