MID_WU_C_1_IN_#001	哇……這裡就是神龍大人的寢室嗎……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	嗚嗚！看來今晚是睡不著了！！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	小聲點～小聲點……呵呵，神龍大人的睡臉真可愛。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	嗯，果然啊……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	雖然睡著的樣子也很棒……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	但神龍大人最美麗的時刻……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	還是起床時的那一瞬間呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	嗯嗯，神龍大人的睡相是如此地優美……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	那呼吸就像是夜間吹拂過草原的風聲……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	寧靜、深邃而美麗……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	呵呵，抱歉。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	我正在想該怎麼寫圖鑑裡的說明呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	不過，您的美貌……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	實在難以用文字形容啊。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	親愛的搭檔，我來接您囉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早安。不管看了多少次……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	您醒來的樣子還是一樣迷人。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	真希望您美麗的睡臉……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	能夠一直被我獨占呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	睡得真甜呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	……唔唔！實在太可愛了！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	會這麼想並不是因為您是神龍喔……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	或許是您在我心中占了一個特別的位置……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	我才會對您抱持著這種感情吧。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	沒錯，這份感情就叫做……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	今生只愛您一人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	您聽到剛才的話了？真是的……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	這樣我不就沒辦法保持帥氣的一面了嗎……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	您真是罪孽深重啊。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	等等！索拉涅爾跳跳鼠！\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	你不能跑去那裡啊！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	抱歉啊，吵醒您了。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	呵呵，您的頭上……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	有一隻毛茸茸的小傢伙呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	被動物親近的神龍大人……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	也非常可愛喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	真是的……看來這小傢伙很愛黏著神龍大人呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	還在他的耳邊跳來跳去的。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	我不在的時候……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	你該不會也像這樣偷偷跑進來玩吧？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	不過，這樣是不行的喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	神龍大人是最重要的搭檔……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我可不許任何人搶走他。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	剛才那可愛的小傢伙……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	咦？您說玫琳比較可愛！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	您突然這樣說……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	害我都不好意思起來了……\x0E\x04\x00\x00
