MID_WU_C_1_IN_#001	神龍大人，打擾了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	今天的會議改期吧，我再去通知大家。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	回想起來……第一次在這裡看見你的時候，\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	我還只是個孩子呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	這麼久了，你一點也沒變……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	睡著的樣子依然美麗。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	你醒了？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	你果真是神龍，連睡醒的樣子都這麼好看。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	……不，我這不是客套話。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	是真心話。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	神龍大人，我來接你囉……我是不是來早了？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	抱歉，現在時間還早。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	你慢慢準備就好。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	真不可思議。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	面對神龍大人，我就什麼都想告訴他。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	就連那枚父王傳下來的徽章……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	在神龍大人之前我也不曾跟人提起過。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早。之前讓你見到我脆弱的一面，真的不好意思。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	但也多虧了你，我現在才能一如往常地做自己。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，我想問一下有關備品……睡得還真熟呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	你這麼快就醒來，看來剛才是在裝睡啊？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	……呵，被你擺了一道呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	索拉涅爾是個很舒適的地方。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	所以也不難理解，為什麼容易睡得如此深沉。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	尤其這裡的空氣特別清新……眼皮越來越……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	唔……！神龍大人，你什麼時候起來的？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	真糟糕，我居然睡著了。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	謝謝你叫醒我。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，我進門囉。\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	……嗯？今天好像睡得不太安穩？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	太好了，你醒了。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	你剛才好像在做惡夢，我很擔心你呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神龍大人曾說過自己也有軟弱的一面……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	那時我感到與你親近了不少，但我現在卻有點擔心……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	神龍大人，快醒醒。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早，你現在覺得如何？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	你要是有什麼煩惱就儘管和我商量。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	正好現在除了我也沒別人了。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	……是我。神龍大人，我今天也來接你囉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	早啊。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	你早起也好，我們正好能聊一下。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	與你獨處的這段時光……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	是我最珍愛的寶物。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	睡得還真香。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	如果是因為在我面前才這麼放鬆，我倒是很高興。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	但要是在其他人面前也是這樣，就有點令人擔心了呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過，我更怕你就這樣長睡不醒了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	……我竟是如此重視你，\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	以至於腦中總有些不必要的擔憂啊。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早啊，看到你醒來我就放心了。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	但你再睡一會也是不要緊。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	那樣我就能再多欣賞幾眼你優美的睡容了。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	果然還沒起來。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	我想，你不到最後一刻是不會醒的吧。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	你這是逼自己醒來嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	我希望你能記住一點。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	無論你是馬上醒來，還是睡到我喊醒你，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	對我而言都是種幸福。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	這是……我送你的戒指？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	原來你睡覺也會戴著啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	我睡覺時也會戴著「約定戒指」，\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	上戰場時卻不能，這讓我很焦躁。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	但願世界能早日恢復和平。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	……你可真不簡單，竟讓軍事之國的王子祈求世界和平。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	你醒啦？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	現在還有點時間，所以……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	在踏出房門之前，\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	請你……先別摘下我的戒指。\x0E\x04\x00\x00
