MID_Hub_ThisTime	目前時段
MID_Hub_Mascot_Accessories_None	未配戴
MID_Hub_Pedestal	台座
MID_Hub_Skill_Inheritance	特技繼承
MID_Hub_Ring_Gacha	精煉牽絆戒指
MID_Hub_Ring_Merge	合成牽絆戒指
MID_Hub_Ring_Cleaning	研磨戒指\x0E\x01\x08\x00
MID_Hub_RefineGodWeapon	強化結合武器
MID_Hub_Inheritance_End	已繼承
MID_Hub_Inheritance_Level	於Lv.\x0E\x01\x00\x00時開放
MID_Hub_Inheritance_Invalid	與紋章士\x0E\x01\x00\x00同步時，\n即使裝備，效果亦不會重複發動。
MID_Hub_Inheritance_Skill	繼承特技
MID_Hub_Inheritance_Skill_HELP	請選擇要繼承的特技。
MID_Hub_Inheritance_LevelHelp	於牽絆等級Lv.\x0E\x01\x00\x00時可繼承
MID_Hub_GodBodLevel	與紋章士的牽絆等級
MID_Hub_Inheritance_Skill_Confirmation	是否要繼承特技？
MID_Hub_Inheritance_Skill_Yes	繼承
MID_Hub_Inheritance_Skill_Finish	已繼承\x0E\x01\x00\x00\x0E\x01\x01\x00。
MID_Hub_Ring_Common_God_Empty	未持有戒指\x0E\x01\x08\x00。
MID_Hub_H_Ring_Gacha	請選擇要精煉戒指的紋章士。
MID_Hub_Ring_Gacha_TotalRefinedCount	已精煉的數量
MID_Hub_Ring_Gacha_RingList	曾獲得的牽絆戒指
MID_Hub_Ring_Gacha_1_Time_TitleHelp	請選擇要精煉的次數。
MID_Hub_Ring_Gacha_1_Time	精煉1次
MID_Hub_Ring_Gacha_10_Times	精煉10次
MID_Hub_Ring_Gacha_New	NEW!
MID_Hub_Ring_Merge_Help	請選擇要合成的牽絆戒指。
MID_Hub_Ring_Merge_Empty	未持有牽絆戒指。
MID_Hub_Ring_Merge_Needed_Count	所需數量
MID_Hub_Ring_Merge_Failed_Full	無法持有更多合成後的牽絆戒指。
MID_Hub_Ring_Merge_Confirm	是否要合成「牽絆戒指」？
MID_Hub_Ring_Merge_Yes	合成
MID_Hub_Ring_Cleaning_GodSelect	請選擇要研磨的戒指\x0E\x01\x08\x00。
MID_Hub_Ring_Cleaning_Help	請選擇研磨戒指\x0E\x01\x08\x00的夥伴。
MID_Hub_Ring_Cleaning_Confirm	是否要委託「\x0E\x01\x01\x00」\n研磨「\x0E\x01\x00\x00」？
MID_Hub_Ring_Cleaning_Yes	研磨
MID_Hub_Ring_Cleaning_Finish	Cleanup
MID_Hub_Ring_Cleaning_Finish_Confirm	是否要結束研磨？
MID_Hub_RefineGodWeapon_Refine	強化
MID_Hub_RefineGodWeapon_Refine_Help	請選擇要強化的結合武器。
MID_Hub_RefineGodWeapon_RefineCapacity	強化值上限
MID_Hub_RefineGodWeapon_RefineStatus	強化狀態
MID_Hub_RefineGodWeapon_Empty	未持有結合武器。
MID_Hub_RefineGodWeapon_Nothing	尚未強化任何項目。
MID_Hub_RefineGodWeapon_SelectParam_Help	請選擇要強化的項目。
MID_Hub_RefineGodWeapon_Comfirm	要強化「\x0E\x01\x00\x00的\x0E\x01\x01\x00」嗎？
MID_Hub_RefineGodWeapon_Contents	強化內容
MID_Hub_RefineGodWeapon_Comfirm_Skill	要在「\x0E\x01\x00\x00的\x0E\x01\x01\x00」上\n賦予克制效果嗎？
MID_Hub_RefineGodWeapon_Comfirm_Skill_Yes	賦予
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change	要更換「\x0E\x01\x00\x00的\x0E\x01\x01\x00」的\n克制效果嗎？
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change_Yes	更換
MID_Hub_RefineGodWeapon_Comfirm_Yes	強化
MID_Hub_RefineGodWeapon_Comfirm2	已將「\x0E\x01\x00\x00的\x0E\x01\x01\x00」\n強化至「\x0E\x01\x02\x00Lv.\x0E\x01\x03\x00」了。
MID_Hub_RefineGodWeapon_Comfirm2_Skill	已在「\x0E\x01\x00\x00的\x0E\x01\x01\x00」上\n賦予了「\x0E\x01\x02\x00」。
MID_Hub_RefineGodWeapon_PowerUpValue	強化值
MID_Hub_RefineGodWeapon_Reset	重置
MID_Hub_RefineGodWeapon_Reset_Help	請選擇要重置的武器。
MID_Hub_RefineGodWeapon_ResetParam_Help	請選擇要重置的項目。
MID_Hub_RefineGodWeapon_Reset_Comfirm	要將「\x0E\x01\x00\x00的\x0E\x01\x01\x00」\n重置為「\x0E\x01\x02\x00Lv.\x0E\x01\x03\x00」嗎？
MID_Hub_RefineGodWeapon_Reset_Comfirm_Skill	要重置「\x0E\x01\x00\x00的\x0E\x01\x01\x00」上\n賦予的\x0E\x01\x02\x00嗎？
MID_Hub_RefineGodWeapon_Reset_Comfirm_Yes	重置
MID_Hub_RefineGodWeapon_Reset_Comfirm2	已將「\x0E\x01\x00\x00的\x0E\x01\x01\x00」\n重置為「\x0E\x01\x02\x00Lv.\x0E\x01\x03\x00」。
MID_Hub_RefineGodWeapon_Reset_Comfirm2_Skill	已重置「\x0E\x01\x00\x00的\x0E\x01\x01\x00」上\n賦予的\x0E\x01\x02\x00。
MID_Hub_Arena_Gate	鍛鍊之焰
MID_Hub_Arena_Limit	剩餘次數
MID_Hub_Arena_Lv_MAX	牽絆等級已達上限。
MID_Hub_Arena_Lv_Cap	觀看牽絆對話，\n即可進一步提升牽絆等級。
MID_Hub_Arena_Lv_Cap_Look	觀看牽絆對話
MID_Hub_Arena_Lv_Once	一次最多可提升5個牽絆等級。
MID_Hub_Arena_Help	請選擇欲採取的行動。
MID_Hub_Arena_Start	一般鍛鍊
MID_Hub_Arena_Start_Help	請選擇要鍛鍊的單位。
MID_Hub_Arena_GodRelianceUp_Start	特別指名鍛鍊
MID_Hub_Arena_GodRelianceUp_Start_Got_Select_Help	請選擇紋章士。
MID_Hub_Arena_GodRelianceUp_Lv_Select	請選擇牽絆等級。
MID_Hub_Arena_GodRelianceUp_Help	可提升任意單位與\n紋章士的牽絆等級。\n將依照目標消耗\n不同數量的「牽絆碎片」。
MID_Hub_Arena_GodRelianceUp_Start_Confirm	是否要開始\x0E\x01\x00\x00與\x0E\x01\x01\x00的指名鍛鍊？
MID_Hub_Arena_NoWeapon	沒有可裝備的武器，\n無法開始鍛鍊。
MID_Hub_Arena_Start_Confirm	要讓\x0E\x01\x00\x00開始鍛鍊嗎？
MID_Hub_Arena_Win	WIN
MID_Hub_Arena_Lose	LOSE
MID_Hub_Arena_Draw	DRAW
MID_Hub_Arena_BattleStart	VS
MID_Hub_Level_Choice	請選擇難度。
MID_Hub_NewLevel_Open	將隨故事進度開放。
MID_Hub_MiniGame_Expert	專家
MID_Hub_MiniGame_Start	START!
MID_Hub_MiniGame_Finish	FINISH!
MID_Hub_MiniGame_Stop	STOP!
MID_Hub_Mascot_Take_MuscleExercises	是否要與\x0E\x06\x05\x00一起做體操？\n（若「親密度」高，\x0E\x06\x05\x00將會從旁協助）
MID_Hub_Mascot_Take_MuscleExercises_Yes	與\x0E\x06\x05\x00一起做體操
MID_Hub_Mascot_NoTake_MuscleExercises	獨自做體操
MID_Hub_Mascot_Take_Fishing	是否要與\x0E\x06\x05\x00一起釣魚？\n（若「親密度」高，\x0E\x06\x05\x00將會從旁協助）
MID_Hub_Mascot_Take_Fishing_Yes	與\x0E\x06\x05\x00一起釣魚
MID_Hub_Mascot_NoTake_Fishing	獨自釣魚
MID_Hub_Mascot_Take_DragonRide	是否要與\x0E\x06\x05\x00一起乘坐？\n（若「親密度」高，\x0E\x06\x05\x00將會從旁協助）
MID_Hub_Mascot_Take_DragonRide_Yes	與\x0E\x06\x05\x00一起乘坐
MID_Hub_Mascot_NoTake_DragonRide	獨自乘坐
MID_Hub_MiniGame_AddDifficulty	新增難度「\x0E\x01\x00\x00」
MID_Hub_MiniGame_AddDifficulty_Muscle	新增了難度：肌肉炸裂\n（旨在挑戰極限的難度\n不會提升能力也無法獲得獎勵）
MID_Hub_MiniGame_MascotHelp	救援
MID_Hub_MiniGame_MascotHelp_Count	救援次數
MID_Hub_MiniGame_ThisTimeScore	本次得分
MID_Hub_MiniGame_BestScore	最佳得分
MID_Hub_MiniGame_NoScore	無記錄
MID_Hub_MiniGame_TryResult	挑戰結果
MID_Hub_MiniGame_DifficultyTipe	難度：\x0E\x01\x00\x00
MID_Hub_MiniGame_NewRecord	刷新記錄！
MID_Hub_MiniGame_Result_SSS	SSS
MID_Hub_MiniGame_Result_SS	SS
MID_Hub_MiniGame_Result_S	S
MID_Hub_MiniGame_Result_A	A
MID_Hub_MiniGame_Result_B	B
MID_Hub_MiniGame_Result_C	C
MID_Hub_MiniGame_Result_D	D
MID_Hub_MiniGame_Result_E	E
MID_Hub_MiniGame_Result_F	F
MID_Hub_MuscleExercises_Menu_Choice	請選擇種類。
MID_Hub_MuscleExercises_Rule	規則
MID_Hub_MuscleExercises_Effect	效果
MID_Hub_MuscleExercises_Continuity	要繼續挑戰肌肉體操嗎？\n但不會有追加效果及獎勵。
MID_Hub_MuscleExercises_Continuity_Unacquired	要繼續挑戰肌肉體操嗎？
MID_Hub_MuscleExercises_Continuity_Yes	挑戰
MID_Hub_MuscleExercises_Muscle	肌肉炸裂
MID_Hub_MuscleExercises_Perfect	Perfect
MID_Hub_MuscleExercises_Good	Good
MID_Hub_MuscleExercises_Bad	Bad
MID_Hub_MuscleExercises_Assist	Assist
MID_Hub_MuscleExercises_SpeedUp	Speed Up!!
MID_Hub_MuscleExercises_Record	目前記錄
MID_Hub_MuscleExercises_SuccessCount	成功次數
MID_Hub_MuscleExercises_ErrorCount	失敗次數
MID_Hub_MuscleExercises_Result	成績
MID_Hub_MuscleExercises_StatusUp	下次出擊期間，\x0E\x01\x00\x00提升\x0E\x01\x01\x00。
MID_Hub_MuscleExercises_PushUps	伏地挺身
MID_Hub_MuscleExercises_PushUps_Rule_0	抓準時機一決勝負的肌肉體操！\n當橫條到達最佳位置時按下按鍵！
MID_Hub_MuscleExercises_PushUps_Rule_1	速度和判定標準會越來越嚴格，\n失敗三次將立即結束鍛鍊。
MID_Hub_MuscleExercises_PushUps_Rule_2	依照鍛鍊的成績，在下次出擊期間\n會提升\x0E\x06\x03\x00的力量！
MID_Hub_MuscleExercises_Ads	仰臥起坐
MID_Hub_MuscleExercises_Ads_Rule_0	這是考驗體力的肌肉體操！\n連按按鍵來累積能量條吧！
MID_Hub_MuscleExercises_Ads_Rule_1	越快集滿能量條，得分就越高。\n能量條見底時將立即結束鍛鍊。
MID_Hub_MuscleExercises_Ads_Rule_2	依照鍛鍊的成績，在下次出擊期間\n會提升\x0E\x06\x03\x00的HP！
MID_Hub_MuscleExercises_Squat	深蹲
MID_Hub_MuscleExercises_Squat_Rule_0	得掌握節奏感的肌肉體操！\n好好活用左右兩把操控搖桿吧！
MID_Hub_MuscleExercises_Squat_Rule_1	依照指示方向操控搖桿，\n失敗三次將立即結束鍛鍊。
MID_Hub_MuscleExercises_Squat_Rule_2	依照鍛鍊的成績，在下次出擊期間\n會提升\x0E\x06\x03\x00的技巧！
MID_Hub_Fishing_Continue_RodSelect	請選擇釣竿。
MID_Hub_Fishing_Continue	要繼續釣魚嗎？
MID_Hub_Fish_Pcture_Book	魚類圖鑑
MID_Hub_Fishing_BonusFish	本次加分魚類
MID_Hub_Fishing_Rod	釣竿
MID_Hub_Fishing_Fish	可釣魚類
MID_Hub_Fishing_Limit	可釣魚次數
MID_Hub_Fishing_Count	釣到的次數
MID_Hub_Fishing_Success	Success
MID_Hub_Fishing_Perfect	Perfect
MID_Hub_Fishing_Escaped_Fast	似乎太早提竿了……
MID_Hub_Fishing_Escaped_Late	似乎太慢提竿了……
MID_Hub_Fishing_Escaped	魚逃掉了……
MID_Hub_Fishing_BestSize	最佳記錄
MID_Hub_Fishing_Centimeter	公分
MID_Hub_Fishing_Size	尺寸
MID_Hub_Fishing_TinySize	迷你
MID_Hub_Fishing_SmallSize	小型
MID_Hub_Fishing_MiddleSize	中型
MID_Hub_Fishing_LargeSize	大型
MID_Hub_Fishing_BigSize	超大型
MID_Hub_Fishing_GiantSize	巨無霸
MID_Hub_Fishing_Shadow_Small	小型魚影
MID_Hub_Fishing_Shadow_Big	大型魚影
MID_Hub_Fishing_Shadow_Giant	巨大魚影
MID_Hub_Fishing_GetItem	獲得道具
MID_Hub_Fishing_Conditions	容易上鉤的條件
MID_Hub_Fishing_TimeZone	出沒時段
MID_Hub_Fishing_TimeZone_Night	\x0E\x08\x02\x10\x0EEvening傍晚/\x0E\x08\x02\x0C\nNight夜間
MID_Hub_Fishing_FishType	釣到的魚類
MID_Hub_Fishing_Continue_Yes	繼續
MID_Hub_Fishing_End	結束
MID_Hub_Fishing_Bonus	BONUS!
MID_Hub_Fishing_Hit	HIT!
MID_Hub_Fishing_UnicornChar	獨角紅點鮭
MID_Hub_H_Fishing_UnicornChar	魚頭上長了一根粗角，\n上鉤時容易受到衝擊而折斷。\n由於長滿細刺，多被製成魚漿。
MID_Hub_Fishing_PonYamame	圓紋櫻鱒
MID_Hub_H_Fishing_PonYamame	不時會使側身浮出水面。\n獨特的圓斑會隨著成長逐漸變淡。\n風味清淡，適合做成柔軟的魚漿。
MID_Hub_Fishing_HellKoi	赫魯魯鯉魚
MID_Hub_H_Fishing_HellKoi	一種雜食性的魚類。部分個體的\n外表鮮豔，常被人當作是寵物魚。\n含有豐富的營養，特別適合油炸。
MID_Hub_Fishing_RavanaTrout	拉巴納鱒魚
MID_Hub_H_Fishing_RavanaTrout	只要能掌握訣竅，便可輕鬆釣到。\n在伊爾席翁王國內也有養殖品種，\n通常會被製成能長期保存的魚乾。
MID_Hub_Fishing_SlitFinSalmon	長鰭鮭魚
MID_Hub_H_Fishing_SlitFinSalmon	布羅帝亞境內捕獲量居冠的魚類，\n獨特的魚鰭在水中搖曳的模樣十分美麗。\n紅肉是因飼料而形成，實際上為白肉魚。
MID_Hub_Fishing_MandCobbBass	曼多柯布鱸魚
MID_Hub_H_Fishing_MandCobbBass	考驗釣客腕力的重量級魚怪。\n在索爾姆甚至會舉辦釣鱸魚大賽。\n細心處理後可做成風味獨特的生魚片。
MID_Hub_Fishing_BanganHerring	班崗鯡魚
MID_Hub_H_Fishing_BanganHerring	會在特定時期群游而來，非常容易上鉤，\n但這種特徵反而引來了不少釣客的抱怨。\n風味樸實無華，可以搭配各種食材烹調。
MID_Hub_Fishing_TeoteSquid	提歐特魷魚
MID_Hub_H_Fishing_TeoteSquid	會將細長的閃亮物體誤以為是餌，\n部分釣客會利用這種習性垂釣。\n製成魚漿後能加入各種菜色。
MID_Hub_Fishing_BlosEel	布洛斯鰻魚
MID_Hub_H_Fishing_BlosEel	這種魚因全身滑溜難以捉住，\n在卸除魚鉤時得當心被溜走。\n風味濃郁，細骨可直接食用。
MID_Hub_Fishing_LogerOctopus	羅格章魚
MID_Hub_H_Fishing_LogerOctopus	腳上長有許多吸盤的章魚，\n得趁吸附岩石前迅速釣起。\n整隻都能拿來製成章魚漿。
MID_Hub_Fishing_HegeBeardCatfish	海吉長鬚鯰
MID_Hub_H_Fishing_HegeBeardCatfish	十分聰明的魚種。會利用其粗長的\n觸鬚來感知並掌握周遭環境的情況。\n製成魚乾拿來熬湯或燒烤都很適合。
MID_Hub_Fishing_SarriaDogMorayEel	薩利艾奴虎鰻
MID_Hub_H_Fishing_SarriaDogMorayEel	性格凶猛殘暴，是一種危險的魚類。\n一旦被其利牙咬到，將會痛不欲生。\n油花豐富、味道濃郁，適合製成生魚片。
MID_Hub_Fishing_OmemeSardine	歐梅梅沙丁魚
MID_Hub_H_Fishing_OmemeSardine	費列聶常見的小魚，特徵為覆蓋眼睛的\n脂性眼瞼。習慣以群游的方式對抗天敵。\n肉質鬆軟，用手便能輕易剝開。
MID_Hub_Fishing_AvidCrab	阿比德蟹
MID_Hub_H_Fishing_AvidCrab	這種螃蟹白天會藏身沙中，\n要在牠清晨出來活動時才較易釣到。\n可以連肉帶殼地製成蟹漿。
MID_Hub_Fishing_MunonTailHorseMackerel	穆諾泰爾竹筴魚
MID_Hub_H_Fishing_MunonTailHorseMackerel	反抗的力道能享受到拉竿的刺激，\n其大小也很適合人拿來練習殺魚。\n是魚乾的經典款，深受大眾喜愛。
MID_Hub_Fishing_DosmaRay	多斯瑪魟魚
MID_Hub_H_Fishing_DosmaRay	雖然腹部看似有一張可愛的笑臉，\n但其尾部的毒素卻足以令人喪命。\n曬乾後腹部的笑臉會變得扭曲駭人。
MID_Hub_Fishing_DemonFangCod	鬼牙鱈魚
MID_Hub_H_Fishing_DemonFangCod	在費列聶與布羅帝亞大受歡迎的高檔魚。\n寒冷區域捕獲的個體連內臟都能食用，\n是一種全身上下都能利用的優秀食材。
MID_Hub_Fishing_TephraSkipjack	特弗拉鰹魚
MID_Hub_H_Fishing_TephraSkipjack	這種紅肉魚肌肉結實並且凶猛無比，\n不分季節都是饕客認可的高級食材。\n製成生魚片後鮮美多汁，廣受好評。
MID_Hub_Fishing_RainbowTrout	七彩鱒魚
MID_Hub_H_Fishing_RainbowTrout	與拉巴納鱒魚系出同源的稀有品種。\n身上有七彩花紋，肉質肥厚、油花豐富，\n是一種被世人稱為極品的夢幻魚類。
MID_Hub_Fishing_EnchantSkipjack	艾恰托鰹魚
MID_Hub_H_Fishing_EnchantSkipjack	特弗拉鰹魚的另一種品種。\n雖然在特定條件下就有機會釣到，\n但仍是常人難以捕獲的夢幻魚類。
MID_Hub_DragonRide_NowScore	目前分數
MID_Hub_DragonRide_BreakTarget	破壞的標靶
MID_Hub_DragonRide_Target_Pattern	標靶種類
MID_Hub_DragonRide_Target_Normals	普通
MID_Hub_DragonRide_Target_Normals_Help	使用一般標靶，\n以神龍破命中即可將其破壞。
MID_Hub_DragonRide_Target_Big	巨大
MID_Hub_DragonRide_Target_Big_Help	命中標靶時，\n會一併破壞周遭的標靶。
MID_Hub_DragonRide_Target_Link	連結
MID_Hub_DragonRide_Target_Link_Help	命中標靶時，若有相鄰標靶，\n則會發動連鎖破壞。
MID_Hub_DragonRide_Target_Special	特別
MID_Hub_DragonRide_Target_Special_Help	命中標靶後，\n將在一定時間內增強神龍破。
MID_Hub_DragonRide_Target_Rroulette	輪盤
MID_Hub_DragonRide_Target_Rroulette_Help	標靶的種類會輪流切換，\n破壞當下即決定該標靶的種類。
MID_Hub_DragonRide_Operation	操作方式
MID_Hub_DragonRide_Operation_Title_Stick	操作方式：操控搖桿
MID_Hub_DragonRide_Operation_Title_Gyro	操作方式：陀螺儀
MID_Hub_DragonRide_Operation_To_Stick	切換至以操控搖桿操作
MID_Hub_DragonRide_Operation_To_Gyro	切換至以陀螺儀操作
MID_Hub_DragonRide_Operation_Plus	暫停/繼續
MID_Hub_DragonRide_Operation_A	施放神龍破
MID_Hub_DragonRide_Operation_Y	高速操作準心
MID_Hub_DragonRide_Operation_StickLR	操作準心
MID_Hub_DragonRide_Operation_StickLR_Push	重置準心
MID_Hub_DragonRide_Operation_StickLR_Push_Sub	按下即可\n開啟該側的\n陀螺儀感應器
MID_Hub_DragonRide_Operation_ZLZR	施放神龍破
MID_Hub_DragonRide_Operation_LR	高速操作準心
MID_Hub_DragonRide_Operation_Gyro0	傾斜控制器：
MID_Hub_DragonRide_Operation_Gyro1	操作準心
MID_Hub_DragonRide_Operation_Suspension	結束飛龍射手
MID_Hub_CafeTerrace_Jukebox	音箱
MID_Hub_CafeTerrace_H_Jukebox	可以更改索拉涅爾的背景音樂。
MID_Hub_CafeTerrace_Board	布告欄
MID_Hub_CafeTerrace_Cook	料理
MID_Hub_CafeTerrace_Cook_Choice_Unit	請選擇兩位用餐對象。
MID_Hub_CafeTerrace_Cook_Choice_Menu	請選擇料理。
MID_Hub_CafeTerrace_Cook_Choice_Foods	請選擇要添加的食材。
