MID_WU_C_1_IN_#001	打擾了！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神龍大人，這張床非常重呢。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	看來我得好好鍛鍊一下才行。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我繞著索拉涅爾跑了一百圈呢！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	沒想到您會這麼早起床。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	神龍大人一定也想……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	繞著索拉涅爾跑幾圈吧？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	自從和神龍大人一起跑步後……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	我就迷上了跑步。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	現在我的心中可沒有一絲雜念喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	剛起床頭腦一定還沒清醒吧……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	我可以陪您一起做做運動提神喔。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	……小聲點～小聲點～\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今天要溫柔地叫醒神龍大人。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	啊！您已經醒來了嗎！？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	沒想到這強而有力的腳步聲……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	會壞了我的好事啊。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	我的故鄉就像是一座巨大的花園。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	這瓶香水是用那裡的花製成的……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	希望這股花香能為您帶來優雅的早晨時光。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	我故鄉的花很香對不對？您還喜歡嗎？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	有機會的話，真想把那裡的花送給神龍大人呢。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，今天我為您帶來了豐盛的早餐！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哎呀，您一聽到有吃的就馬上起來了呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	請看……這就是我特製的肌肉增強劑早餐版！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我之前跟您介紹過的肌肉增強劑……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	其實有很多種口味喔。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	像是桃子味、紅茶味、烘烤點心味、肉味、魚味，還有……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	其中我最推薦的……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	就是適合當作早餐的激辣口味。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	您就挑一個自己喜歡的口味吧。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	今天我們也要一起好好努力喔。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	您的搭檔來叫您起床囉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	您已經醒來啦？真是可惜。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	還想說今天要溫柔地叫醒您呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	……我可沒說謊喔。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我費了一番功夫才找到這幾朵故鄉的花。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	原本打算在您的房間擺滿鮮花……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	但眼下戰事吃緊，也只能先放棄了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過，我相信總有一天……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	一定能跟您在花海中徜徉。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我們約好囉。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	我準備了最喜歡的花朵想送給您呢。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	神龍大人跟鮮花真是絕配啊。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	我來接您了。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	晨跑的時間到囉。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	呵呵，您醒得真快呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	這樣才是我的搭檔嘛。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	我要重新愛上您囉。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	其實在來這裡之前，我一個人去跑了幾圈……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	您向我表白前，也做過一樣的事情呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	跑步時只要想著您，眼前的一切就會變得閃閃發亮。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	這種美妙的感覺……我從未體驗過呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。來，我們走吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	只要有您在身旁……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我的世界就會一片光亮。\x0E\x04\x00\x00
