MID_WU_C_1_IN_#001	可愛的羅薩德來叫您起床囉！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我又打聽到了新的神秘景點喔……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我們一起去看看吧～！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神龍大人，謝謝您之前陪我去找傳說中的神秘景點。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	我真的很高興喔。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	要是能夢到那時的情景就好了～呵呵……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	啊，流口水了。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍大人，您剛才做了一個吃東西的夢吧！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我看到您急著擦口水的樣子囉～\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	不過，看在神龍大人很可愛的分上……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	我就給您一個「讚」吧～\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	原本是想找些可愛的東西，找著找著卻跑到這裡來了……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	嗯，您起床的樣子真是可愛。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	或許我就是被這股可愛的力量吸引來的呢……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	啊，沒事沒事～\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	您可以回去睡回籠覺喔～\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	神龍大人的髮色真是可愛啊～\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	雖然我的頭髮已經染了一些粉紅色……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	不過，多染一些鮮豔的顏色也不錯呢～\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	啊，我吵醒您了嗎！？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	不好意思，我要繼續去尋找可愛的東西了……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	請別在意我，好好睡個回籠覺吧～！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，關於我的新作品……啊，還在睡呢～\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早安～\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	這一次……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	我想好好畫下神龍大人的樣子。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	您有空的話……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#005	可以來當我的模特兒嗎……？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我想通了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	雖然風景畫也不錯……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	但大家或許也想看到其他的題材啊。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	像是這隻蟲……還有這個奇怪的玩意兒～！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	咦？神龍大人都不喜歡嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	那麼，神龍大人……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	讓我們再一起去尋找……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	未知之美和新奇事物吧～\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我來接您囉，我可愛的小神龍。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	剛才的暱稱怎麼樣？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	您不喜歡的話，也有其他叫法喔……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	今後我會想出一大堆……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	只屬於我們兩人的暱稱喔～\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	咦？還沒醒來耶～\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	難道……您不喜歡被叫成「小神龍」嗎～？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	我覺得還滿可愛的啊……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過，仔細想想好像有點太輕浮了。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	那麼，換成這個怎麼樣？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	……我來迎接您了，我最喜歡的神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	快睜開雙眼吧。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	哈哈，醒了醒了！您很驚訝嗎？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	不過，嚇到的神龍大人也很可愛喔。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	真希望身為搭檔的我……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	能夠獨占這個表情呢……\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	猜猜～我是誰？\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	嘿嘿……只聽聲音也能猜出是我吧？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	咦？您說光聽聲音根本認不出來？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	少騙人啦～\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	……您是聽到我的聲音才起來的吧？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	世界第一可愛……只屬於我的神龍大人。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	啊……這是我送給您的髮夾。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	原來您放在這裡啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	今天我也戴著「約定戒指」喔。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	這是我最珍貴的寶物……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	不過，我是不會畫下這枚戒指的。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	不需要分享給別人……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	我想要一個人獨占這份幸福。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	偶爾自私一點……應該沒關係吧？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。哈哈，您起床的樣子真是可愛。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	我就把您的樣子畫下來拿給大家看吧。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	才怪～騙您的啦。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	我只是想看看您害羞的表情～\x0E\x04\x00\x00
